SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-20,NUG,SUN,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-10-22,NUG,SPU,NUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-10-25,NUG,CAV,NUG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-10-26,NUG,JAZ,JAZ,2.605,0.75,1.25,0.6,0.5,0.5,1.0,0.25,0.75,0.333,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0,0.5,1.75,1.725,0.75,0.7,0.7,0.6,0.0,0.0,19.6,9.6,43.5,4.8,0.0,0.0,20.5,148.0,97.0,18.5
2021-22,2021-10-29,NUG,MAV,NUG,2.084,0.6,1.0,0.6,0.4,0.4,1.0,0.2,0.6,0.333,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.2,0.0,0.0,0.4,1.4,1.38,0.6,0.7,0.7,0.6,0.0,0.0,19.6,9.6,43.5,4.8,0.0,0.0,20.5,148.0,97.0,18.5
2021-22,2021-10-30,NUG,TIM,TIM,3.22,0.833,1.5,0.556,0.333,0.333,1.0,0.5,1.167,0.429,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.333,0.0,0.333,0.5,2.167,1.817,0.5,0.722,0.722,0.778,0.0,0.0,9.8,4.8,38.5,5.1,0.0,16.65,25.25,124.0,85.0,15.2
2021-22,2021-11-01,NUG,GRI,GRI,5.277,1.143,2.286,0.5,0.429,0.571,0.75,0.714,1.714,0.417,0.0,0.0,0.0,0.0,0.286,0.286,1.0,0.429,0.143,0.286,0.571,3.0,2.657,1.857,0.656,0.656,0.75,0.0,0.0,6.533,3.2,35.467,4.367,1.9,11.1,22.467,127.667,90.333,13.6
2021-22,2021-11-03,NUG,GRI,GRI,6.608,1.375,3.25,0.423,0.5,1.0,0.5,0.875,2.25,0.389,0.0,0.0,0.0,0.0,0.375,0.375,1.0,0.625,0.125,0.25,0.5,3.625,2.975,1.875,0.558,0.558,0.692,0.0,0.0,6.575,3.2,29.125,4.8,1.425,8.325,23.925,115.5,93.25,10.6
2021-22,2021-11-06,NUG,ROC,NUG,8.176,1.667,3.778,0.441,0.778,1.333,0.583,0.889,2.444,0.364,0.0,0.0,0.0,0.111,0.667,0.778,1.222,0.667,0.111,0.333,0.667,4.222,3.522,1.778,0.559,0.559,0.647,0.0,1.06,9.12,4.88,27.42,4.34,1.14,8.88,23.02,115.4,97.4,8.96
2021-22,2021-11-08,NUG,HEA,NUG,8.866,1.6,4.1,0.39,0.8,1.5,0.533,0.8,2.6,0.308,0.0,0.0,0.0,0.1,0.7,0.8,1.1,0.6,0.1,0.5,0.7,4.0,2.71,0.7,0.488,0.488,0.634,0.0,0.883,8.867,4.65,22.85,3.617,0.95,11.1,23.617,100.0,99.0,2.967
2021-22,2021-11-10,NUG,PAC,NUG,9.521,1.636,4.364,0.375,0.818,1.545,0.529,0.818,2.818,0.29,0.091,0.091,1.0,0.091,0.727,0.818,1.091,0.727,0.182,0.545,0.818,4.182,2.809,0.364,0.475,0.469,0.646,0.021,0.757,8.586,4.486,20.771,4.0,1.829,11.2,23.5,97.429,97.571,2.529
2021-22,2021-11-12,NUG,HAW,NUG,10.548,1.75,4.667,0.375,0.833,1.667,0.5,0.917,3.0,0.306,0.417,0.5,0.833,0.083,0.917,1.0,1.333,0.667,0.167,0.583,0.833,4.833,3.367,0.167,0.495,0.473,0.643,0.089,0.662,9.675,4.875,21.912,3.5,1.6,10.912,23.55,100.75,99.625,2.712
2021-22,2021-11-14,NUG,BLA,NUG,11.358,2.0,5.077,0.394,0.923,1.769,0.522,1.077,3.308,0.326,0.538,0.615,0.875,0.154,1.231,1.385,1.538,0.615,0.154,0.538,1.0,5.615,4.169,0.231,0.525,0.5,0.652,0.106,1.144,10.989,5.867,23.022,3.111,1.422,9.7,23.533,106.222,100.0,3.867
2021-22,2021-11-15,NUG,MAV,MAV,12.182,2.214,5.357,0.413,0.929,1.714,0.542,1.286,3.643,0.353,0.786,0.857,0.917,0.214,1.286,1.5,1.643,0.714,0.143,0.5,1.071,6.5,5.179,1.357,0.567,0.533,0.68,0.147,1.53,10.86,6.02,22.44,3.27,1.28,8.73,23.32,114.2,100.3,5.25
2021-22,2021-11-18,NUG,76E,NUG,12.08,2.133,5.267,0.405,0.933,1.733,0.538,1.2,3.533,0.34,0.733,0.8,0.917,0.2,1.267,1.467,1.533,0.667,0.133,0.6,1.2,6.2,4.613,0.2,0.552,0.519,0.671,0.139,1.391,10.764,5.927,20.4,2.973,1.164,10.964,23.6,106.909,102.636,2.018
2021-22,2021-11-19,NUG,BUL,NUG,12.208,2.0,5.375,0.372,0.875,1.75,0.5,1.125,3.625,0.31,0.812,0.875,0.929,0.188,1.375,1.562,1.438,0.625,0.188,0.688,1.188,5.938,4.094,-1.125,0.515,0.477,0.674,0.151,1.275,11.892,6.367,18.7,2.725,1.575,11.733,24.275,99.917,103.083,-0.325
