SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2006-01-18,TIM,CEL,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2006-01-20,TIM,PAC,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2006-01-22,TIM,76E,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2006-01-24,TIM,PIS,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2006-01-25,TIM,GRI,GRI,1.11,0.4,1.0,0.4,0.4,0.8,0.5,0.0,0.2,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38,0.2,0.425,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3,86.0,128.0,-3.3
2005-06,2006-04-11,TIM,GRI,GRI,1.255,0.333,1.0,0.333,0.333,0.833,0.4,0.0,0.167,0.0,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.333,0.387,0.333,0.167,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.25,74.5,136.0,-14.9
2005-06,2006-04-12,TIM,ROC,ROC,3.414,0.429,1.571,0.273,0.286,1.0,0.286,0.143,0.571,0.25,0.857,1.143,0.75,0.0,0.143,0.143,0.143,0.0,0.0,0.143,0.143,1.857,0.757,0.286,0.448,0.318,0.364,0.545,0.0,2.4,1.167,3.467,0.0,0.0,4.3,40.567,84.667,130.0,-10.9
2005-06,2006-04-14,TIM,PAC,PAC,6.322,0.75,2.625,0.286,0.5,1.75,0.286,0.25,0.875,0.286,1.5,1.75,0.857,0.25,0.625,0.875,0.125,0.0,0.0,0.375,0.25,3.25,1.588,1.75,0.479,0.333,0.333,0.571,2.2,6.425,4.25,2.6,0.0,0.0,6.65,37.05,91.25,122.25,-8.8
2005-06,2006-04-16,TIM,SPU,TIM,8.589,0.889,3.222,0.276,0.667,2.333,0.286,0.222,0.889,0.25,1.333,1.556,0.857,0.222,1.0,1.222,0.444,0.111,0.0,0.444,0.667,3.333,1.511,1.222,0.427,0.31,0.276,0.414,1.76,8.74,5.06,5.74,0.44,0.0,7.54,33.06,86.0,119.2,-8.76
2005-06,2006-04-19,TIM,GRI,TIM,10.088,1.3,3.7,0.351,1.0,2.6,0.385,0.3,1.1,0.273,1.4,1.6,0.875,0.2,1.2,1.4,0.5,0.1,0.0,0.5,0.7,4.3,2.32,1.0,0.488,0.392,0.297,0.378,1.467,10.183,5.567,6.267,0.367,0.0,7.967,31.067,93.0,119.0,-6.767
