SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-25,WAR,CLI,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,2011-12-26,WAR,BUL,WAR,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.35,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,216.0,125.0,22.5
2011-12,2011-12-28,WAR,KNI,WAR,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.233,-0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,216.0,125.0,22.5
2011-12,2011-12-31,WAR,76E,WAR,1.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65,5.75,0.0,0.0,0.0,216.5,99.0,17.65
2011-12,2012-01-02,WAR,SUN,SUN,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.48,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.65,5.75,0.0,0.0,0.0,216.5,99.0,17.65
2011-12,2012-01-04,WAR,SPU,SPU,3.197,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.167,0.0,0.0,0.333,1.0,1.233,-3.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.767,3.833,0.0,0.0,3.633,212.0,107.333,12.1
2011-12,2012-01-06,WAR,LAK,LAK,3.121,0.429,0.571,0.75,0.429,0.571,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.143,0.0,0.0,0.714,0.857,0.786,-2.571,0.75,0.75,0.0,0.0,0.0,0.0,0.0,35.825,2.875,0.0,0.0,7.3,159.0,109.25,-2.35
2011-12,2012-01-07,WAR,JAZ,WAR,4.0,0.5,0.75,0.667,0.5,0.75,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.125,0.0,0.0,0.75,1.0,0.8,-2.875,0.667,0.667,0.0,0.0,0.0,2.42,1.16,28.66,2.3,0.0,0.0,7.68,147.8,109.4,-3.28
2011-12,2012-01-10,WAR,HEA,WAR,4.65,0.556,1.0,0.556,0.556,1.0,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.222,0.444,0.111,0.0,0.0,0.667,1.111,0.9,-4.444,0.556,0.556,0.0,0.0,2.133,2.017,1.917,27.25,1.917,0.0,0.0,8.9,139.833,110.0,-3.2
2011-12,2012-01-12,WAR,MAG,WAR,5.242,0.6,1.2,0.5,0.6,1.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.8,0.2,0.0,0.2,0.7,1.2,0.98,-4.4,0.5,0.5,0.0,0.0,1.829,1.729,1.643,32.043,2.314,0.0,5.714,10.429,130.286,108.571,-3.314
2011-12,2012-01-14,WAR,BOB,BOB,5.918,0.909,1.727,0.526,0.909,1.727,0.526,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.182,0.273,1.0,0.273,0.0,0.182,0.818,1.818,1.555,-4.0,0.526,0.526,0.0,0.0,1.6,2.662,2.025,33.125,2.525,0.0,5.0,12.3,129.75,110.0,-2.188
2011-12,2012-01-15,WAR,PIS,PIS,7.248,1.0,1.75,0.571,1.0,1.75,0.571,0.0,0.0,0.0,0.083,0.083,1.0,0.083,0.167,0.25,1.167,0.333,0.0,0.167,1.0,2.083,1.95,-3.917,0.583,0.571,0.0,0.048,1.422,2.367,1.8,31.833,2.5,0.0,4.444,11.467,138.778,111.111,-2.044
