SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-17,SPU,TIM,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-10-20,SPU,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-10-22,SPU,LAK,LAK,1.157,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.667,0.667,0.0,0.0,0.333,0.0,0.0,0.667,0.867,1.667,0.532,0.0,0.0,2.0,0.0,83.9,32.2,0.0,0.0,26.6,0.0,23.2,128.0,101.0,11.7
2018-19,2018-10-24,SPU,PAC,SPU,0.868,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.5,0.65,1.25,0.532,0.0,0.0,2.0,0.0,83.9,32.2,0.0,0.0,26.6,0.0,23.2,128.0,101.0,11.7
2018-19,2018-10-27,SPU,LAK,SPU,1.798,0.2,1.0,0.2,0.2,0.8,0.25,0.0,0.2,0.0,0.4,0.4,1.0,0.0,0.4,0.4,0.2,0.0,0.2,0.0,0.0,0.8,0.58,2.0,0.34,0.2,0.2,0.4,0.0,41.95,16.1,16.55,0.0,13.3,0.0,27.55,99.5,115.0,0.6
2018-19,2018-10-29,SPU,MAV,SPU,1.498,0.167,0.833,0.2,0.167,0.667,0.25,0.0,0.167,0.0,0.333,0.333,1.0,0.0,0.333,0.333,0.167,0.0,0.167,0.0,0.0,0.667,0.483,1.667,0.34,0.2,0.2,0.4,0.0,41.95,16.1,16.55,0.0,13.3,0.0,27.55,99.5,115.0,0.6
2018-19,2018-10-31,SPU,SUN,SUN,1.284,0.143,0.714,0.2,0.143,0.571,0.25,0.0,0.143,0.0,0.286,0.286,1.0,0.0,0.286,0.286,0.143,0.0,0.143,0.0,0.0,0.571,0.414,1.429,0.34,0.2,0.2,0.4,0.0,41.95,16.1,16.55,0.0,13.3,0.0,27.55,99.5,115.0,0.6
2018-19,2018-11-03,SPU,PEL,SPU,1.968,0.25,1.125,0.222,0.25,1.0,0.25,0.0,0.125,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.125,0.125,0.125,0.0,0.0,1.0,0.762,2.0,0.372,0.222,0.111,0.444,0.0,37.833,16.5,11.033,2.333,8.867,0.0,29.033,96.333,102.0,-0.7
2018-19,2018-11-04,SPU,MAG,SPU,1.849,0.222,1.0,0.222,0.222,0.889,0.25,0.0,0.111,0.0,0.444,0.444,1.0,0.0,0.444,0.444,0.111,0.222,0.111,0.0,0.0,0.889,0.789,1.778,0.372,0.222,0.111,0.444,0.0,28.375,12.375,8.275,15.05,6.65,0.0,21.775,72.25,74.25,13.275
2018-19,2018-11-07,SPU,HEA,HEA,2.027,0.2,0.9,0.222,0.2,0.8,0.25,0.0,0.1,0.0,0.4,0.4,1.0,0.1,0.5,0.6,0.1,0.2,0.1,0.0,0.1,0.8,0.77,2.2,0.372,0.222,0.111,0.444,6.3,28.7,16.04,6.62,12.04,5.32,0.0,17.42,103.8,83.6,9.6
2018-19,2018-11-10,SPU,ROC,SPU,1.843,0.182,0.818,0.222,0.182,0.727,0.25,0.0,0.091,0.0,0.364,0.364,1.0,0.091,0.455,0.545,0.091,0.182,0.091,0.0,0.091,0.727,0.7,2.0,0.372,0.222,0.111,0.444,6.3,28.7,16.04,6.62,12.04,5.32,0.0,17.42,103.8,83.6,9.6
2018-19,2018-11-12,SPU,KIN,KIN,2.712,0.167,0.833,0.2,0.167,0.75,0.222,0.0,0.083,0.0,0.333,0.333,1.0,0.25,0.417,0.667,0.083,0.167,0.167,0.333,0.083,0.667,0.425,0.667,0.34,0.2,0.1,0.4,8.35,23.917,14.733,5.517,10.033,5.767,13.333,17.75,91.0,87.167,5.5
2018-19,2018-11-14,SPU,SUN,SUN,2.565,0.154,0.769,0.2,0.154,0.692,0.222,0.0,0.077,0.0,0.308,0.308,1.0,0.231,0.385,0.615,0.077,0.154,0.154,0.308,0.077,0.615,0.392,0.923,0.34,0.2,0.1,0.4,7.157,20.5,12.629,4.729,8.6,4.943,11.429,15.214,78.0,91.143,3.843
2018-19,2018-11-15,SPU,CLI,CLI,2.861,0.214,0.857,0.25,0.214,0.786,0.273,0.0,0.071,0.0,0.357,0.5,0.714,0.214,0.5,0.714,0.071,0.143,0.143,0.357,0.143,0.786,0.393,0.857,0.365,0.25,0.083,0.417,6.262,23.05,13.262,4.138,7.525,4.325,12.888,16.775,76.875,95.0,1.475
2018-19,2018-11-18,SPU,WAR,SPU,2.67,0.2,0.8,0.25,0.2,0.733,0.273,0.0,0.067,0.0,0.333,0.467,0.714,0.2,0.467,0.667,0.067,0.133,0.133,0.333,0.133,0.733,0.367,0.8,0.365,0.25,0.083,0.417,6.262,23.05,13.262,4.138,7.525,4.325,12.888,16.775,76.875,95.0,1.475
2018-19,2018-11-19,SPU,PEL,PEL,2.503,0.188,0.75,0.25,0.188,0.688,0.273,0.0,0.062,0.0,0.312,0.438,0.714,0.188,0.438,0.625,0.062,0.125,0.125,0.312,0.125,0.688,0.344,0.75,0.365,0.25,0.083,0.417,6.262,23.05,13.262,4.138,7.525,4.325,12.888,16.775,76.875,95.0,1.475
