SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2011-01-24,BLA,KIN,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2011-01-27,BLA,CEL,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2011-02-01,BLA,SPU,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2011-02-02,BLA,NUG,NUG,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.65,-1.25,1.136,0.0,0.0,0.0,0.0,47.3,30.1,0.0,0.0,0.0,0.0,10.2,250.0,89.0,15.7
2010-11,2011-02-24,CEL,NUG,NUG,3.294,0.2,0.6,0.333,0.2,0.6,0.333,0.0,0.0,0.0,0.4,0.8,0.5,0.0,0.8,0.8,0.2,0.0,0.2,0.2,0.4,0.8,0.46,-2.4,0.42,0.333,0.0,0.667,0.0,34.6,19.95,7.05,0.0,3.45,10.25,14.6,149.0,103.5,1.9
2010-11,2011-02-26,CEL,CLI,CLI,5.553,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.667,1.0,0.667,0.0,0.833,0.833,0.167,0.0,0.667,0.333,0.833,1.667,1.2,-2.667,0.579,0.5,0.0,0.667,0.0,25.333,14.367,4.7,0.0,7.033,13.667,14.567,138.333,100.0,1.767
2010-11,2011-02-28,CEL,JAZ,JAZ,5.263,0.429,0.857,0.5,0.429,0.857,0.5,0.0,0.0,0.0,0.571,0.857,0.667,0.0,0.857,0.857,0.143,0.0,0.571,0.286,0.714,1.429,1.071,-2.429,0.579,0.5,0.0,0.667,0.0,27.75,15.1,3.525,0.0,5.275,10.25,10.925,103.75,100.75,0.75
2010-11,2011-03-02,CEL,SUN,CEL,4.99,0.375,0.75,0.5,0.375,0.75,0.5,0.0,0.0,0.0,0.5,0.75,0.667,0.0,0.875,0.875,0.25,0.0,0.5,0.25,0.625,1.25,1.062,-2.375,0.579,0.5,0.0,0.667,0.0,29.12,15.84,10.8,0.0,4.22,8.2,8.74,126.6,101.8,3.64
2010-11,2011-03-04,CEL,WAR,CEL,4.436,0.333,0.667,0.5,0.333,0.667,0.5,0.0,0.0,0.0,0.444,0.667,0.667,0.0,0.778,0.778,0.222,0.0,0.444,0.222,0.556,1.111,0.944,-2.111,0.579,0.5,0.0,0.667,0.0,29.12,15.84,10.8,0.0,4.22,8.2,8.74,126.6,101.8,3.64
2010-11,2011-03-15,BLA,MAV,BLA,4.889,0.3,0.6,0.5,0.3,0.6,0.5,0.0,0.0,0.0,0.4,0.6,0.667,0.1,0.8,0.9,0.2,0.0,0.4,0.3,0.5,1.0,0.85,-1.9,0.579,0.5,0.0,0.667,2.967,26.683,15.867,9.0,0.0,3.517,23.5,8.2,116.0,104.833,1.583
2010-11,2011-03-17,BLA,CAV,BLA,4.445,0.273,0.545,0.5,0.273,0.545,0.5,0.0,0.0,0.0,0.364,0.545,0.667,0.091,0.727,0.818,0.182,0.0,0.364,0.273,0.455,0.909,0.773,-1.727,0.579,0.5,0.0,0.667,2.967,26.683,15.867,9.0,0.0,3.517,23.5,8.2,116.0,104.833,1.583
2010-11,2011-03-19,BLA,76E,BLA,4.384,0.333,0.583,0.571,0.333,0.583,0.571,0.0,0.0,0.0,0.333,0.5,0.667,0.167,0.667,0.833,0.167,0.083,0.333,0.333,0.5,1.0,0.875,-1.167,0.622,0.571,0.0,0.571,7.529,22.871,16.1,7.714,2.243,3.014,27.286,10.686,112.714,98.429,2.214
2010-11,2011-03-20,BLA,LAK,LAK,4.047,0.308,0.538,0.571,0.308,0.538,0.571,0.0,0.0,0.0,0.308,0.462,0.667,0.154,0.615,0.769,0.154,0.077,0.308,0.308,0.462,0.923,0.808,-1.077,0.622,0.571,0.0,0.571,7.529,22.871,16.1,7.714,2.243,3.014,27.286,10.686,112.714,98.429,2.214
2010-11,2011-03-22,BLA,WIZ,BLA,3.758,0.286,0.5,0.571,0.286,0.5,0.571,0.0,0.0,0.0,0.286,0.429,0.667,0.143,0.571,0.714,0.143,0.071,0.286,0.286,0.429,0.857,0.75,-1.0,0.622,0.571,0.0,0.571,7.529,22.871,16.1,7.714,2.243,3.014,27.286,10.686,112.714,98.429,2.214
2010-11,2011-03-25,BLA,SPU,BLA,4.559,0.4,0.6,0.667,0.4,0.6,0.667,0.0,0.0,0.0,0.467,0.667,0.7,0.133,0.733,0.867,0.133,0.067,0.467,0.4,0.667,1.267,1.06,-0.933,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-03-27,BLA,THU,THU,4.274,0.375,0.562,0.667,0.375,0.562,0.667,0.0,0.0,0.0,0.438,0.625,0.7,0.125,0.688,0.812,0.125,0.062,0.438,0.375,0.625,1.188,0.994,-0.875,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-03-28,BLA,SPU,SPU,4.022,0.353,0.529,0.667,0.353,0.529,0.667,0.0,0.0,0.0,0.412,0.588,0.7,0.118,0.647,0.765,0.118,0.059,0.412,0.353,0.588,1.118,0.935,-0.824,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-03-30,BLA,NHO,NHO,3.799,0.333,0.5,0.667,0.333,0.5,0.667,0.0,0.0,0.0,0.389,0.556,0.7,0.111,0.611,0.722,0.111,0.056,0.389,0.333,0.556,1.056,0.883,-0.778,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-04-01,BLA,THU,BLA,3.599,0.316,0.474,0.667,0.316,0.474,0.667,0.0,0.0,0.0,0.368,0.526,0.7,0.105,0.579,0.684,0.105,0.053,0.368,0.316,0.526,1.0,0.837,-0.737,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-04-03,BLA,MAV,BLA,3.419,0.3,0.45,0.667,0.3,0.45,0.667,0.0,0.0,0.0,0.35,0.5,0.7,0.1,0.55,0.65,0.1,0.05,0.35,0.3,0.5,0.95,0.795,-0.7,0.709,0.667,0.0,0.778,6.588,22.862,15.575,6.75,1.962,4.512,28.212,11.275,112.25,95.5,2.262
2010-11,2011-04-05,BLA,WAR,BLA,3.539,0.333,0.524,0.636,0.333,0.524,0.636,0.0,0.0,0.0,0.333,0.476,0.7,0.095,0.524,0.619,0.095,0.048,0.333,0.286,0.524,1.0,0.786,-1.143,0.682,0.636,0.0,0.636,5.856,20.322,13.844,6.0,1.744,4.011,25.078,11.911,110.556,97.778,1.078
2010-11,2011-04-07,BLA,JAZ,JAZ,3.688,0.318,0.5,0.636,0.318,0.5,0.636,0.0,0.0,0.0,0.409,0.545,0.75,0.136,0.545,0.682,0.091,0.091,0.318,0.318,0.636,1.045,0.832,-1.364,0.706,0.636,0.0,0.818,6.74,20.1,14.08,5.4,2.4,3.61,27.89,12.04,111.4,99.1,0.36
2010-11,2011-04-08,BLA,LAK,BLA,3.958,0.348,0.522,0.667,0.348,0.522,0.667,0.0,0.0,0.0,0.391,0.522,0.75,0.174,0.609,0.783,0.087,0.087,0.348,0.348,0.652,1.087,0.896,-1.261,0.723,0.667,0.0,0.75,7.227,20.373,14.409,4.909,2.182,4.1,29.9,11.855,110.0,99.364,0.291
2010-11,2011-04-12,BLA,GRI,BLA,4.084,0.333,0.542,0.615,0.333,0.542,0.615,0.0,0.0,0.0,0.375,0.5,0.75,0.167,0.625,0.792,0.083,0.083,0.333,0.333,0.708,1.042,0.808,-1.542,0.684,0.615,0.0,0.692,6.625,19.717,13.825,4.5,2.0,3.758,27.408,11.475,100.833,99.5,-1.117
2010-11,2011-04-13,BLA,WAR,WAR,3.943,0.32,0.52,0.615,0.32,0.52,0.615,0.0,0.0,0.0,0.36,0.48,0.75,0.16,0.6,0.76,0.08,0.08,0.32,0.32,0.68,1.0,0.776,-1.4,0.684,0.615,0.0,0.692,6.115,18.2,12.762,4.154,1.846,3.469,25.3,10.592,93.077,100.923,-1.577
2010-11,2011-04-16,BLA,MAV,MAV,5.342,0.346,0.808,0.429,0.346,0.808,0.429,0.0,0.0,0.0,0.577,0.769,0.75,0.462,0.769,1.231,0.115,0.115,0.346,0.385,0.808,1.269,1.05,-2.115,0.554,0.429,0.0,0.714,7.064,17.964,13.093,4.171,1.807,3.35,24.55,10.85,93.0,102.071,-2.057
2010-11,2011-04-19,BLA,MAV,MAV,5.144,0.333,0.778,0.429,0.333,0.778,0.429,0.0,0.0,0.0,0.556,0.741,0.75,0.444,0.741,1.185,0.111,0.111,0.333,0.37,0.778,1.222,1.011,-2.037,0.554,0.429,0.0,0.714,7.064,17.964,13.093,4.171,1.807,3.35,24.55,10.85,93.0,102.071,-2.057
2010-11,2011-04-21,BLA,MAV,BLA,4.961,0.321,0.75,0.429,0.321,0.75,0.429,0.0,0.0,0.0,0.536,0.714,0.75,0.429,0.714,1.143,0.107,0.107,0.321,0.357,0.75,1.179,0.975,-1.964,0.554,0.429,0.0,0.714,7.064,17.964,13.093,4.171,1.807,3.35,24.55,10.85,93.0,102.071,-2.057
2010-11,2011-04-23,BLA,MAV,BLA,4.983,0.31,0.724,0.429,0.31,0.724,0.429,0.0,0.0,0.0,0.517,0.69,0.75,0.414,0.793,1.207,0.103,0.103,0.379,0.345,0.724,1.138,1.021,-1.655,0.554,0.429,0.0,0.714,6.593,21.4,14.533,3.893,1.687,5.613,22.913,10.127,86.8,100.4,-0.907
2010-11,2011-04-25,BLA,MAV,MAV,4.891,0.3,0.7,0.429,0.3,0.7,0.429,0.0,0.0,0.0,0.5,0.667,0.75,0.4,0.767,1.167,0.1,0.1,0.367,0.333,0.7,1.1,0.987,-1.667,0.554,0.429,0.0,0.714,6.181,20.062,13.625,3.65,1.581,5.262,21.481,9.494,81.375,101.188,-1.119
2010-11,2011-04-28,BLA,MAV,BLA,4.934,0.29,0.677,0.429,0.29,0.677,0.429,0.0,0.0,0.0,0.548,0.71,0.773,0.387,0.806,1.194,0.097,0.097,0.355,0.323,0.71,1.129,1.026,-1.226,0.57,0.429,0.0,0.81,5.818,20.771,13.876,3.435,1.488,4.953,20.218,9.359,91.294,101.235,-0.724
2011-12,2011-12-26,BLA,76E,BLA,4.737,0.297,0.679,0.433,0.297,0.679,0.433,0.0,0.0,0.0,0.506,0.655,0.736,0.357,0.744,1.101,0.09,0.09,0.328,0.297,0.738,1.101,0.947,-1.31,0.556,0.433,0.0,0.736,5.232,18.683,12.482,3.09,1.339,4.455,18.185,10.016,92.698,103.429,-2.549
2011-12,2011-12-27,BLA,KIN,BLA,4.785,0.314,0.686,0.459,0.314,0.686,0.459,0.0,0.0,0.0,0.483,0.625,0.703,0.371,0.74,1.112,0.085,0.085,0.313,0.284,0.742,1.112,0.965,-1.439,0.576,0.459,0.0,0.703,5.613,18.452,12.533,2.949,1.278,4.253,17.358,9.806,97.666,102.909,-2.437
2011-12,2011-12-29,BLA,NUG,BLA,4.613,0.304,0.663,0.461,0.304,0.663,0.461,0.0,0.0,0.0,0.462,0.598,0.672,0.359,0.712,1.07,0.082,0.082,0.299,0.271,0.717,1.07,0.928,-1.413,0.573,0.461,0.0,0.672,5.664,17.945,12.283,2.821,1.223,4.068,16.603,9.976,97.811,102.87,-3.123
