SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-26,WIZ,NNE,WIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,2011-12-28,WIZ,HAW,HAW,10.865,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,1.5,2.1,-5.5,0.5,0.5,0.667,0.0,0.0,9.0,4.6,0.0,4.9,3.7,0.0,6.6,100.0,95.0,2.1
2011-12,2011-12-30,WIZ,BUC,BUC,15.987,1.333,2.333,0.571,0.667,1.333,0.5,0.667,1.0,0.667,0.0,0.0,0.0,0.0,1.667,1.667,0.0,1.333,0.333,0.333,1.667,3.333,3.3,-4.0,0.714,0.714,0.429,0.0,0.0,11.9,5.85,0.0,4.45,1.85,10.0,7.75,112.0,101.0,1.9
2011-12,2012-01-01,WIZ,CEL,WIZ,17.952,1.25,2.5,0.5,0.5,1.0,0.5,0.75,1.5,0.5,0.0,0.0,0.0,0.0,1.75,1.75,0.0,1.25,0.25,0.5,2.25,3.25,2.55,-5.75,0.65,0.65,0.6,0.0,0.0,11.667,5.467,0.0,3.667,1.233,15.0,7.667,97.667,103.667,-1.567
2011-12,2012-01-02,WIZ,CEL,CEL,17.066,1.0,2.2,0.455,0.4,0.8,0.5,0.6,1.4,0.429,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.2,0.2,0.4,2.0,2.6,2.2,-4.2,0.591,0.591,0.636,0.0,0.0,15.95,7.425,0.0,3.725,0.925,11.25,6.625,73.25,102.75,-2.225
2011-12,2012-01-04,WIZ,MAG,MAG,15.585,1.0,2.167,0.462,0.333,0.833,0.4,0.667,1.333,0.5,0.0,0.0,0.0,0.0,1.667,1.667,0.0,1.0,0.167,0.5,1.833,2.667,1.933,-5.0,0.615,0.615,0.615,0.0,0.0,12.76,5.94,0.0,2.98,0.74,15.66,8.68,77.2,106.6,-3.24
2011-12,2012-01-06,WIZ,KNI,WIZ,16.537,1.286,2.571,0.5,0.571,1.143,0.5,0.714,1.429,0.5,0.0,0.0,0.0,0.143,1.857,2.0,0.0,0.857,0.143,0.714,2.286,3.286,1.986,-4.429,0.639,0.639,0.556,0.0,0.7,12.933,6.417,0.0,2.483,0.617,17.817,9.517,81.0,108.0,-4.0
2011-12,2012-01-08,WIZ,TIM,WIZ,17.805,1.75,3.25,0.538,0.875,1.625,0.538,0.875,1.625,0.538,0.0,0.0,0.0,0.375,2.25,2.625,0.125,1.125,0.375,0.625,2.625,4.375,3.538,-5.625,0.673,0.673,0.5,0.0,1.771,13.714,7.429,0.8,2.886,1.257,15.271,9.971,92.0,105.143,-1.471
2011-12,2012-01-10,WIZ,RAP,WIZ,20.268,1.667,3.778,0.441,0.889,2.111,0.421,0.778,1.667,0.467,0.111,0.222,0.5,0.667,2.444,3.111,0.222,1.111,0.444,0.556,2.778,4.222,3.311,-5.889,0.545,0.544,0.441,0.029,2.45,13.538,7.675,1.225,2.688,1.375,13.362,9.95,87.875,105.375,-2.338
2011-12,2012-01-11,WIZ,BUL,BUL,20.553,1.9,4.3,0.442,1.1,2.5,0.44,0.8,1.8,0.444,0.1,0.2,0.5,0.8,2.9,3.7,0.3,1.1,0.4,0.5,2.8,4.7,3.81,-5.2,0.536,0.535,0.419,0.023,3.356,15.7,9.322,1.822,2.644,1.222,11.878,10.867,90.889,102.556,-1.822
