SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,MAG,HEA,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-26,MAG,WIZ,WIZ,9.59,1.5,2.5,0.6,1.5,2.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.5,0.5,3.0,3.55,1.5,0.6,0.6,0.2,0.0,0.0,13.5,6.0,43.5,4.8,0.0,37.5,16.9,99.0,99.0,3.6
2020-21,2020-12-27,MAG,WIZ,WIZ,12.033,2.333,5.333,0.438,2.0,3.667,0.545,0.333,1.667,0.2,0.0,0.0,0.0,0.333,2.0,2.333,3.667,0.667,0.0,1.0,1.0,5.0,4.867,2.667,0.469,0.469,0.313,0.0,3.0,18.1,10.3,41.1,2.4,0.0,18.75,21.35,105.0,104.5,1.6
2020-21,2020-12-29,MAG,THU,THU,13.762,2.5,6.25,0.4,2.25,4.5,0.5,0.25,1.75,0.143,1.5,1.5,1.0,1.25,2.25,3.5,3.5,0.5,0.0,0.75,1.0,6.75,6.725,6.5,0.488,0.42,0.28,0.24,9.5,17.467,13.3,36.0,1.6,0.0,12.5,23.033,115.667,108.667,2.167
2020-21,2020-12-31,MAG,76E,MAG,14.276,2.2,6.0,0.367,1.8,4.2,0.429,0.4,1.8,0.222,2.0,2.0,1.0,1.2,2.4,3.6,3.4,0.6,0.0,0.6,1.2,6.8,6.94,5.6,0.494,0.4,0.3,0.333,8.625,18.1,13.125,31.775,1.925,0.0,9.375,21.625,120.5,107.0,2.45
2020-21,2021-01-02,MAG,THU,MAG,16.952,2.667,8.0,0.333,2.167,5.833,0.371,0.5,2.167,0.231,2.5,2.5,1.0,1.167,3.0,4.167,3.167,0.5,0.0,0.833,1.333,8.333,6.867,4.0,0.458,0.365,0.271,0.312,7.46,18.7,12.68,27.94,1.54,0.0,9.3,23.4,112.4,108.4,0.68
2020-21,2021-01-04,MAG,CAV,MAG,16.976,2.429,7.857,0.309,2.0,5.714,0.35,0.429,2.143,0.2,2.143,2.143,1.0,1.286,3.0,4.286,2.857,0.429,0.0,0.714,1.429,7.429,5.843,2.857,0.422,0.336,0.273,0.273,7.75,18.633,12.75,24.533,1.283,0.0,7.75,22.25,102.833,109.167,-2.017
2020-21,2021-01-06,MAG,CAV,MAG,17.539,2.375,8.0,0.297,1.875,5.875,0.319,0.5,2.125,0.235,2.375,2.5,0.95,1.25,3.125,4.375,3.0,0.375,0.125,0.75,1.625,7.625,5.9,4.25,0.419,0.328,0.266,0.297,7.371,18.814,12.729,24.843,1.1,0.557,7.814,22.529,104.143,106.857,-2.114
2020-21,2021-01-08,MAG,ROC,ROC,19.157,2.556,8.444,0.303,2.111,6.111,0.345,0.444,2.333,0.19,2.111,2.222,0.95,1.111,3.222,4.333,3.0,0.333,0.222,1.0,1.556,7.667,5.444,5.0,0.407,0.329,0.276,0.25,6.45,18.025,11.988,23.388,0.962,0.8,9.338,22.412,99.375,106.5,-3.375
2020-21,2021-01-09,MAG,MAV,MAV,20.051,2.9,9.0,0.322,2.5,6.6,0.379,0.4,2.4,0.167,2.2,2.4,0.917,1.1,3.0,4.1,3.0,0.5,0.2,1.3,1.5,8.4,5.69,1.8,0.418,0.344,0.267,0.244,6.1,16.5,11.078,23.189,1.244,0.711,10.544,23.389,97.556,109.444,-3.778
2020-21,2021-01-11,MAG,BUC,MAG,21.146,2.818,8.909,0.316,2.364,6.273,0.377,0.455,2.636,0.172,2.273,2.545,0.893,1.0,2.909,3.909,3.0,0.455,0.182,1.364,1.545,8.364,5.418,0.818,0.417,0.342,0.296,0.255,5.49,15.62,10.31,22.15,1.12,0.64,11.19,22.68,95.9,110.9,-4.53
2020-21,2021-01-15,MAG,CEL,CEL,21.316,2.917,9.25,0.315,2.417,6.5,0.372,0.5,2.75,0.182,2.333,2.583,0.903,0.917,2.917,3.833,2.833,0.5,0.167,1.417,1.583,8.667,5.325,0.167,0.417,0.342,0.297,0.252,4.991,15.609,10.018,20.745,1.209,0.582,11.291,23.3,94.909,111.818,-5.027
2020-21,2021-01-16,MAG,NET,NET,21.784,3.231,9.923,0.326,2.692,6.923,0.389,0.538,3.0,0.179,2.154,2.462,0.875,0.923,3.077,4.0,2.846,0.462,0.154,1.692,1.615,9.154,5.169,-1.538,0.416,0.353,0.302,0.217,4.842,16.283,10.15,20.717,1.108,0.533,12.125,24.342,93.167,113.25,-5.642
2020-21,2021-01-18,MAG,KNI,KNI,22.33,3.429,10.286,0.333,2.786,7.143,0.39,0.643,3.143,0.205,2.143,2.429,0.882,0.857,3.071,3.929,3.214,0.643,0.214,1.643,1.714,9.643,5.936,-1.429,0.425,0.365,0.306,0.208,4.469,16.169,9.846,22.054,1.392,0.785,11.646,24.323,94.846,113.231,-4.762
