SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2009-10,2009-11-03,PIS,MAG,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,2009-11-04,PIS,RAP,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,2009-11-06,PIS,MAG,MAG,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,-6.4
2009-10,2009-11-08,PIS,76E,PIS,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,-6.4
2009-10,2009-11-11,PIS,BOB,PIS,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,-6.4
2009-10,2009-11-14,PIS,WIZ,WIZ,1.848,0.167,0.333,0.5,0.167,0.333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.167,0.0,0.0,0.167,0.5,0.333,0.017,-1.5,0.5,0.5,0.0,0.0,0.0,12.15,6.9,6.5,0.0,0.0,16.65,7.65,38.5,112.0,-9.0
2009-10,2009-11-15,PIS,MAV,PIS,2.156,0.143,0.571,0.25,0.143,0.429,0.333,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.143,0.0,0.0,0.143,0.714,0.286,-0.3,-1.571,0.25,0.25,0.25,0.0,0.0,8.1,4.6,4.333,0.0,0.0,11.1,12.5,25.667,115.333,-18.5
2009-10,2009-11-17,PIS,LAK,LAK,1.886,0.125,0.5,0.25,0.125,0.375,0.333,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.0,0.0,0.125,0.625,0.25,-0.262,-1.375,0.25,0.25,0.25,0.0,0.0,8.1,4.6,4.333,0.0,0.0,11.1,12.5,25.667,115.333,-18.5
2009-10,2009-11-18,PIS,BLA,BLA,3.01,0.111,0.778,0.143,0.111,0.444,0.25,0.0,0.333,0.0,0.222,0.222,1.0,0.0,0.222,0.222,0.222,0.0,0.111,0.111,0.667,0.444,-0.133,0.111,0.254,0.143,0.429,0.286,0.0,6.075,3.45,6.2,0.0,1.45,8.325,13.3,37.0,117.25,-15.825
2009-10,2009-11-21,PIS,JAZ,JAZ,3.599,0.1,0.9,0.111,0.1,0.6,0.167,0.0,0.3,0.0,0.4,0.4,1.0,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.6,0.6,0.14,0.9,0.279,0.111,0.333,0.444,2.56,8.12,5.64,4.96,1.26,1.16,6.66,13.74,49.4,112.4,-11.72
