SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,CLI,JAZ,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,CLI,VGR,CLI,17.01,2.0,3.0,0.667,2.0,2.5,0.8,0.0,0.5,0.0,0.0,2.0,0.0,0.5,3.0,3.5,1.0,0.0,1.0,1.0,1.0,4.0,3.15,0.5,0.515,0.667,0.167,0.0,4.2,19.7,12.8,10.0,0.0,3.8,20.5,12.8,89.0,110.0,-0.2
2000-01,2000-11-04,CLI,ROC,CLI,21.767,3.0,6.0,0.5,3.0,4.667,0.643,0.0,1.333,0.0,1.667,3.333,0.5,0.667,3.0,3.667,1.667,0.0,1.0,0.667,1.0,7.667,6.167,-1.667,0.513,0.5,0.222,0.278,4.2,14.8,10.1,12.7,0.0,2.95,10.25,16.9,110.0,112.5,1.3
2000-01,2000-11-05,CLI,LAK,LAK,21.893,3.0,5.75,0.522,2.75,4.0,0.688,0.25,1.75,0.143,1.25,2.5,0.5,0.75,3.25,4.0,1.5,0.0,0.75,1.5,0.75,7.5,5.45,0.25,0.547,0.543,0.304,0.217,4.767,15.933,11.0,11.567,0.0,1.967,21.633,17.833,97.667,104.0,0.067
2000-01,2000-11-08,CLI,JAZ,CLI,22.698,2.8,5.4,0.519,2.6,3.8,0.684,0.2,1.6,0.125,1.0,2.0,0.5,0.6,3.8,4.4,1.4,0.2,1.2,1.4,1.0,6.8,5.52,-1.0,0.541,0.537,0.296,0.185,3.575,17.5,11.425,9.95,0.475,3.25,21.225,15.6,94.75,104.25,0.325
2000-01,2000-11-10,CLI,HAW,CLI,20.518,2.5,5.167,0.484,2.333,3.833,0.609,0.167,1.333,0.125,0.833,1.667,0.5,0.833,3.5,4.333,1.167,0.167,1.0,1.333,1.167,6.0,4.567,-1.667,0.508,0.5,0.258,0.161,8.46,20.36,15.1,7.96,0.38,2.6,20.98,17.66,88.0,103.4,-2.52
2000-01,2000-11-12,CLI,NUG,NUG,18.327,2.143,4.429,0.484,2.0,3.286,0.609,0.143,1.143,0.125,0.714,1.429,0.5,0.714,3.143,3.857,1.143,0.143,1.0,1.143,1.0,5.143,4.157,-2.429,0.508,0.5,0.258,0.161,7.05,23.117,15.667,10.35,0.317,4.967,17.483,14.717,110.167,104.0,-0.033
2000-01,2000-11-13,CLI,MAV,CLI,18.62,2.25,4.875,0.462,2.125,3.875,0.548,0.125,1.0,0.125,1.0,1.75,0.571,0.75,3.125,3.875,1.125,0.25,1.0,1.5,1.5,5.625,3.912,-3.0,0.498,0.474,0.205,0.205,6.686,21.857,14.743,10.343,0.614,4.7,19.143,16.571,104.571,102.286,-1.0
2000-01,2000-11-15,CLI,KNI,CLI,19.434,2.444,5.333,0.458,2.333,4.333,0.538,0.111,1.0,0.111,1.0,2.0,0.5,1.0,3.222,4.222,1.333,0.333,1.222,1.889,1.778,6.0,4.033,-1.222,0.483,0.469,0.188,0.188,7.35,21.175,14.675,11.987,0.812,5.2,20.712,17.975,100.375,101.625,-0.925
2000-01,2000-11-16,CLI,VGR,VGR,17.491,2.2,4.8,0.458,2.1,3.9,0.538,0.1,0.9,0.111,0.9,1.8,0.5,0.9,2.9,3.8,1.2,0.3,1.1,1.7,1.6,5.4,3.63,-1.1,0.483,0.469,0.188,0.188,7.35,21.175,14.675,11.987,0.812,5.2,20.712,17.975,100.375,101.625,-0.925
2000-01,2000-11-18,CLI,SUP,CLI,17.016,2.0,4.364,0.458,1.909,3.545,0.538,0.091,0.818,0.111,0.818,1.636,0.5,0.818,2.818,3.636,1.182,0.364,1.0,1.636,1.545,4.909,3.382,-0.182,0.483,0.469,0.188,0.188,6.533,21.222,14.144,12.133,1.3,4.622,29.522,16.456,93.111,99.556,-1.078
2000-01,2000-11-20,CLI,NNE,CLI,16.755,2.0,4.333,0.462,1.917,3.583,0.535,0.083,0.75,0.111,0.75,1.667,0.45,0.833,2.75,3.583,1.083,0.333,0.917,1.833,1.5,4.833,2.942,-0.417,0.477,0.471,0.173,0.173,6.74,20.22,13.75,10.92,1.17,4.16,31.07,17.56,88.4,98.8,-2.47
2000-01,2000-11-24,CLI,SUP,SUP,16.072,1.846,4.154,0.444,1.769,3.385,0.523,0.077,0.769,0.1,0.692,1.538,0.45,0.846,2.692,3.538,1.0,0.308,0.846,2.0,1.462,4.462,2.369,-0.308,0.462,0.454,0.185,0.167,7.309,20.809,14.3,9.927,1.064,3.782,34.309,18.782,80.909,98.455,-5.773
2000-01,2000-11-25,CLI,SUN,CLI,15.822,1.714,3.929,0.436,1.643,3.214,0.511,0.071,0.714,0.1,0.643,1.429,0.45,0.929,2.714,3.643,1.0,0.286,0.929,2.071,1.5,4.143,2.193,-0.429,0.455,0.445,0.182,0.164,8.15,21.642,15.067,10.05,0.975,4.433,37.7,18.408,76.5,98.167,-6.208
2000-01,2000-11-27,CLI,LAK,CLI,16.164,1.933,4.333,0.446,1.867,3.6,0.519,0.067,0.733,0.091,0.8,1.533,0.522,1.067,2.867,3.933,0.933,0.267,1.0,2.133,1.667,4.733,2.607,0.267,0.473,0.454,0.169,0.185,8.738,22.085,15.562,9.277,0.9,4.615,36.408,19.254,78.231,97.462,-5.538
2000-01,2000-11-29,CLI,WAR,CLI,15.827,1.812,4.188,0.433,1.75,3.5,0.5,0.062,0.688,0.091,0.75,1.438,0.522,1.0,2.875,3.875,0.875,0.25,1.0,2.062,1.625,4.438,2.369,-0.125,0.46,0.44,0.164,0.179,8.114,22.736,15.421,8.614,0.836,4.757,36.186,18.743,72.643,97.857,-6.114
2000-01,2000-12-01,CLI,RAP,RAP,15.789,1.941,4.412,0.44,1.882,3.706,0.508,0.059,0.706,0.083,0.824,1.529,0.538,1.059,3.0,4.059,0.824,0.294,1.059,1.941,1.529,4.765,2.871,0.176,0.469,0.447,0.16,0.187,8.907,23.487,16.287,8.04,1.02,5.04,33.773,19.453,76.067,96.467,-5.067
2000-01,2000-12-03,CLI,CEL,CEL,15.58,2.0,4.333,0.462,1.944,3.667,0.53,0.056,0.667,0.083,0.778,1.556,0.5,1.056,3.0,4.056,0.833,0.333,1.056,1.889,1.444,4.833,3.117,0.167,0.482,0.468,0.154,0.179,8.912,23.9,16.456,8.75,1.237,5.081,32.944,19.381,78.75,96.312,-3.719
2000-01,2000-12-04,CLI,KNI,KNI,16.445,2.105,4.526,0.465,2.053,3.895,0.527,0.053,0.632,0.083,0.789,1.579,0.5,1.105,3.0,4.105,0.789,0.316,1.053,1.947,1.579,5.053,3.111,-0.053,0.484,0.471,0.14,0.174,8.741,23.112,15.965,8.235,1.165,4.918,32.494,19.159,78.824,96.647,-3.912
2000-01,2000-12-06,CLI,WIZ,WIZ,17.014,2.3,4.9,0.469,2.25,4.25,0.529,0.05,0.65,0.077,0.8,1.6,0.5,1.1,3.0,4.1,0.75,0.3,1.05,1.95,1.55,5.45,3.28,-0.8,0.486,0.474,0.133,0.163,8.506,22.667,15.606,7.778,1.1,4.789,31.433,19.528,79.722,98.111,-3.839
2000-01,2000-12-08,CLI,CHO,CHO,17.118,2.286,4.952,0.462,2.238,4.286,0.522,0.048,0.667,0.071,0.81,1.714,0.472,1.095,3.238,4.333,0.81,0.381,1.095,1.905,1.524,5.429,3.452,0.286,0.476,0.466,0.135,0.163,8.321,24.005,16.068,8.289,1.326,4.947,30.379,19.537,79.579,96.789,-3.321
2000-01,2000-12-09,CLI,TIM,TIM,17.467,2.273,4.955,0.459,2.227,4.318,0.516,0.045,0.636,0.071,0.773,1.636,0.472,1.091,3.227,4.318,0.818,0.364,1.182,1.955,1.545,5.364,3.382,0.318,0.473,0.463,0.128,0.156,8.215,23.735,15.885,8.215,1.26,5.15,30.735,19.355,78.6,97.2,-3.44
2000-01,2000-12-11,CLI,MAG,CLI,17.752,2.261,5.043,0.448,2.217,4.435,0.5,0.043,0.609,0.071,0.783,1.652,0.474,1.174,3.261,4.435,0.783,0.391,1.174,1.957,1.696,5.348,3.3,0.217,0.463,0.453,0.121,0.155,8.405,23.338,15.79,7.824,1.305,5.033,30.233,19.348,77.952,96.952,-3.571
2000-01,2000-12-13,CLI,HEA,CLI,18.141,2.417,5.208,0.464,2.375,4.625,0.514,0.042,0.583,0.071,0.792,1.667,0.475,1.25,3.208,4.458,0.833,0.375,1.208,1.917,1.667,5.667,3.696,0.958,0.477,0.468,0.112,0.152,8.645,22.623,15.541,8.132,1.245,5.027,29.277,19.318,80.409,97.227,-3.014
2000-01,2000-12-15,CLI,SUN,SUN,18.646,2.52,5.28,0.477,2.48,4.72,0.525,0.04,0.56,0.071,0.76,1.76,0.432,1.24,3.28,4.52,0.84,0.36,1.36,1.92,1.68,5.84,3.912,1.0,0.482,0.481,0.106,0.144,8.417,22.43,15.326,8.083,1.191,5.383,28.813,19.187,80.913,97.043,-2.626
2000-01,2000-12-17,CLI,WIZ,CLI,18.532,2.462,5.154,0.478,2.423,4.615,0.525,0.038,0.538,0.071,0.731,1.692,0.432,1.269,3.192,4.462,0.808,0.385,1.346,1.885,1.692,5.692,3.862,0.808,0.483,0.481,0.104,0.142,8.742,21.717,15.088,7.746,1.287,5.329,29.0,18.75,81.333,97.208,-2.562
2000-01,2000-12-20,CLI,TIM,CLI,18.889,2.593,5.333,0.486,2.556,4.815,0.531,0.037,0.519,0.071,0.778,1.778,0.438,1.333,3.259,4.593,0.815,0.37,1.333,1.815,1.778,6.0,4.163,0.667,0.491,0.49,0.097,0.146,8.88,21.576,15.1,7.724,1.236,5.2,27.84,18.752,83.44,97.88,-2.328
2000-01,2000-12-23,CLI,VGR,CLI,19.493,2.75,5.536,0.497,2.714,5.036,0.539,0.036,0.5,0.071,0.857,1.893,0.453,1.357,3.286,4.643,0.857,0.393,1.357,1.821,1.893,6.393,4.504,0.929,0.502,0.5,0.09,0.155,8.919,21.192,14.942,7.762,1.246,5.15,27.277,18.788,84.962,98.115,-2.162
