SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2017-02-28,LAK,HOR,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2017-03-03,LAK,CEL,LAK,2.66,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,20.5,10.7,0.0,0.0,0.0,0.0,8.7,0.0,119.0,-14.6
2016-17,2017-03-05,LAK,PEL,LAK,8.44,0.667,1.0,0.667,0.667,1.0,0.667,0.0,0.0,0.0,1.0,1.333,0.75,0.0,1.0,1.0,0.0,0.0,0.333,0.0,1.0,2.333,1.9,2.333,0.735,0.667,0.0,1.0,0.0,17.3,8.35,0.0,0.0,2.35,0.0,8.45,96.5,117.0,-8.2
2016-17,2017-03-07,LAK,MAV,MAV,8.6,0.5,0.75,0.667,0.5,0.75,0.667,0.0,0.0,0.0,0.75,1.0,0.75,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.75,1.75,1.5,3.25,0.735,0.667,0.0,1.0,0.0,15.0,7.467,0.0,0.0,1.567,0.0,5.633,64.333,114.667,-7.1
2016-17,2017-03-09,LAK,SUN,SUN,8.54,0.6,1.2,0.5,0.6,1.2,0.5,0.0,0.0,0.0,0.6,1.2,0.5,0.0,1.0,1.0,0.0,0.2,0.2,0.0,0.8,1.8,1.28,4.8,0.521,0.5,0.0,0.5,0.0,14.95,7.3,0.0,1.475,1.175,0.0,9.3,61.5,115.0,-8.7
2016-17,2017-03-12,LAK,76E,LAK,9.395,0.667,1.5,0.444,0.667,1.5,0.444,0.0,0.0,0.0,0.833,1.333,0.625,0.0,1.333,1.333,0.167,0.167,0.5,0.0,1.0,2.167,1.817,5.167,0.519,0.444,0.0,0.556,0.0,16.54,8.04,1.62,1.18,2.9,0.0,9.76,74.6,113.2,-6.84
2016-17,2017-03-13,LAK,NUG,NUG,10.393,0.714,1.714,0.417,0.714,1.571,0.455,0.0,0.143,0.0,1.286,1.714,0.75,0.0,1.286,1.286,0.143,0.143,0.571,0.0,1.143,2.714,2.2,3.857,0.55,0.417,0.083,0.75,0.0,15.1,7.367,1.35,0.983,3.3,0.0,10.15,85.333,113.833,-6.517
2016-17,2017-03-15,LAK,ROC,ROC,11.415,0.75,1.75,0.429,0.75,1.625,0.462,0.0,0.125,0.0,1.125,1.5,0.75,0.0,1.375,1.375,0.125,0.25,0.625,0.125,1.25,2.625,2.112,2.625,0.545,0.429,0.071,0.643,0.0,15.0,7.157,1.157,1.2,3.629,4.757,9.614,82.571,115.0,-6.543
2016-17,2017-03-17,LAK,BUC,LAK,12.121,0.889,2.111,0.421,0.889,2.0,0.444,0.0,0.111,0.0,1.0,1.333,0.75,0.222,1.333,1.556,0.333,0.222,0.556,0.111,1.333,2.778,2.278,-0.444,0.515,0.421,0.053,0.474,1.462,13.925,7.412,2.862,1.05,3.175,4.162,9.812,86.0,117.25,-6.112
2016-17,2017-03-19,LAK,CAV,LAK,12.169,1.0,2.2,0.455,1.0,2.1,0.476,0.0,0.1,0.0,0.9,1.3,0.692,0.4,1.2,1.6,0.3,0.2,0.6,0.1,1.4,2.9,2.41,0.2,0.523,0.455,0.045,0.409,3.222,12.378,7.611,2.544,0.933,3.556,3.7,10.056,91.0,116.889,-5.611
2016-17,2017-03-21,LAK,CLI,LAK,13.076,1.182,2.455,0.481,1.182,2.364,0.5,0.0,0.091,0.0,0.909,1.364,0.667,0.455,1.455,1.909,0.273,0.273,0.545,0.091,1.545,3.273,2.736,-0.455,0.536,0.481,0.037,0.37,3.39,13.31,8.14,2.29,1.07,3.2,3.33,10.27,94.8,118.1,-5.5
2016-17,2017-03-24,LAK,TIM,LAK,13.155,1.167,2.5,0.467,1.167,2.417,0.483,0.0,0.083,0.0,0.833,1.25,0.667,0.5,1.5,2.0,0.25,0.25,0.5,0.083,1.583,3.167,2.575,-1.667,0.519,0.467,0.033,0.333,3.718,13.655,8.445,2.082,0.973,2.909,3.027,10.173,94.545,120.091,-6.209
2016-17,2017-03-26,LAK,BLA,LAK,14.158,1.385,2.692,0.514,1.385,2.615,0.529,0.0,0.077,0.0,0.923,1.385,0.667,0.615,1.769,2.385,0.385,0.231,0.462,0.077,1.692,3.692,3.208,-0.077,0.559,0.514,0.029,0.343,4.4,14.392,9.233,2.8,0.892,2.667,2.775,10.208,101.333,119.667,-5.35
2016-17,2017-03-28,LAK,WIZ,LAK,15.204,1.571,2.786,0.564,1.5,2.643,0.568,0.071,0.143,0.5,0.857,1.357,0.632,0.571,1.714,2.286,0.357,0.286,0.429,0.143,1.714,4.071,3.471,-0.5,0.602,0.577,0.051,0.308,4.062,13.523,8.646,2.585,0.954,2.462,3.977,10.108,104.538,118.385,-4.931
2016-17,2017-03-30,LAK,TIM,TIM,15.713,1.733,2.933,0.591,1.667,2.8,0.595,0.067,0.133,0.5,0.8,1.267,0.632,0.667,2.0,2.667,0.4,0.467,0.467,0.333,1.6,4.333,3.953,-0.8,0.621,0.602,0.045,0.273,4.543,14.557,9.457,2.836,1.343,2.5,6.371,10.479,104.429,117.429,-4.107
