SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2018-01-14,SUN,PAC,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2018-01-16,SUN,BLA,BLA,2.415,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-0.75,3.5,0.0,0.0,0.5,0.0,0.0,25.5,11.4,0.0,0.0,0.0,0.0,18.5,0.0,132.0,-28.1
2017-18,2018-01-28,SUN,ROC,ROC,1.61,0.0,0.667,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.333,0.0,-0.5,2.333,0.0,0.0,0.5,0.0,0.0,25.5,11.4,0.0,0.0,0.0,0.0,18.5,0.0,132.0,-28.1
2017-18,2018-01-29,SUN,GRI,GRI,1.208,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,-0.375,1.75,0.0,0.0,0.5,0.0,0.0,25.5,11.4,0.0,0.0,0.0,0.0,18.5,0.0,132.0,-28.1
2017-18,2018-01-31,SUN,MAV,SUN,2.53,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,-0.36,1.2,0.0,0.0,0.5,0.0,0.0,12.75,5.7,8.1,0.0,0.0,50.0,11.9,20.5,132.0,-18.4
2017-18,2018-02-02,SUN,JAZ,SUN,2.108,0.0,0.333,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.0,0.0,0.167,0.167,0.0,-0.3,1.0,0.0,0.0,0.5,0.0,0.0,12.75,5.7,8.1,0.0,0.0,50.0,11.9,20.5,132.0,-18.4
2017-18,2018-02-04,SUN,HOR,SUN,2.539,0.143,0.571,0.25,0.0,0.286,0.0,0.143,0.286,0.5,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.143,0.0,0.143,0.143,0.429,0.171,1.286,0.375,0.375,0.5,0.0,0.0,8.5,3.8,5.4,3.167,0.0,33.333,13.767,58.333,127.0,-7.033
2017-18,2018-02-06,SUN,LAK,LAK,2.221,0.125,0.5,0.25,0.0,0.25,0.0,0.125,0.25,0.5,0.0,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.375,0.15,1.125,0.375,0.375,0.5,0.0,0.0,8.5,3.8,5.4,3.167,0.0,33.333,13.767,58.333,127.0,-7.033
2017-18,2018-02-07,SUN,SPU,SUN,2.133,0.111,0.444,0.25,0.0,0.222,0.0,0.111,0.222,0.5,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.111,0.0,0.111,0.111,0.333,0.133,1.0,0.375,0.375,0.5,0.0,0.0,6.375,2.85,4.05,2.375,0.0,25.0,10.325,43.75,126.25,-7.875
2017-18,2018-02-10,SUN,NUG,SUN,3.593,0.2,1.1,0.182,0.1,0.7,0.143,0.1,0.4,0.25,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.1,0.0,0.2,0.3,0.5,-0.14,0.0,0.227,0.227,0.364,0.0,0.0,6.32,2.82,7.04,1.9,0.0,22.5,12.22,42.2,127.8,-9.92
2017-18,2018-02-12,SUN,WAR,WAR,4.136,0.273,1.091,0.25,0.091,0.636,0.143,0.182,0.455,0.4,0.091,0.182,0.5,0.0,0.182,0.182,0.273,0.182,0.0,0.182,0.455,0.818,0.191,-2.091,0.349,0.333,0.417,0.083,0.0,5.267,2.35,5.867,2.417,0.0,18.75,11.617,67.667,126.333,-7.45
2017-18,2018-02-14,SUN,JAZ,JAZ,4.644,0.25,1.25,0.2,0.083,0.667,0.125,0.167,0.583,0.286,0.083,0.167,0.5,0.0,0.5,0.5,0.333,0.167,0.083,0.167,0.5,0.75,0.183,-2.75,0.283,0.267,0.467,0.067,0.0,11.386,4.8,7.057,2.071,1.057,16.071,11.643,60.286,125.143,-7.471
2017-18,2018-02-24,SUN,BLA,SUN,4.287,0.231,1.154,0.2,0.077,0.615,0.125,0.154,0.538,0.286,0.077,0.154,0.5,0.0,0.462,0.462,0.308,0.154,0.077,0.154,0.462,0.692,0.169,-2.538,0.283,0.267,0.467,0.067,0.0,11.386,4.8,7.057,2.071,1.057,16.071,11.643,60.286,125.143,-7.471
2017-18,2018-03-04,SUN,HAW,HAW,3.981,0.214,1.071,0.2,0.071,0.571,0.125,0.143,0.5,0.286,0.071,0.143,0.5,0.0,0.429,0.429,0.286,0.143,0.071,0.143,0.429,0.643,0.157,-2.357,0.283,0.267,0.467,0.067,0.0,11.386,4.8,7.057,2.071,1.057,16.071,11.643,60.286,125.143,-7.471
