SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-10-24,HAW,PIS,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,2019-10-26,HAW,MAG,HAW,12.725,2.5,4.0,0.625,1.5,2.5,0.6,1.0,1.5,0.667,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,4.5,6.0,0.788,0.75,0.375,0.25,0.0,8.8,4.7,0.0,0.0,0.0,18.4,19.0,119.0,111.0,-0.7
2019-20,2019-10-28,HAW,76E,HAW,15.823,2.667,4.333,0.615,2.0,3.0,0.667,0.667,1.333,0.5,0.667,0.667,1.0,0.0,1.667,1.667,0.333,0.0,0.333,0.667,1.333,6.667,4.467,11.0,0.72,0.692,0.308,0.154,0.0,9.85,5.7,3.0,0.0,1.6,9.2,14.5,124.0,107.5,-1.15
2019-20,2019-10-29,HAW,HEA,HEA,19.422,3.0,5.25,0.571,2.0,3.25,0.615,1.0,2.0,0.5,1.5,2.25,0.667,0.0,3.5,3.5,0.5,0.25,0.25,1.5,1.25,8.5,5.55,10.75,0.681,0.667,0.381,0.286,0.0,16.3,8.867,3.8,0.5,1.067,14.967,16.367,112.333,103.667,-0.9
2019-20,2019-10-31,HAW,HEA,HAW,21.124,2.8,5.8,0.483,2.0,3.6,0.556,0.8,2.2,0.364,1.2,1.8,0.667,0.0,3.4,3.4,0.8,0.6,0.2,1.6,2.0,7.6,4.34,6.6,0.576,0.552,0.379,0.207,0.0,15.7,8.225,5.575,1.225,0.8,16.225,16.05,97.0,105.0,-4.025
2019-20,2019-11-05,HAW,SPU,HAW,22.333,2.5,6.333,0.395,1.833,3.667,0.5,0.667,2.667,0.25,1.333,1.833,0.727,0.333,3.0,3.333,0.833,0.667,0.333,1.833,1.667,7.0,3.483,3.167,0.49,0.447,0.421,0.211,1.4,13.34,7.7,5.44,1.34,1.36,17.64,16.62,87.4,106.4,-5.8
2019-20,2019-11-06,HAW,BUL,HAW,24.31,3.0,7.286,0.412,2.143,4.143,0.517,0.857,3.143,0.273,1.429,1.857,0.769,0.571,3.429,4.0,0.857,0.571,0.286,1.571,1.714,8.286,4.757,4.286,0.511,0.471,0.431,0.196,2.3,13.767,8.4,5.167,1.117,1.133,14.7,16.517,94.167,105.667,-4.85
2019-20,2019-11-08,HAW,KIN,HAW,24.605,2.75,7.25,0.379,2.0,4.25,0.471,0.75,3.0,0.25,1.5,1.875,0.8,0.5,3.5,4.0,1.125,0.5,0.25,1.5,1.75,7.75,4.288,0.875,0.48,0.431,0.414,0.207,1.971,14.243,8.429,7.157,0.957,0.971,14.214,16.171,89.571,106.714,-5.343
2019-20,2019-11-10,HAW,BLA,BLA,24.338,2.667,7.222,0.369,2.0,4.333,0.462,0.667,2.889,0.231,1.333,1.667,0.8,0.444,3.333,3.778,1.222,0.444,0.222,1.444,1.667,7.333,3.867,-0.222,0.461,0.415,0.4,0.185,1.725,14.15,8.15,7.562,0.838,0.85,14.0,16.2,87.125,111.0,-6.6
2019-20,2019-11-12,HAW,NUG,NUG,25.801,2.9,7.9,0.367,1.9,4.4,0.432,1.0,3.5,0.286,1.2,1.5,0.8,0.5,3.4,3.9,1.3,0.4,0.2,1.4,1.9,8.0,4.17,0.3,0.467,0.43,0.443,0.152,1.8,13.722,7.933,7.578,0.744,0.756,13.189,16.133,88.667,111.556,-6.344
