SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,JAZ,CLI,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,JAZ,LAK,LAK,3.71,1.0,1.5,0.667,1.0,1.5,0.667,0.0,0.0,0.0,0.5,1.5,0.333,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,2.5,1.65,2.0,0.579,0.667,0.0,0.333,15.9,0.0,8.9,23.4,7.2,0.0,31.6,39.2,83.0,93.0,2.1
2000-01,2000-11-04,JAZ,MAV,MAV,2.473,0.667,1.0,0.667,0.667,1.0,0.667,0.0,0.0,0.0,0.333,1.0,0.333,0.333,0.0,0.333,0.333,0.333,0.0,0.667,0.0,1.667,1.1,1.333,0.579,0.667,0.0,0.333,15.9,0.0,8.9,23.4,7.2,0.0,31.6,39.2,83.0,93.0,2.1
2000-01,2000-11-06,JAZ,TIM,JAZ,1.855,0.5,0.75,0.667,0.5,0.75,0.667,0.0,0.0,0.0,0.25,0.75,0.333,0.25,0.0,0.25,0.25,0.25,0.0,0.5,0.0,1.25,0.825,1.0,0.579,0.667,0.0,0.333,15.9,0.0,8.9,23.4,7.2,0.0,31.6,39.2,83.0,93.0,2.1
2000-01,2000-11-08,JAZ,CLI,CLI,2.904,0.6,0.8,0.75,0.6,0.8,0.75,0.0,0.0,0.0,0.4,1.0,0.4,0.2,0.0,0.2,0.2,0.2,0.0,0.4,0.2,1.6,1.04,-0.8,0.645,0.75,0.0,0.5,7.95,0.0,4.45,11.7,3.6,0.0,15.8,25.8,119.5,99.5,2.6
2000-01,2000-11-10,JAZ,HEA,JAZ,3.632,0.5,0.667,0.75,0.5,0.667,0.75,0.0,0.0,0.0,0.5,1.167,0.429,0.167,0.167,0.333,0.167,0.167,0.0,0.5,0.167,1.5,0.85,-0.333,0.636,0.75,0.0,0.75,5.3,6.0,6.167,7.8,2.4,0.0,28.267,21.567,97.333,98.667,-0.867
2000-01,2000-11-14,JAZ,SPU,SPU,4.059,0.429,0.714,0.6,0.429,0.571,0.75,0.0,0.143,0.0,0.429,1.0,0.429,0.143,0.143,0.286,0.143,0.143,0.143,0.429,0.286,1.286,0.671,0.857,0.557,0.6,0.2,0.6,3.975,4.5,4.625,5.85,1.8,3.425,21.2,18.0,73.0,99.75,-2.2
2000-01,2000-11-16,JAZ,MAG,JAZ,4.701,0.625,1.0,0.625,0.625,0.875,0.714,0.0,0.125,0.0,0.375,0.875,0.429,0.125,0.375,0.5,0.125,0.125,0.125,0.625,0.25,1.625,0.75,1.75,0.587,0.625,0.125,0.375,3.18,8.04,6.12,4.68,1.44,2.74,24.96,19.52,71.6,99.8,-2.9
2000-01,2000-11-18,JAZ,BUL,JAZ,4.646,0.556,1.111,0.5,0.556,1.0,0.556,0.0,0.111,0.0,0.333,0.778,0.429,0.111,0.333,0.444,0.111,0.111,0.111,0.667,0.444,1.444,0.311,1.556,0.497,0.5,0.1,0.3,2.65,6.7,5.1,3.9,1.2,2.283,26.35,21.733,59.667,98.833,-9.367
2000-01,2000-11-20,JAZ,MAV,JAZ,6.421,0.6,1.4,0.429,0.6,1.3,0.462,0.0,0.1,0.0,0.3,0.7,0.429,0.1,0.4,0.5,0.3,0.3,0.1,1.0,0.4,1.5,0.21,3.0,0.439,0.429,0.071,0.214,2.271,6.314,4.743,4.871,1.743,1.957,29.729,21.086,57.143,95.571,-9.214
2000-01,2000-11-22,JAZ,NUG,JAZ,7.675,0.727,1.909,0.381,0.727,1.636,0.444,0.0,0.273,0.0,0.545,1.0,0.545,0.182,0.636,0.818,0.273,0.273,0.091,1.0,0.455,2.0,0.436,2.091,0.426,0.381,0.143,0.286,2.588,8.338,5.612,4.262,1.525,1.712,27.288,21.038,60.625,98.625,-9.138
2000-01,2000-11-24,JAZ,NNE,JAZ,7.925,1.0,2.25,0.444,1.0,1.917,0.522,0.0,0.333,0.0,0.75,1.167,0.643,0.167,0.667,0.833,0.25,0.333,0.083,1.167,0.667,2.75,0.858,2.083,0.498,0.444,0.148,0.333,2.3,8.444,5.589,3.789,1.889,1.522,27.489,23.522,64.778,96.778,-8.689
2000-01,2000-11-26,JAZ,PIS,PIS,7.783,0.923,2.154,0.429,0.923,1.846,0.5,0.0,0.308,0.0,0.692,1.077,0.643,0.154,0.692,0.846,0.231,0.308,0.077,1.154,0.692,2.538,0.654,1.538,0.483,0.429,0.143,0.321,2.07,9.71,6.1,3.41,1.7,1.37,29.74,22.77,58.3,97.1,-10.22
2000-01,2000-11-28,JAZ,NNE,NNE,7.227,0.857,2.0,0.429,0.857,1.714,0.5,0.0,0.286,0.0,0.643,1.0,0.643,0.143,0.643,0.786,0.214,0.286,0.071,1.071,0.643,2.357,0.607,1.429,0.483,0.429,0.143,0.321,2.07,9.71,6.1,3.41,1.7,1.37,29.74,22.77,58.3,97.1,-10.22
2000-01,2000-11-29,JAZ,MAG,MAG,7.005,0.867,2.0,0.433,0.867,1.733,0.5,0.0,0.267,0.0,0.6,0.933,0.643,0.133,0.6,0.733,0.2,0.267,0.067,1.0,0.6,2.333,0.633,1.467,0.484,0.433,0.133,0.3,1.882,8.827,5.545,3.1,1.545,1.245,27.036,22.745,61.818,98.091,-9.673
2000-01,2000-12-01,JAZ,HEA,HEA,6.568,0.812,1.875,0.433,0.812,1.625,0.5,0.0,0.25,0.0,0.562,0.875,0.643,0.125,0.562,0.688,0.188,0.25,0.062,0.938,0.562,2.188,0.594,1.375,0.484,0.433,0.133,0.3,1.882,8.827,5.545,3.1,1.545,1.245,27.036,22.745,61.818,98.091,-9.673
2000-01,2000-12-02,JAZ,CHO,CHO,6.409,0.765,1.824,0.419,0.765,1.588,0.481,0.0,0.235,0.0,0.588,0.941,0.625,0.118,0.529,0.647,0.176,0.294,0.059,0.882,0.588,2.118,0.588,1.471,0.473,0.419,0.129,0.323,1.725,8.092,5.083,2.842,2.567,1.142,24.783,22.633,62.167,97.083,-8.883
2000-01,2000-12-05,JAZ,RAP,JAZ,6.053,0.722,1.722,0.419,0.722,1.5,0.481,0.0,0.222,0.0,0.556,0.889,0.625,0.111,0.5,0.611,0.167,0.278,0.056,0.833,0.556,2.0,0.556,1.389,0.473,0.419,0.129,0.323,1.725,8.092,5.083,2.842,2.567,1.142,24.783,22.633,62.167,97.083,-8.883
2000-01,2000-12-07,JAZ,VGR,JAZ,5.971,0.684,1.737,0.394,0.684,1.526,0.448,0.0,0.211,0.0,0.526,0.842,0.625,0.105,0.474,0.579,0.158,0.263,0.053,0.789,0.526,1.895,0.453,0.842,0.45,0.394,0.121,0.303,1.592,7.469,4.692,2.623,2.369,1.054,22.877,22.792,57.385,98.077,-10.315
2000-01,2000-12-09,JAZ,WAR,JAZ,5.798,0.65,1.7,0.382,0.65,1.5,0.433,0.0,0.2,0.0,0.5,0.8,0.625,0.1,0.45,0.55,0.15,0.25,0.05,0.75,0.5,1.8,0.395,0.65,0.439,0.382,0.118,0.294,1.479,6.936,4.357,2.436,2.2,0.979,21.243,22.829,53.286,98.786,-11.3
2000-01,2000-12-11,JAZ,SPU,JAZ,5.522,0.619,1.619,0.382,0.619,1.429,0.433,0.0,0.19,0.0,0.476,0.762,0.625,0.095,0.429,0.524,0.143,0.238,0.048,0.714,0.476,1.714,0.376,0.619,0.439,0.382,0.118,0.294,1.479,6.936,4.357,2.436,2.2,0.979,21.243,22.829,53.286,98.786,-11.3
2000-01,2000-12-13,JAZ,BUC,JAZ,5.271,0.591,1.545,0.382,0.591,1.364,0.433,0.0,0.182,0.0,0.455,0.727,0.625,0.091,0.409,0.5,0.136,0.227,0.045,0.682,0.455,1.636,0.359,0.591,0.439,0.382,0.118,0.294,1.479,6.936,4.357,2.436,2.2,0.979,21.243,22.829,53.286,98.786,-11.3
2000-01,2000-12-15,JAZ,KNI,KNI,5.042,0.565,1.478,0.382,0.565,1.304,0.433,0.0,0.174,0.0,0.435,0.696,0.625,0.087,0.391,0.478,0.13,0.217,0.043,0.652,0.435,1.565,0.343,0.565,0.439,0.382,0.118,0.294,1.479,6.936,4.357,2.436,2.2,0.979,21.243,22.829,53.286,98.786,-11.3
2000-01,2000-12-16,JAZ,CAV,CAV,5.007,0.542,1.542,0.351,0.542,1.375,0.394,0.0,0.167,0.0,0.417,0.667,0.625,0.083,0.375,0.458,0.167,0.208,0.042,0.625,0.417,1.5,0.271,0.458,0.409,0.351,0.108,0.27,1.38,6.473,4.067,4.627,2.053,0.913,19.827,23.8,51.467,97.6,-12.427
2000-01,2000-12-19,JAZ,RAP,RAP,5.169,0.52,1.52,0.342,0.52,1.36,0.382,0.0,0.16,0.0,0.56,0.88,0.636,0.08,0.4,0.48,0.16,0.24,0.04,0.6,0.4,1.6,0.412,0.52,0.419,0.342,0.105,0.368,1.294,6.944,4.231,4.338,2.269,0.856,18.588,23.456,55.938,97.438,-11.225
2000-01,2000-12-20,JAZ,76E,76E,5.601,0.5,1.615,0.31,0.5,1.462,0.342,0.0,0.154,0.0,0.538,0.846,0.636,0.115,0.385,0.5,0.231,0.308,0.038,0.577,0.462,1.538,0.415,0.538,0.387,0.31,0.095,0.333,1.6,6.535,4.176,5.012,2.529,0.806,17.494,22.729,55.176,98.235,-10.9
2000-01,2000-12-22,JAZ,PAC,PAC,5.559,0.481,1.556,0.31,0.481,1.407,0.342,0.0,0.148,0.0,0.519,0.815,0.636,0.111,0.407,0.519,0.222,0.296,0.037,0.556,0.444,1.481,0.411,0.444,0.387,0.31,0.095,0.333,1.511,7.383,4.589,4.733,2.389,0.761,16.522,21.467,52.111,98.389,-10.372
2000-01,2000-12-23,JAZ,TIM,TIM,5.517,0.464,1.571,0.295,0.464,1.429,0.325,0.0,0.143,0.0,0.5,0.786,0.636,0.107,0.393,0.5,0.214,0.286,0.036,0.536,0.5,1.429,0.318,0.179,0.373,0.295,0.091,0.318,1.432,6.995,4.347,4.484,2.263,0.721,15.653,21.579,49.368,99.842,-11.847
