SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-10-26,CEL,NET,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-10-27,CEL,BUL,BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-10-29,CEL,HOR,HOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-11-02,CEL,BUL,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-11-03,CEL,CAV,CAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-11-06,CEL,NUG,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-11-09,CEL,WIZ,WIZ,1.583,0.286,0.429,0.667,0.143,0.286,0.5,0.143,0.143,1.0,0.429,0.571,0.75,0.286,0.143,0.429,0.286,0.0,0.0,0.0,0.0,1.143,1.343,0.429,0.84,0.833,0.333,1.0,17.7,11.7,15.1,26.8,0.0,0.0,0.0,18.7,181.0,125.0,15.2
2016-17,2016-11-16,CEL,MAV,CEL,1.854,0.375,0.5,0.75,0.25,0.375,0.667,0.125,0.125,1.0,0.375,0.75,0.5,0.25,0.125,0.375,0.25,0.0,0.0,0.0,0.0,1.25,1.288,-0.125,0.753,0.875,0.25,0.75,8.85,5.85,7.55,13.4,0.0,0.0,0.0,21.2,129.5,132.0,4.65
2016-17,2016-11-18,CEL,WAR,CEL,1.648,0.333,0.444,0.75,0.222,0.333,0.667,0.111,0.111,1.0,0.333,0.667,0.5,0.222,0.111,0.333,0.222,0.0,0.0,0.0,0.0,1.111,1.144,-0.111,0.753,0.875,0.25,0.75,8.85,5.85,7.55,13.4,0.0,0.0,0.0,21.2,129.5,132.0,4.65
2016-17,2016-12-07,CEL,MAG,MAG,1.505,0.3,0.4,0.75,0.2,0.3,0.667,0.1,0.1,1.0,0.3,0.6,0.5,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.0,1.0,1.03,-0.1,0.753,0.875,0.25,0.75,5.9,3.9,5.033,8.933,0.0,0.0,0.0,14.133,86.333,126.667,-0.067
