SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2001-03-13,LAK,CEL,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2001-03-15,LAK,PIS,PIS,18.685,4.0,8.0,0.5,3.0,6.0,0.5,1.0,2.0,0.5,4.0,4.5,0.889,0.5,2.0,2.5,4.0,3.0,0.0,1.0,1.0,13.0,14.15,13.5,0.651,0.562,0.25,0.5,3.4,13.7,8.5,37.6,8.1,0.0,9.1,25.3,140.0,100.0,16.4
2000-01,2001-03-16,LAK,WIZ,WIZ,24.533,4.333,10.0,0.433,2.667,6.667,0.4,1.667,3.333,0.5,3.333,3.667,0.909,0.333,2.333,2.667,4.667,3.333,0.0,1.333,2.333,13.667,13.533,12.333,0.588,0.517,0.333,0.333,1.7,12.25,6.7,30.25,6.75,0.0,10.45,22.6,122.5,102.5,9.8
2000-01,2001-03-18,LAK,MAG,MAG,25.38,4.25,9.0,0.472,2.5,6.0,0.417,1.75,3.0,0.583,2.75,3.0,0.917,0.25,2.0,2.25,5.0,2.75,0.0,1.0,2.5,13.0,13.325,14.0,0.63,0.569,0.333,0.306,1.133,9.4,5.1,29.4,5.133,0.0,6.967,18.433,143.667,103.0,9.1
2000-01,2001-03-19,LAK,HAW,HAW,26.06,3.8,7.8,0.487,2.2,5.2,0.423,1.6,2.6,0.615,2.2,2.4,0.917,0.2,2.2,2.4,4.6,2.6,0.0,1.2,2.8,11.4,11.68,13.2,0.644,0.59,0.333,0.282,0.85,9.575,5.15,25.85,4.725,0.0,15.225,15.775,132.5,101.0,6.575
2000-01,2001-03-21,LAK,BUC,BUC,27.883,3.833,7.667,0.5,2.333,5.167,0.452,1.5,2.5,0.6,3.0,3.5,0.857,0.167,2.167,2.333,4.833,2.333,0.0,1.0,2.833,12.167,12.483,11.0,0.661,0.598,0.326,0.391,0.68,8.92,4.82,25.28,4.06,0.0,12.18,15.16,141.2,105.4,6.44
2000-01,2001-03-23,LAK,WIZ,LAK,29.343,3.714,7.857,0.473,2.429,5.286,0.459,1.286,2.571,0.5,3.714,4.143,0.897,0.143,2.857,3.0,5.143,2.286,0.0,1.286,3.143,12.429,12.543,7.714,0.642,0.555,0.327,0.473,0.567,11.217,5.717,26.283,3.817,0.0,13.367,15.567,136.333,106.0,5.417
2000-01,2001-03-25,LAK,KIN,KIN,29.246,3.75,8.0,0.469,2.25,5.125,0.439,1.5,2.875,0.522,3.5,3.875,0.903,0.125,2.5,2.625,5.0,2.0,0.0,1.5,3.0,12.5,11.888,8.5,0.644,0.562,0.359,0.438,0.486,9.614,4.9,25.357,3.271,0.0,14.786,16.057,133.714,107.143,4.043
2000-01,2001-03-26,LAK,SUN,SUN,29.921,3.667,8.111,0.452,2.333,5.333,0.438,1.333,2.778,0.48,3.111,3.444,0.903,0.222,2.333,2.556,4.556,1.889,0.0,1.444,2.778,11.778,10.811,7.889,0.612,0.534,0.342,0.384,0.775,8.762,4.638,22.825,3.05,0.0,14.188,15.825,125.5,105.0,2.612
2000-01,2001-03-28,LAK,KIN,LAK,30.087,3.6,8.2,0.439,2.4,5.4,0.444,1.2,2.8,0.429,3.2,3.9,0.821,0.2,2.4,2.6,4.3,1.9,0.0,1.3,2.7,11.6,10.41,6.4,0.585,0.512,0.341,0.39,0.689,9.256,4.756,21.844,3.1,0.0,12.611,16.133,122.0,106.222,2.189
2000-01,2001-03-30,LAK,MAV,LAK,30.488,3.636,8.727,0.417,2.455,5.818,0.422,1.182,2.909,0.406,2.909,3.545,0.821,0.273,2.455,2.727,4.091,1.727,0.0,1.182,2.727,11.364,9.7,4.727,0.552,0.484,0.333,0.333,0.88,9.54,4.91,20.69,2.79,0.0,11.35,16.25,117.8,107.6,1.13
2000-01,2001-04-01,LAK,KNI,LAK,31.537,3.75,8.833,0.425,2.5,5.917,0.423,1.25,2.917,0.429,2.667,3.25,0.821,0.25,2.417,2.667,3.917,1.667,0.0,1.333,2.5,11.417,9.475,4.667,0.556,0.495,0.33,0.302,0.8,9.255,4.745,19.455,2.655,0.0,12.418,16.036,115.909,107.364,0.773
2000-01,2001-04-03,LAK,JAZ,JAZ,31.848,3.769,8.769,0.43,2.538,5.769,0.44,1.231,3.0,0.41,2.462,3.0,0.821,0.231,2.538,2.769,3.846,1.615,0.0,1.231,2.385,11.231,9.431,5.077,0.557,0.5,0.342,0.281,0.733,9.567,4.892,19.717,2.575,0.0,11.383,15.667,116.333,106.75,0.933
2000-01,2001-04-05,LAK,BUL,BUL,32.689,3.929,9.214,0.426,2.714,6.214,0.437,1.214,3.0,0.405,2.571,3.071,0.837,0.214,2.643,2.857,3.929,1.714,0.071,1.214,2.429,11.643,9.836,4.786,0.551,0.492,0.326,0.279,0.677,9.785,4.962,19.662,2.662,0.131,10.938,15.969,115.769,106.077,1.069
2000-01,2001-04-06,LAK,CEL,CEL,33.121,3.8,8.8,0.432,2.667,6.0,0.444,1.133,2.8,0.405,2.533,3.0,0.844,0.2,2.667,2.867,4.133,1.733,0.067,1.267,2.533,11.267,9.773,5.733,0.557,0.496,0.318,0.288,0.629,9.65,4.936,19.9,2.671,0.121,12.586,15.371,116.5,105.786,0.879
2000-01,2001-04-08,LAK,TIM,TIM,33.379,3.625,8.688,0.417,2.562,6.0,0.427,1.062,2.688,0.395,2.5,3.062,0.816,0.188,2.562,2.75,4.188,1.812,0.062,1.375,2.5,10.812,9.269,5.625,0.539,0.478,0.309,0.288,0.587,9.187,4.72,19.94,2.78,0.113,13.447,15.367,112.933,105.8,0.273
2000-01,2001-04-10,LAK,SUN,LAK,33.854,3.824,9.059,0.422,2.647,6.235,0.425,1.176,2.824,0.417,2.471,3.059,0.808,0.235,2.647,2.882,4.235,2.0,0.059,1.412,2.471,11.294,9.812,6.118,0.543,0.487,0.312,0.273,0.738,9.5,4.931,19.881,3.012,0.106,13.288,15.669,113.312,105.625,0.65
2000-01,2001-04-12,LAK,TIM,LAK,33.597,3.778,9.111,0.415,2.667,6.278,0.425,1.111,2.833,0.392,2.389,3.0,0.796,0.222,2.556,2.778,4.333,1.944,0.056,1.389,2.444,11.056,9.517,6.667,0.53,0.476,0.311,0.262,0.694,9.141,4.753,20.206,2.941,0.1,13.0,15.835,111.706,105.0,0.182
2000-01,2001-04-15,LAK,BLA,LAK,33.517,3.632,8.842,0.411,2.526,6.053,0.417,1.105,2.789,0.396,2.474,3.053,0.81,0.211,2.474,2.684,4.263,1.842,0.053,1.368,2.421,10.842,9.289,7.211,0.532,0.473,0.315,0.28,0.656,8.844,4.589,19.683,2.778,0.094,13.1,15.461,112.778,105.556,-0.144
2000-01,2001-04-17,LAK,NUG,LAK,33.832,3.8,9.0,0.422,2.55,6.05,0.421,1.25,2.95,0.424,2.5,3.1,0.806,0.2,2.55,2.75,4.25,1.8,0.1,1.35,2.45,11.35,9.75,7.4,0.548,0.492,0.328,0.278,0.621,8.953,4.663,19.563,2.705,0.184,12.768,15.579,114.842,106.211,0.389
2000-01,2001-04-22,LAK,BLA,LAK,33.824,3.667,8.905,0.412,2.476,5.905,0.419,1.19,3.0,0.397,2.381,2.952,0.806,0.238,2.571,2.81,4.143,1.857,0.095,1.381,2.381,10.905,9.338,8.19,0.534,0.479,0.337,0.267,0.745,8.89,4.71,18.98,2.795,0.175,13.24,15.34,111.45,105.7,-0.01
2000-01,2001-04-26,LAK,BLA,LAK,33.998,3.818,8.955,0.426,2.591,5.864,0.442,1.227,3.091,0.397,2.5,3.091,0.809,0.227,2.591,2.818,4.091,1.818,0.091,1.318,2.409,11.364,9.786,8.318,0.551,0.495,0.345,0.279,0.71,8.895,4.695,18.695,2.729,0.167,12.61,15.305,114.714,105.905,0.467
2000-01,2001-04-29,LAK,BLA,BLA,34.067,3.826,9.13,0.419,2.609,5.957,0.438,1.217,3.174,0.384,2.391,2.957,0.809,0.261,2.652,2.913,4.13,1.739,0.087,1.261,2.348,11.261,9.643,8.696,0.54,0.486,0.348,0.262,0.827,9.114,4.859,18.65,2.605,0.159,12.036,15.3,114.273,105.727,0.273
2000-01,2001-05-06,LAK,KIN,LAK,34.324,3.875,9.25,0.419,2.625,6.0,0.438,1.25,3.25,0.385,2.5,3.042,0.822,0.25,2.875,3.125,4.208,1.75,0.083,1.208,2.292,11.5,10.025,8.833,0.543,0.486,0.351,0.27,0.791,9.552,5.1,18.883,2.604,0.152,11.513,15.33,115.304,105.043,0.657
2000-01,2001-05-08,LAK,KIN,LAK,34.547,3.88,9.2,0.422,2.64,5.96,0.443,1.24,3.24,0.383,2.48,3.08,0.805,0.32,3.0,3.32,4.2,1.8,0.08,1.24,2.36,11.48,10.088,8.28,0.544,0.489,0.352,0.27,0.962,9.838,5.317,18.633,2.65,0.146,11.742,15.196,115.208,105.083,0.646
