SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2018-04-10,PAC,HOR,PAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-19,2018-10-17,PAC,GRI,PAC,1.125,0.5,0.524,0.976,0.5,0.5,1.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.476,0.476,0.0,0.0,0.0,0.0,0.476,1.0,0.786,-2.881,0.976,0.976,0.024,0.0,0.0,39.81,19.524,0.0,0.0,0.0,0.0,20.329,195.762,116.143,6.348
2018-19,2018-10-19,PAC,BUC,BUC,1.231,0.485,0.515,0.955,0.485,0.485,1.0,0.0,0.03,0.0,0.0,0.061,0.0,0.0,0.455,0.455,0.03,0.0,0.0,0.0,0.485,0.97,0.742,-2.545,0.941,0.955,0.045,0.0,0.0,38.0,18.636,1.355,0.0,0.0,0.0,19.795,189.0,116.318,5.764
2018-19,2018-10-20,PAC,NET,PAC,1.332,0.467,0.533,0.913,0.467,0.5,0.935,0.0,0.033,0.0,0.0,0.065,0.0,0.0,0.435,0.435,0.033,0.0,0.0,0.0,0.467,0.935,0.689,-2.674,0.903,0.913,0.043,0.0,0.0,36.348,17.826,1.296,0.0,0.0,0.0,19.426,180.783,116.478,4.735
2018-19,2018-10-22,PAC,TIM,TIM,1.301,0.45,0.517,0.889,0.45,0.483,0.917,0.0,0.033,0.0,0.0,0.067,0.0,0.0,0.417,0.417,0.033,0.0,0.0,0.0,0.45,0.9,0.66,-2.567,0.876,0.889,0.056,0.0,0.0,34.833,17.083,1.656,0.0,0.0,0.0,19.211,175.444,116.333,4.133
2018-19,2018-10-24,PAC,SPU,SPU,1.36,0.433,0.5,0.867,0.433,0.467,0.9,0.0,0.033,0.0,0.0,0.067,0.0,0.0,0.4,0.4,0.033,0.0,0.0,0.033,0.433,0.867,0.6,-2.767,0.852,0.867,0.067,0.0,0.0,33.44,16.4,1.49,0.0,0.0,5.0,19.14,167.9,116.35,2.88
2018-19,2018-10-27,PAC,CAV,CAV,1.488,0.418,0.516,0.827,0.418,0.484,0.846,0.0,0.033,0.0,0.0,0.066,0.0,0.033,0.385,0.418,0.033,0.033,0.0,0.033,0.484,0.835,0.582,-2.736,0.817,0.827,0.058,0.0,1.62,32.154,16.462,1.375,0.475,0.0,4.615,18.723,164.738,115.938,2.548
2018-19,2018-10-29,PAC,BLA,PAC,1.446,0.403,0.5,0.806,0.403,0.468,0.827,0.0,0.032,0.0,0.0,0.065,0.0,0.032,0.37,0.403,0.032,0.032,0.0,0.032,0.468,0.806,0.56,-2.644,0.794,0.806,0.065,0.0,1.82,30.963,15.963,1.545,0.534,0.0,5.185,18.541,160.385,115.807,2.01
2018-19,2018-10-31,PAC,KNI,KNI,1.404,0.389,0.484,0.786,0.389,0.452,0.809,0.0,0.032,0.0,0.0,0.063,0.0,0.032,0.357,0.389,0.032,0.032,0.0,0.032,0.452,0.778,0.54,-2.555,0.773,0.786,0.071,0.0,2.006,29.857,15.5,1.703,0.589,0.0,5.714,18.371,156.343,115.686,1.511
2018-19,2018-11-02,PAC,BUL,BUL,1.363,0.376,0.469,0.767,0.376,0.438,0.793,0.0,0.031,0.0,0.0,0.062,0.0,0.031,0.345,0.376,0.031,0.031,0.0,0.031,0.438,0.752,0.521,-2.472,0.753,0.767,0.078,0.0,2.179,28.828,15.069,1.85,0.639,0.0,6.207,18.214,152.579,115.572,1.047
2018-19,2018-11-03,PAC,CEL,PAC,1.324,0.364,0.455,0.75,0.364,0.424,0.778,0.0,0.03,0.0,0.0,0.061,0.0,0.03,0.333,0.364,0.03,0.03,0.0,0.03,0.424,0.727,0.503,-2.394,0.735,0.75,0.083,0.0,2.34,27.867,14.667,1.987,0.687,0.0,6.667,18.067,149.067,115.467,0.613
