SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-03,CEL,RAP,CEL,7.35,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.5,1.5,0.0,-0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,9.0,25.0,11.9,38.0,96.0,-7.3
2000-01,2000-11-04,CEL,CAV,CAV,8.86,0.333,2.0,0.167,0.333,1.667,0.2,0.0,0.333,0.0,0.0,0.333,0.0,0.0,1.0,1.0,1.0,0.0,0.667,0.667,1.0,0.667,-0.333,6.0,0.155,0.167,0.167,0.0,0.0,15.8,7.3,15.0,0.0,4.5,23.75,14.15,42.5,98.0,-9.4
2000-01,2000-11-07,CEL,RAP,RAP,13.058,0.75,3.25,0.231,0.75,2.75,0.273,0.0,0.5,0.0,0.25,1.0,0.25,0.75,1.0,1.75,1.25,0.25,0.5,0.5,1.25,1.75,0.775,4.75,0.237,0.231,0.154,0.077,4.4,12.2,7.967,15.267,0.633,3.0,15.833,13.967,58.0,98.0,-6.967
2000-01,2000-11-10,CEL,KNI,CEL,14.102,1.4,4.6,0.304,1.2,3.4,0.353,0.2,1.2,0.167,0.2,1.0,0.2,0.8,1.0,1.8,1.0,0.4,0.6,0.4,1.0,3.2,1.8,2.6,0.317,0.326,0.261,0.043,4.45,11.225,7.45,11.45,1.175,3.3,11.875,16.5,65.75,100.5,-4.025
2000-01,2000-11-11,CEL,76E,76E,13.343,1.333,4.333,0.308,1.167,3.333,0.35,0.167,1.0,0.167,0.167,0.833,0.2,0.833,1.0,1.833,1.167,0.333,0.5,0.5,1.333,3.0,1.583,1.333,0.319,0.327,0.231,0.038,6.44,11.66,8.74,17.84,0.94,2.64,14.5,17.72,69.0,102.8,-5.18
2000-01,2000-11-15,CEL,WIZ,CEL,14.419,1.429,4.143,0.345,1.286,3.286,0.391,0.143,0.857,0.167,0.857,1.571,0.545,0.714,1.286,2.0,1.143,0.286,0.429,0.571,1.286,3.857,2.429,-0.429,0.399,0.362,0.207,0.207,5.367,12.2,8.517,16.3,0.783,2.2,14.6,17.117,81.167,101.5,-3.567
2000-01,2000-11-17,CEL,HAW,CEL,14.95,1.5,4.125,0.364,1.375,3.375,0.407,0.125,0.75,0.167,0.75,1.375,0.545,0.75,1.625,2.375,1.125,0.25,0.375,0.625,1.25,3.875,2.525,1.375,0.41,0.379,0.182,0.182,5.457,14.071,9.5,14.929,0.671,1.886,15.371,16.271,84.0,103.714,-3.9
2000-01,2000-11-18,CEL,WIZ,WIZ,14.786,1.556,4.111,0.378,1.444,3.444,0.419,0.111,0.667,0.167,0.889,1.444,0.615,0.778,1.444,2.222,1.0,0.444,0.333,0.778,1.333,4.111,2.678,0.889,0.433,0.392,0.162,0.216,5.775,12.312,8.912,13.062,1.575,1.65,17.088,17.025,85.375,103.875,-3.838
2000-01,2000-11-20,CEL,76E,CEL,14.9,1.4,4.0,0.35,1.3,3.3,0.394,0.1,0.7,0.143,0.8,1.3,0.615,0.7,1.5,2.2,0.9,0.4,0.3,0.7,1.3,3.7,2.22,0.8,0.405,0.362,0.175,0.2,5.133,12.967,8.756,11.611,1.4,1.467,15.189,16.056,75.889,105.667,-5.133
