SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,HAW,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2005-11-04,HAW,CLI,CLI,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,-13.5
2005-06,2005-11-05,HAW,BLA,BLA,4.61,0.333,0.667,0.5,0.333,0.667,0.5,0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.333,0.0,0.0,1.333,0.667,0.467,-3.667,0.5,0.5,0.0,0.0,6.6,7.05,6.8,0.0,3.45,0.0,0.0,5.9,57.0,109.5,-6.35
2005-06,2005-11-08,HAW,LAK,HAW,7.188,0.25,0.75,0.333,0.25,0.75,0.333,0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,1.25,0.0,0.5,0.0,0.0,1.75,0.5,0.45,-3.5,0.333,0.333,0.0,0.0,7.367,10.333,8.867,0.0,3.533,0.0,0.0,5.1,60.667,108.0,-7.5
2005-06,2005-11-10,HAW,CLI,HAW,6.134,0.2,0.6,0.333,0.2,0.6,0.333,0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.2,0.0,0.4,0.0,0.0,1.6,0.4,0.34,-3.8,0.333,0.333,0.0,0.0,5.525,24.675,15.35,0.0,2.65,0.0,0.0,3.825,45.5,106.25,-6.875
2005-06,2005-11-12,HAW,GRI,HAW,5.258,0.167,0.5,0.333,0.167,0.5,0.333,0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,1.0,0.0,0.333,0.0,0.0,1.333,0.333,0.283,-2.5,0.333,0.333,0.0,0.0,4.42,19.74,12.28,0.0,2.12,0.0,0.0,3.06,36.4,108.0,-6.74
2005-06,2005-11-15,HAW,SPU,SPU,5.439,0.143,0.571,0.25,0.143,0.571,0.25,0,0.0,0.0,0.0,0.0,0.0,0.286,0.571,0.857,0.0,0.286,0.0,0.0,1.429,0.286,0.029,-1.429,0.25,0.25,0.0,0.0,3.683,16.45,10.233,0.0,1.767,0.0,0.0,3.733,30.333,108.833,-8.817
2005-06,2005-11-17,HAW,MAV,MAV,4.759,0.125,0.5,0.25,0.125,0.5,0.25,0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.25,0.0,0.0,1.25,0.25,0.025,-1.25,0.25,0.25,0.0,0.0,3.683,16.45,10.233,0.0,1.767,0.0,0.0,3.733,30.333,108.833,-8.817
2005-06,2005-11-18,HAW,NOH,NOH,4.547,0.111,0.444,0.25,0.111,0.444,0.25,0,0.0,0.0,0.0,0.0,0.0,0.222,0.556,0.778,0.0,0.222,0.0,0.0,1.111,0.222,0.056,-1.556,0.25,0.25,0.0,0.0,3.157,19.571,11.471,0.0,1.514,0.0,0.0,3.2,26.0,106.143,-7.486
2005-06,2005-11-23,HAW,CEL,HAW,4.169,0.1,0.4,0.25,0.1,0.4,0.25,0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7,0.0,0.2,0.0,0.0,1.1,0.2,0.01,-1.8,0.25,0.25,0.0,0.0,2.762,17.125,10.038,0.0,1.325,0.0,0.0,2.8,22.75,106.375,-10.05
