SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-20,CAV,GRI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-10-22,CAV,HOR,CAV,19.15,3.5,6.5,0.538,3.0,5.5,0.545,0.5,1.0,0.5,1.0,1.5,0.667,0.0,4.5,4.5,3.0,0.5,0.5,0.0,1.0,8.5,9.05,-9.0,0.594,0.577,0.154,0.154,0.0,26.9,12.7,19.7,1.2,1.9,0.0,16.2,129.0,127.0,3.8
2021-22,2021-10-23,CAV,HAW,CAV,23.583,3.667,6.667,0.55,3.333,6.0,0.556,0.333,0.667,0.5,2.333,3.0,0.778,0.333,4.333,4.667,2.667,1.0,1.0,1.333,1.333,10.0,9.767,-8.333,0.626,0.575,0.1,0.35,1.75,20.85,10.85,13.85,2.05,3.45,14.65,17.2,115.5,120.5,1.25
2021-22,2021-10-25,CAV,NUG,NUG,26.475,4.5,8.0,0.562,4.25,7.0,0.607,0.25,1.0,0.25,2.5,3.0,0.833,0.75,5.5,6.25,2.25,1.25,1.75,1.25,1.75,11.75,12.025,-4.75,0.63,0.578,0.125,0.312,3.033,20.833,11.867,10.9,2.333,5.1,12.1,17.333,119.0,109.667,3.767
2021-22,2021-10-27,CAV,CLI,CLI,26.424,4.4,8.0,0.55,4.2,7.2,0.583,0.2,0.8,0.25,2.4,2.8,0.857,1.2,5.4,6.6,2.2,1.0,1.6,1.6,2.0,11.4,11.12,-0.6,0.617,0.562,0.1,0.3,5.2,20.3,12.725,11.15,1.75,4.775,15.4,18.2,113.75,105.0,2.325
2021-22,2021-10-29,CAV,LAK,LAK,27.707,4.167,8.333,0.5,4.0,7.667,0.522,0.167,0.667,0.25,3.0,3.333,0.9,1.5,5.667,7.167,1.833,1.0,1.667,1.333,2.333,11.5,11.133,1.333,0.587,0.51,0.08,0.36,6.22,20.02,13.2,8.92,1.7,5.04,12.32,17.72,115.6,100.0,2.7
2021-22,2021-10-30,CAV,SUN,SUN,28.93,5.0,9.429,0.53,4.714,8.571,0.55,0.286,0.857,0.333,2.857,3.571,0.8,1.571,5.429,7.0,2.0,1.143,1.429,1.143,2.0,13.143,12.586,1.143,0.597,0.545,0.091,0.303,6.117,19.533,12.7,10.217,1.883,4.2,10.267,18.367,119.167,103.167,3.617
2021-22,2021-11-01,CAV,HOR,HOR,27.98,4.5,9.0,0.5,4.25,8.125,0.523,0.25,0.875,0.286,2.5,3.125,0.8,1.5,5.125,6.625,2.25,1.0,1.25,1.0,1.875,11.75,11.288,0.25,0.566,0.514,0.097,0.278,5.843,18.886,12.186,12.571,1.614,3.6,8.8,17.443,113.0,103.429,2.843
2021-22,2021-11-03,CAV,BLA,CAV,29.321,4.778,9.667,0.494,4.556,8.667,0.526,0.222,1.0,0.222,2.333,3.0,0.778,1.778,5.222,7.0,2.333,1.111,1.222,1.333,2.111,12.111,11.222,0.0,0.551,0.506,0.103,0.241,6.5,18.25,12.238,12.462,1.712,3.388,10.212,17.688,110.75,104.25,1.987
2021-22,2021-11-05,CAV,RAP,RAP,30.354,4.8,9.8,0.49,4.6,8.8,0.523,0.2,1.0,0.2,2.2,2.9,0.759,1.8,5.6,7.4,2.1,1.0,1.2,1.6,2.1,12.0,10.59,-1.1,0.542,0.5,0.102,0.224,6.567,18.744,12.678,11.078,1.522,3.267,11.878,17.878,106.556,104.889,0.556
2021-22,2021-11-07,CAV,KNI,KNI,31.083,5.0,10.182,0.491,4.818,9.0,0.535,0.182,1.182,0.154,2.364,3.0,0.788,1.636,5.545,7.182,2.091,0.909,1.182,1.636,2.091,12.545,10.7,-1.636,0.545,0.5,0.116,0.232,5.91,18.2,12.15,10.83,1.37,3.11,11.82,18.14,107.1,105.9,0.46
