SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2021-04-10,RAP,CAV,CAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2021-04-11,RAP,KNI,KNI,9.135,1.5,2.0,0.75,1.5,2.0,0.75,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.5,1.5,0.5,0.5,0.0,3.0,4.9,5.0,0.75,0.75,0.0,0.0,17.5,12.8,14.8,5.8,7.6,5.2,20.0,12.0,139.0,99.0,5.5
2020-21,2021-04-13,RAP,HAW,RAP,9.033,1.0,1.667,0.6,1.0,1.667,0.6,0,0.0,0.0,0.0,0.0,0.0,0.667,1.0,1.667,0.333,1.0,0.333,0.333,0.333,2.0,3.0,0.667,0.6,0.6,0.0,0.0,8.75,12.3,10.55,2.9,3.8,2.6,10.0,8.6,69.5,105.0,-2.8
2020-21,2021-04-14,RAP,SPU,RAP,9.725,1.25,2.0,0.625,1.25,2.0,0.625,0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.25,0.75,0.5,0.25,1.0,2.5,2.875,0.25,0.625,0.625,0.0,0.0,5.833,11.267,8.7,1.933,2.533,4.233,6.667,9.533,90.333,106.333,-2.933
2020-21,2021-04-16,RAP,MAG,RAP,11.564,1.6,2.6,0.615,1.6,2.6,0.615,0,0.0,0.0,0.6,0.8,0.75,1.4,1.4,2.8,0.4,0.6,0.8,0.4,1.2,3.8,4.5,-0.4,0.644,0.615,0.0,0.231,11.925,12.05,11.875,3.35,1.9,5.7,8.225,11.575,104.0,108.0,-1.375
2020-21,2021-04-18,RAP,THU,RAP,13.267,2.167,3.5,0.619,2.167,3.5,0.619,0,0.0,0.0,0.5,0.667,0.75,1.333,2.167,3.5,0.333,0.5,0.667,0.5,1.667,4.833,4.8,1.0,0.637,0.619,0.0,0.143,10.74,16.26,13.5,2.68,1.52,4.56,8.8,13.08,105.4,108.8,-2.74
2020-21,2021-04-21,RAP,NET,RAP,14.09,2.429,3.571,0.68,2.429,3.571,0.68,0,0.0,0.0,0.714,0.857,0.833,1.429,1.857,3.286,0.429,0.429,0.714,0.429,1.571,5.571,5.714,0.0,0.705,0.68,0.0,0.2,10.533,13.55,12.15,3.8,1.267,4.65,7.333,12.617,124.167,109.333,-1.15
2020-21,2021-04-24,RAP,KNI,KNI,15.282,2.25,3.625,0.621,2.25,3.625,0.621,0,0.0,0.0,0.875,1.0,0.875,1.5,2.0,3.5,0.5,0.5,1.25,0.375,1.75,5.375,5.988,-0.375,0.661,0.621,0.0,0.241,10.257,13.314,11.9,4.043,1.386,6.886,6.286,12.114,123.429,107.143,-0.486
2020-21,2021-04-26,RAP,CAV,RAP,14.99,2.111,3.444,0.613,2.111,3.444,0.613,0,0.0,0.0,0.778,0.889,0.875,1.444,1.778,3.222,0.556,0.444,1.111,0.444,1.667,5.0,5.433,-3.0,0.652,0.613,0.0,0.226,10.05,11.65,11.025,5.012,1.212,6.025,9.662,12.05,119.625,110.75,-1.712
2020-21,2021-04-27,RAP,NET,RAP,14.856,2.0,3.3,0.606,2.0,3.3,0.606,0,0.0,0.0,1.1,1.2,0.917,1.4,1.7,3.1,0.5,0.4,1.0,0.6,2.0,5.1,5.09,-2.7,0.666,0.606,0.0,0.333,10.122,11.244,10.811,4.456,1.078,5.356,12.444,12.967,118.889,110.778,-3.067
2020-21,2021-04-29,RAP,NUG,NUG,14.572,1.909,3.182,0.6,1.909,3.182,0.6,0,0.0,0.0,1.0,1.091,0.917,1.455,1.818,3.273,0.455,0.364,0.909,0.545,2.091,4.818,4.818,-3.273,0.658,0.6,0.0,0.314,10.78,13.27,12.05,4.01,0.97,4.82,11.2,12.4,120.8,112.3,-3.51
2020-21,2021-05-01,RAP,JAZ,JAZ,14.36,1.833,3.0,0.611,1.833,3.0,0.611,0,0.0,0.0,1.083,1.167,0.929,1.333,1.833,3.167,0.417,0.333,0.917,0.5,1.917,4.75,4.833,-3.0,0.676,0.611,0.0,0.361,9.8,13.755,11.827,3.645,0.882,5.009,10.182,11.918,130.545,113.455,-2.955
2020-21,2021-05-02,RAP,LAK,LAK,14.231,1.846,3.077,0.6,1.846,3.077,0.6,0,0.0,0.0,1.0,1.231,0.812,1.308,1.923,3.231,0.385,0.385,0.923,0.462,1.769,4.692,4.808,-2.308,0.648,0.6,0.0,0.325,9.6,15.167,12.275,3.342,1.142,5.442,9.333,12.35,127.083,112.333,-2.758
2020-21,2021-05-04,RAP,CLI,CLI,14.641,2.071,3.643,0.569,2.071,3.643,0.569,0,0.0,0.0,1.0,1.286,0.778,1.571,1.929,3.5,0.357,0.429,0.857,0.429,1.929,5.143,5.064,-1.643,0.611,0.569,0.0,0.275,10.708,14.862,12.723,3.085,1.231,5.023,8.615,13.238,126.231,112.231,-3.038
2020-21,2021-05-06,RAP,WIZ,RAP,14.675,2.133,3.667,0.582,2.133,3.667,0.582,0,0.0,0.0,1.0,1.333,0.75,1.6,1.933,3.533,0.4,0.467,0.867,0.4,1.867,5.267,5.327,-1.2,0.619,0.582,0.0,0.273,10.95,15.129,12.957,3.607,1.379,5.214,8.0,13.35,128.429,111.571,-2.071
2020-21,2021-05-08,RAP,GRI,RAP,14.814,2.062,3.688,0.559,2.062,3.688,0.559,0,0.0,0.0,1.0,1.375,0.727,1.75,2.0,3.75,0.375,0.5,0.875,0.438,1.875,5.125,5.231,-1.5,0.597,0.559,0.0,0.271,11.767,15.58,13.6,3.367,1.48,5.193,8.6,13.413,125.933,111.733,-2.44
2020-21,2021-05-11,RAP,CLI,RAP,15.225,2.059,3.706,0.556,2.059,3.706,0.556,0,0.0,0.0,1.059,1.412,0.75,1.765,2.235,4.0,0.353,0.471,0.882,0.471,1.941,5.176,5.259,-1.118,0.598,0.556,0.0,0.286,11.531,16.362,13.831,3.156,1.388,5.194,9.125,13.275,125.312,111.5,-2.556
2020-21,2021-05-13,RAP,BUL,BUL,15.772,2.167,3.833,0.565,2.167,3.833,0.565,0,0.0,0.0,1.111,1.444,0.769,1.889,2.278,4.167,0.389,0.5,1.0,0.5,1.944,5.444,5.694,-1.778,0.609,0.565,0.0,0.29,11.771,16.365,13.953,3.382,1.424,5.624,9.335,13.318,126.294,111.765,-2.076
2020-21,2021-05-14,RAP,MAV,MAV,16.565,2.105,3.842,0.548,2.105,3.842,0.548,0,0.0,0.0,1.053,1.421,0.741,1.895,2.316,4.211,0.368,0.632,0.947,0.526,2.0,5.263,5.516,-2.684,0.589,0.548,0.0,0.274,11.461,16.244,13.7,3.194,1.611,5.311,9.839,13.017,122.611,111.944,-2.561
2020-21,2021-05-16,RAP,PAC,RAP,17.536,2.05,3.75,0.547,2.05,3.75,0.547,0,0.0,0.0,1.1,1.45,0.759,1.85,2.5,4.35,0.4,0.65,0.95,0.6,2.05,5.2,5.475,-3.05,0.593,0.547,0.0,0.293,11.058,16.216,13.553,3.2,1.6,5.179,11.479,12.663,121.421,112.316,-2.679
2021-22,2021-12-22,MAG,HAW,HAW,18.141,2.043,3.905,0.523,2.043,3.905,0.523,0,0.0,0.0,1.067,1.544,0.688,1.976,2.613,4.59,0.409,0.59,0.954,0.568,2.022,5.153,5.38,-3.472,0.561,0.523,0.0,0.273,11.533,16.971,14.176,3.052,1.448,5.386,11.195,12.771,119.524,112.19,-3.129
2021-22,2021-12-23,MAG,PEL,MAG,17.801,1.965,3.758,0.522,1.965,3.758,0.522,0,0.0,0.0,1.026,1.489,0.679,1.939,2.684,4.623,0.42,0.563,0.987,0.549,1.983,4.957,5.295,-3.489,0.558,0.522,0.0,0.272,11.418,18.155,14.732,3.386,1.382,5.782,10.686,12.191,124.273,111.864,-2.777
2021-22,2021-12-26,MAG,HEA,HEA,17.537,1.952,3.707,0.53,1.952,3.707,0.53,0,0.0,0.0,0.985,1.431,0.671,1.935,2.669,4.603,0.406,0.538,0.991,0.562,2.009,4.89,5.202,-3.236,0.564,0.53,0.0,0.257,11.774,17.97,14.8,3.239,1.322,5.835,11.309,12.343,123.609,111.478,-2.835
2021-22,2021-12-28,MAG,BUC,MAG,17.24,1.913,3.6,0.541,1.913,3.6,0.541,0,0.0,0.0,0.979,1.442,0.664,1.867,2.616,4.482,0.391,0.516,0.96,0.576,2.007,4.805,5.038,-3.876,0.572,0.541,0.0,0.27,11.283,17.733,14.429,3.104,1.267,5.592,12.283,12.338,122.25,112.417,-3.171
2021-22,2021-12-30,MAG,BUC,MAG,17.078,1.876,3.5,0.553,1.876,3.5,0.553,0,0.0,0.0,0.976,1.457,0.658,1.833,2.629,4.462,0.377,0.495,0.928,0.557,2.072,4.729,4.931,-3.79,0.579,0.553,0.0,0.286,11.164,18.044,14.524,2.98,1.216,5.368,11.792,12.084,124.28,113.24,-3.336
2021-22,2022-01-02,MAG,CEL,CEL,16.48,1.809,3.374,0.557,1.809,3.374,0.557,0,0.0,0.0,0.941,1.406,0.652,1.769,2.542,4.311,0.363,0.476,0.897,0.538,2.004,4.561,4.756,-3.67,0.582,0.557,0.0,0.288,11.181,18.343,14.683,2.945,1.169,5.422,11.928,12.013,124.908,113.285,-3.388
2021-22,2022-01-03,MAG,BUL,BUL,16.255,1.746,3.319,0.529,1.746,3.319,0.529,0,0.0,0.0,0.908,1.358,0.646,1.741,2.491,4.232,0.383,0.491,0.9,0.52,1.938,4.402,4.655,-3.65,0.56,0.529,0.0,0.274,11.14,17.906,14.447,3.368,1.325,5.533,11.392,11.877,121.877,112.358,-3.216
2021-22,2022-01-05,MAG,76E,MAG,16.208,1.687,3.302,0.497,1.687,3.302,0.497,0,0.0,0.0,0.877,1.313,0.641,1.778,2.506,4.283,0.37,0.537,0.902,0.535,2.003,4.252,4.529,-3.567,0.531,0.497,0.0,0.257,11.5,18.023,14.689,3.228,1.523,5.52,11.94,11.826,118.673,111.903,-3.449
2021-22,2022-01-08,MAG,PIS,PIS,16.115,1.662,3.286,0.489,1.662,3.255,0.497,0,0.031,0.0,0.848,1.301,0.614,1.783,2.427,4.21,0.42,0.52,0.905,0.518,1.94,4.173,4.486,-3.394,0.52,0.489,0.018,0.244,11.585,17.303,14.393,4.15,1.464,5.549,11.466,11.802,118.082,111.608,-3.349
2021-22,2022-01-09,MAG,WIZ,MAG,16.036,1.669,3.333,0.486,1.669,3.303,0.492,0,0.03,0.0,0.821,1.259,0.608,1.727,2.443,4.17,0.438,0.504,0.907,0.532,1.911,4.16,4.409,-3.259,0.515,0.486,0.015,0.228,11.151,17.493,14.249,4.392,1.41,5.554,11.655,12.067,116.393,111.411,-3.474
