SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-30,BUC,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-11-01,BUC,CEL,CEL,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,-0.6,-1.5,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,18.7,54.0,104.0,-22.0
2013-14,2013-11-02,BUC,RAP,BUC,5.723,0.667,1.667,0.4,0.667,1.333,0.5,0.0,0.333,0.0,0.667,1.333,0.5,0.0,0.667,0.667,0.0,0.0,0.0,0.333,1.667,2.0,0.033,2.667,0.444,0.4,0.2,0.4,0.0,9.2,4.15,0.0,0.0,0.0,26.6,20.05,74.5,108.0,-18.3
2013-14,2013-11-06,BUC,CAV,BUC,8.53,0.75,1.75,0.429,0.75,1.5,0.5,0.0,0.25,0.0,0.5,1.5,0.333,0.0,1.0,1.0,0.0,0.25,0.0,0.25,1.5,2.0,0.375,3.5,0.415,0.429,0.143,0.286,0.0,9.9,4.7,0.0,1.0,0.0,17.733,15.967,70.667,105.667,-14.2
2013-14,2013-11-09,BUC,MAV,BUC,6.824,0.6,1.4,0.429,0.6,1.2,0.5,0.0,0.2,0.0,0.4,1.2,0.333,0.0,0.8,0.8,0.0,0.2,0.0,0.2,1.2,1.6,0.3,2.8,0.415,0.429,0.143,0.286,0.0,9.9,4.7,0.0,1.0,0.0,17.733,15.967,70.667,105.667,-14.2
2013-14,2013-11-12,BUC,HEA,HEA,5.687,0.5,1.167,0.429,0.5,1.0,0.5,0.0,0.167,0.0,0.333,1.0,0.333,0.0,0.667,0.667,0.0,0.167,0.0,0.167,1.0,1.333,0.25,2.333,0.415,0.429,0.143,0.286,0.0,9.9,4.7,0.0,1.0,0.0,17.733,15.967,70.667,105.667,-14.2
2013-14,2013-11-13,BUC,MAG,MAG,7.957,1.0,2.143,0.467,0.571,1.286,0.444,0.429,0.857,0.5,0.286,0.857,0.333,0.286,0.857,1.143,0.0,0.143,0.0,0.571,1.0,2.714,1.014,1.857,0.539,0.567,0.4,0.133,2.575,11.0,6.525,0.0,0.75,0.0,20.125,17.725,76.75,111.25,-11.6
2013-14,2013-11-15,BUC,PAC,PAC,9.394,1.0,2.125,0.471,0.625,1.25,0.5,0.375,0.875,0.429,0.75,1.25,0.6,0.375,0.875,1.25,0.125,0.375,0.0,0.625,0.875,3.125,1.85,1.0,0.584,0.559,0.412,0.353,3.32,9.9,6.4,1.62,1.68,0.0,20.3,16.5,89.6,109.0,-8.16
2013-14,2013-11-16,BUC,THU,BUC,9.658,1.111,2.111,0.526,0.667,1.222,0.545,0.444,0.889,0.5,0.667,1.111,0.6,0.444,0.889,1.333,0.111,0.333,0.111,0.667,1.222,3.333,2.033,-1.111,0.641,0.632,0.421,0.316,4.067,10.367,6.95,1.35,1.4,1.083,22.467,15.633,97.833,110.5,-6.533
2013-14,2013-11-20,BUC,BLA,BUC,10.209,1.1,2.2,0.5,0.7,1.3,0.538,0.4,0.9,0.444,0.6,1.0,0.6,0.5,1.2,1.7,0.2,0.3,0.3,0.8,1.2,3.2,2.02,-1.5,0.606,0.591,0.409,0.273,4.343,12.5,8.157,2.843,1.2,2.314,24.971,15.486,91.571,108.143,-6.157
