SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,BLA,LAK,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,BLA,SUN,SUN,10.135,1.5,2.0,0.75,0.5,0.5,1.0,1.0,1.5,0.667,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,2.5,4.0,2.9,2.0,1.0,1.0,0.75,0.0,5.5,0.0,3.4,9.0,5.6,0.0,33.3,14.1,121.0,108.0,5.4
2000-01,2000-11-04,BLA,SUP,SUP,11.267,1.0,2.0,0.5,0.333,0.667,0.5,0.667,1.333,0.5,0.0,0.0,0.0,0.667,0.667,1.333,0.667,0.667,0.0,1.0,2.0,2.667,1.667,0.667,0.667,0.667,0.667,0.0,8.2,9.7,9.4,10.85,2.8,0.0,33.3,12.5,77.5,115.0,-3.3
2000-01,2000-11-06,BLA,KIN,KIN,10.77,0.75,1.5,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.0,1.0,1.75,2.0,0.9,-1.25,0.667,0.667,0.667,0.0,5.467,6.467,6.267,7.233,1.867,0.0,55.533,9.833,51.667,113.0,-7.3
2000-01,2000-11-07,BLA,HAW,BLA,11.44,1.0,1.8,0.556,0.2,0.4,0.5,0.8,1.4,0.571,0.0,0.0,0.0,0.4,0.6,1.0,0.4,0.4,0.0,0.8,1.4,2.8,1.72,-1.0,0.778,0.778,0.778,0.0,4.1,6.625,5.6,5.425,1.4,0.0,41.65,9.875,84.75,109.75,-3.1
2000-01,2000-11-09,BLA,NUG,BLA,12.475,1.833,3.167,0.579,0.333,0.667,0.5,1.5,2.5,0.6,0.0,0.0,0.0,0.333,0.833,1.167,0.5,0.333,0.0,0.667,1.333,5.167,3.65,0.167,0.816,0.816,0.789,0.0,3.28,7.48,5.68,6.56,1.12,0.0,33.32,12.94,98.8,108.4,1.22
2000-01,2000-11-11,BLA,ROC,BLA,12.621,1.571,3.0,0.524,0.286,0.714,0.4,1.286,2.286,0.563,0.0,0.0,0.0,0.286,0.714,1.0,0.571,0.286,0.0,0.714,1.286,4.429,2.829,0.571,0.738,0.738,0.762,0.0,2.733,6.233,4.733,7.0,0.933,0.0,33.317,12.617,85.667,109.5,-2.0
2000-01,2000-11-13,BLA,NNE,NNE,12.591,1.5,2.875,0.522,0.25,0.625,0.4,1.25,2.25,0.556,0.125,0.25,0.5,0.25,0.625,0.875,0.625,0.25,0.0,0.625,1.125,4.375,2.888,0.5,0.733,0.739,0.783,0.043,2.343,5.343,4.057,7.471,0.8,0.0,28.557,12.486,93.714,108.571,-1.514
2000-01,2000-11-14,BLA,HAW,HAW,12.998,1.556,3.0,0.519,0.333,0.667,0.5,1.222,2.333,0.524,0.111,0.222,0.5,0.222,0.556,0.778,1.0,0.333,0.0,0.667,1.111,4.444,3.167,0.333,0.717,0.722,0.778,0.037,2.05,4.675,3.55,11.538,1.112,0.0,27.487,12.688,97.375,107.125,-0.5
2000-01,2000-11-16,BLA,RAP,RAP,13.055,1.4,2.9,0.483,0.3,0.8,0.375,1.1,2.1,0.524,0.1,0.3,0.333,0.2,0.5,0.7,0.9,0.3,0.0,0.7,1.0,4.0,2.57,0.4,0.66,0.672,0.724,0.034,1.822,4.156,3.156,10.256,0.989,0.0,27.667,12.522,86.556,108.556,-2.433
