SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-10-27,PIS,NNE,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2010-10-29,PIS,THU,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2010-10-30,PIS,BUL,BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,2010-11-02,PIS,CEL,PIS,1.795,0.25,0.25,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.0,0.0,0.25,0.75,0.5,0.2,2.75,1.0,1.0,0.0,0.0,13.6,29.1,21.1,0.0,0.0,0.0,50.0,11.8,97.0,101.0,-9.2
2010-11,2010-11-03,PIS,HAW,HAW,5.09,0.2,1.4,0.143,0.2,1.4,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,2.6,0.4,0.0,0.0,0.4,1.0,0.4,0.08,0.8,0.143,0.143,0.0,0.0,17.45,39.4,28.3,7.5,0.0,0.0,32.15,14.75,68.5,110.0,-10.45
2010-11,2010-11-05,PIS,BOB,PIS,8.73,0.667,2.667,0.25,0.667,2.667,0.25,0.0,0.0,0.0,0.167,0.667,0.25,1.667,1.833,3.5,0.833,0.0,0.0,0.333,1.333,1.5,1.133,0.833,0.253,0.25,0.0,0.062,18.9,31.233,25.367,10.8,0.0,0.0,21.433,15.933,79.333,112.0,-8.3
2010-11,2010-11-07,PIS,WAR,PIS,10.314,1.0,3.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,0.571,1.0,0.571,2.0,1.857,3.857,0.857,0.0,0.143,0.429,1.429,2.571,2.357,0.429,0.374,0.333,0.0,0.19,20.375,27.45,24.3,10.55,0.0,1.3,19.5,16.425,96.0,110.75,-5.2
2010-11,2010-11-09,PIS,BLA,BLA,11.272,1.25,3.625,0.345,1.25,3.625,0.345,0.0,0.0,0.0,0.625,1.75,0.357,2.0,1.75,3.75,0.875,0.125,0.125,0.5,1.5,3.125,2.288,0.875,0.356,0.345,0.0,0.172,18.72,23.08,21.18,10.28,0.58,1.04,17.26,19.26,91.2,110.2,-6.88
2010-11,2010-11-12,PIS,CLI,CLI,12.687,1.222,3.667,0.333,1.222,3.667,0.333,0.0,0.0,0.0,0.556,1.556,0.357,1.889,1.667,3.556,1.0,0.111,0.111,0.778,1.667,3.0,1.789,-0.111,0.345,0.333,0.0,0.152,16.433,20.117,18.5,10.867,0.483,0.867,21.533,18.433,84.0,111.667,-8.05
2010-11,2010-11-14,PIS,KIN,KIN,12.033,1.1,3.3,0.333,1.1,3.3,0.333,0.0,0.0,0.0,0.5,1.6,0.312,1.7,1.6,3.3,0.9,0.1,0.1,0.7,1.5,2.7,1.56,-0.2,0.337,0.333,0.0,0.152,14.086,20.4,17.343,9.314,0.414,0.743,18.457,16.8,72.0,111.286,-8.643
2010-11,2010-11-15,PIS,WAR,WAR,12.355,1.273,3.455,0.368,1.273,3.455,0.368,0.0,0.0,0.0,0.455,1.455,0.312,1.727,2.0,3.727,0.818,0.273,0.091,0.727,1.455,3.0,2.1,0.182,0.366,0.368,0.0,0.132,14.738,22.875,19.125,8.15,1.262,0.65,18.238,17.1,77.125,108.125,-7.05
2010-11,2010-11-17,PIS,LAK,PIS,12.795,1.167,3.25,0.359,1.167,3.25,0.359,0.0,0.0,0.0,0.417,1.5,0.278,1.583,1.833,3.417,0.75,0.417,0.167,0.667,1.417,2.75,1.992,1.25,0.352,0.359,0.0,0.128,13.1,20.333,17.0,7.244,1.767,1.033,16.211,15.733,68.556,107.556,-6.744
2010-11,2010-11-21,PIS,WIZ,PIS,12.734,1.231,3.231,0.381,1.231,3.231,0.381,0.0,0.0,0.0,0.385,1.385,0.278,1.462,2.0,3.462,0.846,0.462,0.154,0.615,1.308,2.846,2.323,1.769,0.371,0.381,0.0,0.119,11.79,22.02,16.97,9.48,2.03,0.93,14.59,15.32,76.2,106.8,-4.75
2010-11,2010-11-23,PIS,MAV,MAV,12.699,1.143,3.214,0.356,1.143,3.214,0.356,0.0,0.0,0.0,0.357,1.286,0.278,1.5,1.929,3.429,0.857,0.429,0.143,0.571,1.357,2.643,2.121,0.857,0.35,0.356,0.0,0.111,12.464,21.0,16.818,9.491,1.845,0.845,13.264,14.973,75.364,107.727,-5.673
2010-11,2010-11-24,PIS,GRI,GRI,13.105,1.2,3.4,0.353,1.2,3.4,0.353,0.0,0.0,0.0,0.333,1.2,0.278,1.667,2.067,3.733,0.8,0.4,0.133,0.667,1.4,2.733,2.1,1.0,0.348,0.353,0.0,0.098,13.408,21.142,17.35,8.7,1.692,0.775,14.242,15.442,75.25,107.167,-5.925
2010-11,2010-11-26,PIS,BUC,PIS,13.603,1.25,3.562,0.351,1.25,3.562,0.351,0.0,0.0,0.0,0.438,1.25,0.35,1.688,2.312,4.0,0.875,0.438,0.188,0.688,1.375,2.938,2.438,0.75,0.357,0.351,0.0,0.123,13.169,22.146,17.685,9.308,1.762,0.946,14.123,15.608,77.154,107.385,-5.138
