SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-25,KNI,CEL,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,2012-01-04,KNI,BOB,KNI,11.015,1.5,6.5,0.231,1.5,6.0,0.25,0.0,0.5,0.0,2.5,2.5,1.0,0.5,1.5,2.0,0.5,0.0,0.0,1.0,1.0,5.5,1.3,-5.0,0.362,0.231,0.077,0.385,6.1,18.2,12.1,7.7,0.0,0.0,11.6,35.7,77.0,116.0,-18.4
2011-12,2012-01-06,KNI,WIZ,WIZ,17.327,3.0,7.667,0.391,1.667,5.333,0.313,1.333,2.333,0.571,2.333,2.333,1.0,0.333,2.667,3.0,1.333,0.667,0.333,1.333,1.333,9.667,6.5,-3.0,0.556,0.478,0.304,0.304,3.05,20.25,11.25,11.25,1.65,1.1,13.55,27.15,110.5,115.5,-4.55
2011-12,2012-01-07,KNI,PIS,PIS,22.258,3.25,8.5,0.382,2.0,5.5,0.364,1.25,3.0,0.417,2.0,2.25,0.889,0.25,2.75,3.0,2.75,1.75,0.5,1.5,1.75,9.75,7.825,2.75,0.514,0.456,0.353,0.235,2.033,16.433,8.9,16.433,3.233,1.333,13.833,23.2,105.667,106.333,-1.6
2011-12,2012-01-09,KNI,BOB,KNI,23.332,3.6,8.8,0.409,2.4,5.8,0.414,1.2,3.0,0.4,1.6,1.8,0.889,0.2,2.6,2.8,2.8,1.6,0.4,1.6,2.2,10.0,7.48,2.4,0.521,0.477,0.341,0.182,1.525,14.025,7.65,16.625,2.9,1.0,14.55,22.475,104.5,103.25,-2.45
2011-12,2012-01-11,KNI,76E,KNI,25.257,4.167,9.5,0.439,3.167,6.667,0.475,1.0,2.833,0.353,1.667,1.833,0.909,0.167,3.167,3.333,3.0,1.833,0.333,1.833,2.333,11.0,8.417,3.0,0.534,0.491,0.298,0.175,1.22,14.8,7.78,18.7,3.2,0.8,15.2,22.26,103.6,100.4,-1.3
2011-12,2012-01-12,KNI,GRI,GRI,27.081,4.286,10.286,0.417,3.429,7.0,0.49,0.857,3.286,0.261,1.429,1.571,0.909,0.143,3.286,3.429,3.0,1.857,0.429,2.143,2.571,10.857,7.486,1.714,0.495,0.458,0.319,0.139,1.017,14.167,7.5,18.033,3.117,0.983,16.183,22.3,96.833,97.667,-1.917
2011-12,2012-01-14,KNI,THU,THU,27.309,4.375,11.5,0.38,3.5,8.125,0.431,0.875,3.375,0.259,1.375,1.5,0.917,0.125,3.125,3.25,3.0,2.125,0.5,2.625,2.5,11.0,6.625,0.125,0.452,0.418,0.293,0.12,0.871,13.3,6.957,18.6,3.671,1.214,17.114,25.043,90.286,96.286,-2.829
2011-12,2012-01-16,KNI,MAG,KNI,27.336,4.222,11.333,0.373,3.444,8.222,0.419,0.778,3.111,0.25,1.222,1.333,0.917,0.111,3.111,3.222,3.0,2.0,0.444,2.556,2.444,10.444,6.044,-2.556,0.438,0.407,0.275,0.108,0.762,13.5,6.9,18.55,3.438,1.062,17.062,24.225,87.375,98.0,-3.575
2011-12,2012-01-18,KNI,SUN,KNI,27.945,4.1,11.1,0.369,3.2,7.9,0.405,0.9,3.2,0.281,1.5,1.6,0.938,0.1,3.0,3.1,2.9,2.1,0.4,2.4,2.5,10.6,6.41,-2.3,0.449,0.41,0.288,0.135,0.678,12.911,6.556,17.733,3.589,0.944,16.111,23.456,89.667,99.222,-2.944
2011-12,2012-01-20,KNI,BUC,KNI,29.003,4.455,11.364,0.392,3.364,7.909,0.425,1.091,3.455,0.316,1.455,1.636,0.889,0.273,2.909,3.182,2.818,2.273,0.364,2.455,2.636,11.455,7.264,-2.273,0.474,0.44,0.304,0.128,1.07,12.24,6.43,17.05,3.74,0.85,16.18,22.99,92.1,98.4,-1.92
2011-12,2012-01-21,KNI,NUG,KNI,29.086,4.083,10.833,0.377,3.083,7.5,0.411,1.0,3.333,0.3,1.667,1.833,0.909,0.25,2.917,3.167,3.0,2.417,0.333,2.5,2.833,10.833,6.983,-3.083,0.465,0.423,0.308,0.154,0.973,12.145,6.327,18.191,4.0,0.773,17.5,22.173,89.727,98.182,-1.918
2011-12,2012-01-24,KNI,BOB,BOB,30.014,4.308,11.231,0.384,3.231,7.769,0.416,1.077,3.462,0.311,1.692,1.846,0.917,0.231,3.0,3.231,3.308,2.385,0.308,2.462,2.846,11.385,7.562,-2.231,0.473,0.432,0.308,0.151,0.892,12.0,6.233,19.083,3.867,0.708,16.925,22.042,91.417,98.5,-1.425
2011-12,2012-01-25,KNI,CAV,CAV,29.69,4.071,11.071,0.368,3.071,7.857,0.391,1.0,3.214,0.311,1.643,1.857,0.885,0.214,3.143,3.357,3.214,2.357,0.357,2.5,2.786,10.786,6.914,-1.071,0.454,0.413,0.29,0.148,0.823,12.554,6.6,18.392,3.885,0.862,17.415,22.115,87.308,96.923,-2.477
