SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-12-16,PIS,PAC,PAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-12-23,PIS,HEA,HEA,2.34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,-0.55,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.3,17.4,33.3,29.0,0.0,94.0,-17.5
2021-22,2021-12-26,PIS,SPU,SPU,1.56,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.333,0.0,-0.367,-0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.3,17.4,33.3,29.0,0.0,94.0,-17.5
2021-22,2022-02-27,PIS,HOR,HOR,1.17,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,-0.275,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.3,17.4,33.3,29.0,0.0,94.0,-17.5
2021-22,2022-03-01,PIS,WIZ,WIZ,3.582,0.4,1.6,0.25,0.0,0.4,0.0,0.4,1.2,0.333,0.0,0.0,0.0,0.4,0.0,0.4,0.2,0.2,0.2,0.2,0.4,1.2,0.64,-1.0,0.375,0.375,0.75,0.0,7.15,0.0,4.0,4.75,5.15,8.7,16.65,23.6,68.0,110.5,-8.6
2021-22,2022-03-03,PIS,RAP,RAP,4.723,0.5,1.833,0.273,0.167,0.667,0.25,0.333,1.167,0.286,0.0,0.0,0.0,0.5,0.0,0.5,0.333,0.167,0.167,0.167,0.667,1.333,0.683,-1.0,0.364,0.364,0.636,0.0,8.267,0.0,4.467,7.167,3.433,5.8,11.1,19.833,80.667,117.333,-9.367
2021-22,2022-03-04,PIS,PAC,PIS,4.767,0.429,1.857,0.231,0.143,0.571,0.25,0.286,1.286,0.222,0.0,0.0,0.0,0.429,0.0,0.429,0.429,0.143,0.143,0.143,0.571,1.143,0.486,-1.0,0.308,0.308,0.692,0.0,6.2,0.0,3.35,11.65,2.575,4.35,8.325,19.4,69.25,119.25,-11.175
2021-22,2022-03-07,PIS,HAW,PIS,4.9,0.625,2.125,0.294,0.25,0.75,0.333,0.375,1.375,0.273,0.0,0.0,0.0,0.5,0.0,0.5,0.375,0.125,0.125,0.125,0.5,1.625,0.888,-1.375,0.382,0.382,0.647,0.0,8.06,0.0,4.22,9.32,2.06,3.48,6.66,21.24,82.4,119.8,-7.58
2021-22,2022-03-09,PIS,BUL,PIS,7.086,0.889,2.556,0.348,0.222,0.667,0.333,0.667,1.889,0.353,0.0,0.0,0.0,0.556,0.111,0.667,0.556,0.444,0.111,0.333,0.778,2.444,1.7,-1.333,0.478,0.478,0.739,0.0,7.433,0.8,4.267,9.733,2.817,2.9,9.717,20.2,87.833,117.167,-5.1
2021-22,2022-03-11,PIS,CEL,CEL,7.949,0.9,2.5,0.36,0.3,0.7,0.429,0.6,1.8,0.333,0.0,0.0,0.0,0.6,0.3,0.9,0.5,0.4,0.1,0.3,1.0,2.4,1.64,-1.1,0.48,0.48,0.72,0.0,7.586,3.7,5.671,8.343,2.414,2.486,8.329,18.143,92.571,117.429,-5.5
