SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-26,ROC,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-28,ROC,NUG,NUG,18.615,2.5,4.5,0.556,2.0,2.5,0.8,0.5,2.0,0.25,1.0,1.0,1.0,0.5,1.5,2.0,1.0,0.5,0.0,0.5,2.0,6.5,5.05,7.0,0.658,0.611,0.444,0.222,3.2,9.9,6.5,7.5,1.3,0.0,9.2,13.2,129.0,121.0,-2.1
2020-21,2020-12-31,ROC,KIN,ROC,20.893,2.333,5.0,0.467,1.667,2.667,0.625,0.667,2.333,0.286,0.667,0.667,1.0,1.0,2.667,3.667,1.333,0.333,0.333,1.333,3.0,6.0,3.9,-0.333,0.567,0.533,0.467,0.133,5.7,15.65,10.6,9.1,0.65,1.7,21.25,14.25,102.5,120.0,-6.3
2020-21,2021-01-02,ROC,KIN,ROC,20.832,2.25,4.5,0.5,1.75,2.75,0.636,0.5,1.75,0.286,0.5,1.0,0.5,1.0,3.25,4.25,1.25,0.5,0.25,1.5,2.5,5.5,3.775,-1.25,0.557,0.556,0.389,0.111,5.7,18.333,12.233,8.0,1.167,1.133,25.5,13.467,94.333,117.333,-6.8
2020-21,2021-01-04,ROC,MAV,ROC,20.76,2.0,4.2,0.476,1.6,2.6,0.615,0.4,1.6,0.25,1.0,1.6,0.625,1.0,2.8,3.8,1.2,0.8,0.2,1.2,2.2,5.4,4.26,0.4,0.551,0.524,0.381,0.238,5.775,14.8,10.4,7.75,2.075,0.85,19.125,12.775,103.0,112.5,-5.1
2020-21,2021-01-06,ROC,PAC,PAC,21.438,2.167,4.5,0.481,1.667,3.0,0.556,0.5,1.5,0.333,1.0,1.5,0.667,1.167,3.0,4.167,1.0,0.667,0.167,1.167,2.333,5.833,4.45,1.167,0.565,0.537,0.333,0.222,6.24,15.9,11.02,6.2,1.66,0.68,17.98,12.96,105.2,114.6,-4.94
2020-21,2021-01-08,ROC,MAG,ROC,21.744,2.286,4.714,0.485,1.714,3.0,0.571,0.571,1.714,0.333,1.0,1.571,0.636,1.0,2.857,3.857,1.143,0.571,0.143,1.143,2.571,6.143,4.386,-0.714,0.568,0.545,0.364,0.212,5.2,14.9,10.067,7.233,1.383,0.567,17.1,13.267,105.5,115.833,-5.117
2020-21,2021-01-10,ROC,LAK,ROC,20.961,2.625,4.75,0.553,2.125,3.25,0.654,0.5,1.5,0.333,0.875,1.375,0.636,0.875,2.625,3.5,1.25,0.625,0.125,1.125,2.375,6.625,5.062,1.875,0.619,0.605,0.316,0.184,4.457,13.643,9.114,8.7,1.643,0.486,17.043,13.929,113.714,112.714,-3.257
2020-21,2021-01-12,ROC,LAK,ROC,20.873,2.667,4.667,0.571,2.222,3.333,0.667,0.444,1.333,0.333,1.111,1.667,0.667,1.111,2.667,3.778,1.222,0.778,0.222,1.111,2.333,6.889,5.789,1.333,0.638,0.619,0.286,0.238,5.612,14.175,9.912,8.612,2.0,0.9,16.762,13.85,117.75,111.875,-1.662
2020-21,2021-01-14,ROC,SPU,SPU,21.298,2.8,5.1,0.549,2.4,3.7,0.649,0.4,1.4,0.286,1.1,1.6,0.688,1.1,2.6,3.7,1.1,0.8,0.3,1.0,2.5,7.1,5.78,1.4,0.612,0.588,0.275,0.216,5.378,13.589,9.467,7.656,1.978,1.211,14.9,14.022,115.889,112.111,-2.156
2020-21,2021-01-16,ROC,SPU,SPU,22.368,3.091,5.727,0.54,2.727,4.364,0.625,0.364,1.364,0.267,1.091,1.636,0.667,1.273,2.545,3.818,1.909,0.727,0.455,1.091,2.455,7.636,6.609,2.818,0.592,0.571,0.238,0.19,5.9,12.82,9.33,11.25,1.78,1.57,14.75,14.54,116.6,111.9,-1.45
2020-21,2021-01-18,ROC,BUL,BUL,22.664,3.0,6.167,0.486,2.667,4.833,0.552,0.333,1.333,0.25,1.25,1.917,0.652,1.25,2.667,3.917,2.167,0.667,0.667,1.167,2.583,7.583,6.325,0.583,0.541,0.514,0.216,0.203,5.682,12.855,9.255,13.309,1.618,2.091,14.609,15.391,112.273,110.818,-1.845
2020-21,2021-01-20,ROC,SUN,ROC,23.261,3.077,6.308,0.488,2.538,4.692,0.541,0.538,1.615,0.333,1.154,1.769,0.652,1.154,2.923,4.077,2.0,0.615,0.692,1.154,2.692,7.846,6.369,-0.385,0.554,0.53,0.256,0.183,5.208,13.575,9.433,12.2,1.483,2.2,14.317,15.158,111.917,111.333,-2.067
2020-21,2021-01-22,ROC,PIS,PIS,24.259,3.071,6.214,0.494,2.5,4.5,0.556,0.571,1.714,0.333,1.214,1.786,0.68,1.143,3.071,4.214,1.857,0.571,0.643,1.214,2.786,7.929,6.293,0.0,0.566,0.54,0.276,0.195,5.031,13.769,9.415,11.262,1.369,2.031,15.169,14.677,112.077,111.308,-2.392
2020-21,2021-01-23,ROC,MAV,MAV,24.801,3.2,6.333,0.505,2.533,4.467,0.567,0.667,1.867,0.357,1.2,1.8,0.667,1.133,3.0,4.133,1.8,0.733,0.8,1.2,2.933,8.267,6.747,0.4,0.58,0.558,0.295,0.189,4.864,13.2,9.043,10.814,1.586,2.521,14.807,14.514,113.357,110.143,-1.836
2020-21,2021-01-26,ROC,WIZ,ROC,24.481,3.188,6.125,0.52,2.562,4.375,0.586,0.625,1.75,0.357,1.125,1.688,0.667,1.125,3.0,4.125,1.688,0.688,0.75,1.25,2.812,8.125,6.594,1.5,0.592,0.571,0.286,0.184,4.96,13.313,9.18,10.093,1.48,2.353,16.487,14.267,112.867,110.333,-2.073
2020-21,2021-01-28,ROC,BLA,ROC,24.704,3.059,6.118,0.5,2.471,4.412,0.56,0.588,1.706,0.345,1.118,1.706,0.655,1.235,3.059,4.294,1.588,0.706,0.706,1.176,2.647,7.824,6.388,1.882,0.57,0.548,0.279,0.183,5.344,13.369,9.394,9.462,1.494,2.206,15.456,14.019,110.438,109.062,-2.406
2020-21,2021-01-30,ROC,PEL,PEL,24.261,2.944,5.944,0.495,2.389,4.222,0.566,0.556,1.722,0.323,1.056,1.611,0.655,1.278,2.944,4.222,1.556,0.722,0.667,1.222,2.611,7.5,6.083,1.056,0.564,0.542,0.29,0.178,5.718,12.941,9.371,9.388,1.576,2.076,16.9,13.953,108.0,108.765,-2.888
2020-21,2021-02-01,ROC,THU,THU,24.243,3.105,6.053,0.513,2.526,4.316,0.585,0.579,1.737,0.333,1.0,1.526,0.655,1.368,3.105,4.474,1.474,0.842,0.632,1.158,2.632,7.789,6.579,1.789,0.579,0.561,0.287,0.165,6.144,13.617,9.928,8.867,1.806,1.961,15.961,13.956,111.167,108.056,-2.278
2020-21,2021-02-03,ROC,THU,THU,24.18,3.2,6.05,0.529,2.6,4.3,0.605,0.6,1.75,0.343,0.95,1.45,0.655,1.35,3.25,4.6,1.6,0.8,0.65,1.2,2.55,7.95,6.87,2.95,0.594,0.579,0.289,0.157,6.053,14.274,10.216,9.542,1.711,2.058,16.437,13.968,113.105,107.737,-1.889
2020-21,2021-02-04,ROC,GRI,GRI,24.52,3.19,6.143,0.519,2.619,4.333,0.604,0.571,1.81,0.316,0.905,1.381,0.655,1.286,3.286,4.571,1.524,0.762,0.667,1.286,2.524,7.857,6.529,1.857,0.582,0.566,0.295,0.147,5.75,14.305,10.04,9.065,1.625,2.11,16.98,14.025,109.95,107.4,-2.48
2020-21,2021-02-06,ROC,SPU,ROC,24.822,3.364,6.273,0.536,2.727,4.409,0.619,0.636,1.864,0.341,1.0,1.455,0.688,1.318,3.364,4.682,1.545,0.773,0.727,1.273,2.591,8.364,7.123,3.136,0.605,0.587,0.297,0.159,5.843,14.405,10.152,9.119,1.624,2.29,16.59,14.124,112.857,107.143,-1.862
2020-21,2021-02-08,ROC,HOR,HOR,24.797,3.261,6.261,0.521,2.652,4.391,0.604,0.609,1.87,0.326,1.043,1.478,0.706,1.304,3.391,4.696,1.522,0.783,0.696,1.217,2.652,8.174,6.909,2.826,0.591,0.569,0.299,0.167,5.786,14.514,10.191,8.955,1.636,2.186,15.836,14.041,111.273,107.136,-2.191
2020-21,2021-02-09,ROC,PEL,PEL,24.982,3.333,6.292,0.53,2.75,4.458,0.617,0.583,1.833,0.318,1.125,1.583,0.711,1.333,3.333,4.667,1.5,0.792,0.708,1.208,2.625,8.375,7.133,2.0,0.599,0.576,0.291,0.179,5.83,14.222,10.065,8.83,1.639,2.239,15.591,14.1,112.478,107.957,-2.113
2020-21,2021-02-11,ROC,HEA,ROC,25.128,3.44,6.4,0.538,2.84,4.52,0.628,0.6,1.88,0.319,1.08,1.52,0.711,1.4,3.36,4.76,1.52,0.76,0.68,1.2,2.68,8.56,7.296,1.04,0.605,0.584,0.294,0.169,5.992,14.329,10.175,8.962,1.571,2.146,15.358,14.133,113.5,109.208,-2.108
