SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-12-13,MAG,CLI,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-12-15,MAG,BLA,MAG,0.49,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,0.0,116.0,-45.1
2017-18,2017-12-17,MAG,PIS,PIS,0.327,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,0.0,116.0,-45.1
2017-18,2017-12-20,MAG,BUL,BUL,1.602,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.75,0.0,0.0,0.0,0.0,0.0,11.35,5.6,0.0,0.0,0.0,0.0,22.35,0.0,117.5,-25.3
2017-18,2017-12-22,MAG,PEL,MAG,4.356,0.4,1.8,0.222,0.4,1.2,0.333,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.0,0.8,0.22,2.4,0.222,0.222,0.333,0.0,0.0,15.8,7.367,7.233,0.0,0.0,0.0,22.6,20.0,117.667,-20.133
2017-18,2017-12-23,MAG,WIZ,WIZ,5.63,0.5,1.833,0.273,0.5,1.333,0.375,0.0,0.5,0.0,0.0,0.167,0.0,0.167,0.667,0.833,0.5,0.0,0.0,0.0,0.0,1.0,0.517,2.333,0.262,0.273,0.273,0.0,2.125,11.85,6.65,8.55,0.0,0.0,0.0,19.125,42.25,118.25,-15.45
2017-18,2018-03-22,MAG,76E,MAG,7.893,0.571,2.429,0.235,0.571,1.714,0.333,0.0,0.714,0.0,0.143,0.429,0.333,0.143,0.857,1.0,0.571,0.0,0.0,0.0,0.0,1.286,0.457,0.286,0.246,0.235,0.294,0.059,1.7,11.96,6.48,7.96,0.0,0.0,0.0,18.18,44.4,121.8,-14.94
2017-18,2018-03-24,MAG,SUN,MAG,8.406,0.625,2.375,0.263,0.625,1.75,0.357,0.0,0.625,0.0,0.125,0.375,0.333,0.125,1.125,1.25,1.0,0.0,0.0,0.0,0.125,1.375,0.938,1.5,0.271,0.263,0.263,0.053,1.417,14.517,7.483,14.717,0.0,0.0,0.0,16.35,60.833,121.167,-11.9
2017-18,2018-03-28,MAG,NET,MAG,7.978,0.556,2.222,0.25,0.556,1.556,0.357,0.0,0.667,0.0,0.111,0.333,0.333,0.222,1.111,1.333,0.889,0.0,0.0,0.0,0.222,1.222,0.822,0.556,0.258,0.25,0.3,0.05,4.557,15.457,9.586,12.614,0.0,0.0,0.0,15.329,60.857,118.571,-12.429
2017-18,2018-03-30,MAG,BUL,MAG,9.698,0.6,2.3,0.261,0.6,1.6,0.375,0.0,0.7,0.0,0.1,0.3,0.333,0.2,1.0,1.2,1.1,0.0,0.1,0.0,0.5,1.3,0.93,1.9,0.267,0.261,0.304,0.043,3.988,13.525,8.388,12.912,0.0,0.45,0.0,14.075,66.625,119.375,-11.625
2017-18,2018-04-01,MAG,HAW,HAW,10.345,0.727,2.455,0.296,0.545,1.545,0.353,0.182,0.909,0.2,0.273,0.455,0.6,0.182,1.273,1.455,1.0,0.0,0.091,0.091,0.455,1.909,1.409,0.818,0.36,0.333,0.37,0.111,3.544,14.367,8.633,11.478,0.0,0.4,1.889,14.178,73.778,116.889,-9.944
2017-18,2018-04-03,MAG,KNI,KNI,9.483,0.667,2.25,0.296,0.5,1.417,0.353,0.167,0.833,0.2,0.25,0.417,0.6,0.167,1.167,1.333,0.917,0.0,0.083,0.083,0.417,1.75,1.292,0.75,0.36,0.333,0.37,0.111,3.544,14.367,8.633,11.478,0.0,0.4,1.889,14.178,73.778,116.889,-9.944
2017-18,2018-04-04,MAG,MAV,MAG,11.217,1.077,2.846,0.378,0.692,1.615,0.429,0.385,1.231,0.312,0.308,0.538,0.571,0.154,1.538,1.692,1.0,0.077,0.077,0.077,0.462,2.846,2.331,2.308,0.462,0.446,0.432,0.108,3.19,14.77,8.72,11.4,0.16,0.36,1.7,14.29,80.7,113.2,-8.09
2017-18,2018-04-06,MAG,HOR,MAG,12.679,1.571,3.571,0.44,1.143,2.214,0.516,0.429,1.357,0.316,0.357,0.571,0.625,0.143,1.429,1.571,0.929,0.071,0.143,0.214,0.429,3.929,2.936,1.5,0.514,0.5,0.38,0.1,2.9,13.427,7.927,10.364,0.145,0.564,2.727,14.909,83.273,113.182,-7.673
2017-18,2018-04-08,MAG,RAP,RAP,14.049,1.8,4.133,0.435,1.267,2.533,0.5,0.533,1.6,0.333,0.333,0.533,0.625,0.267,1.6,1.867,0.933,0.067,0.2,0.333,0.467,4.467,3.22,-0.2,0.511,0.5,0.387,0.081,3.117,13.767,8.108,9.85,0.133,0.733,3.692,15.233,83.917,115.833,-7.717
2017-18,2018-04-09,MAG,BUC,BUC,14.847,1.875,4.312,0.435,1.375,2.625,0.524,0.5,1.688,0.296,0.375,0.625,0.6,0.25,1.688,1.938,1.0,0.125,0.188,0.438,0.438,4.625,3.281,-0.188,0.504,0.493,0.391,0.087,2.877,13.692,7.946,9.846,0.262,0.677,4.962,15.338,83.308,115.923,-7.715
2017-18,2018-04-11,MAG,WIZ,MAG,15.128,1.765,4.353,0.405,1.294,2.647,0.489,0.471,1.706,0.276,0.353,0.588,0.6,0.235,1.706,1.941,1.0,0.118,0.176,0.412,0.471,4.353,2.935,-0.059,0.472,0.459,0.392,0.081,2.671,13.414,7.729,9.657,0.243,0.629,4.607,15.036,78.071,115.214,-8.179
