SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,2003-10-29,WIZ,BUL,BUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-10-31,WIZ,RAP,RAP,15.64,3.0,5.5,0.545,2.5,3.5,0.714,0.5,2.0,0.25,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.5,0.5,1.5,6.5,4.6,2.5,0.591,0.591,0.364,0.0,3.8,5.5,4.7,5.4,1.6,2.2,8.3,16.8,112.0,86.0,1.2
2003-04,2003-11-01,WIZ,NNE,WIZ,23.103,3.667,8.0,0.458,3.333,6.333,0.526,0.333,1.667,0.2,0.0,0.0,0.0,1.0,2.0,3.0,0.667,1.0,1.0,0.333,1.333,7.667,6.133,-0.333,0.479,0.479,0.208,0.0,5.2,8.0,6.75,5.25,2.3,2.8,4.15,17.4,100.0,92.0,0.35
2003-04,2003-11-05,WIZ,MAV,WIZ,26.59,4.5,9.25,0.486,4.25,7.75,0.548,0.25,1.5,0.167,0.5,0.5,1.0,0.75,2.5,3.25,1.0,1.25,0.75,1.0,2.0,9.75,7.025,-6.25,0.515,0.5,0.162,0.054,3.467,9.467,6.533,7.1,2.533,1.867,8.7,18.3,102.0,98.0,-0.033
2003-04,2003-11-07,WIZ,RAP,WIZ,27.482,4.6,9.6,0.479,3.8,7.4,0.514,0.8,2.2,0.364,0.4,0.4,1.0,0.6,2.6,3.2,1.0,1.0,0.8,1.0,2.6,10.4,6.94,-3.0,0.532,0.521,0.229,0.042,2.6,9.25,6.125,6.6,1.9,1.925,8.6,18.05,103.25,99.25,-0.85
2003-04,2003-11-08,WIZ,CAV,CAV,29.673,4.667,10.167,0.459,3.833,8.0,0.479,0.833,2.167,0.385,0.667,0.667,1.0,0.667,2.667,3.333,1.0,0.833,0.667,0.833,2.667,10.833,6.95,2.0,0.518,0.5,0.213,0.066,2.6,9.12,5.98,6.22,1.52,1.54,6.88,17.56,105.0,95.0,-1.06
2003-04,2003-11-11,WIZ,76E,WIZ,31.067,5.429,11.571,0.469,4.571,9.286,0.492,0.857,2.286,0.375,0.714,0.857,0.833,1.0,3.0,4.0,1.286,0.714,0.571,1.429,2.429,12.429,7.657,1.143,0.52,0.506,0.198,0.062,3.567,10.45,7.033,7.4,1.267,1.283,8.95,19.45,103.0,99.333,-1.617
2003-04,2003-11-14,WIZ,HEA,HEA,32.359,5.875,12.375,0.475,5.125,10.125,0.506,0.75,2.25,0.333,0.875,1.125,0.778,1.375,3.0,4.375,1.25,0.875,0.625,1.875,2.375,13.375,8.188,1.125,0.52,0.505,0.182,0.071,4.443,10.071,7.286,6.886,1.429,1.329,10.614,20.014,101.857,102.143,-1.986
2003-04,2003-11-15,WIZ,SPU,WIZ,33.38,6.111,12.556,0.487,5.333,10.333,0.516,0.778,2.222,0.35,0.778,1.0,0.778,1.222,3.111,4.333,1.333,1.222,0.556,1.889,2.667,13.778,8.722,1.778,0.53,0.518,0.177,0.062,3.887,10.188,7.05,7.15,1.888,1.162,10.85,19.775,102.75,101.875,-1.362
2003-04,2003-11-17,WIZ,HAW,HAW,34.304,5.8,12.3,0.472,5.1,10.2,0.5,0.7,2.1,0.333,0.7,0.9,0.778,1.1,3.6,4.7,1.3,1.4,0.5,1.7,2.5,13.0,8.44,-0.1,0.512,0.5,0.171,0.057,3.456,11.6,7.333,6.856,2.078,1.033,9.644,18.767,98.778,101.667,-1.511
2003-04,2003-11-19,WIZ,CAV,WIZ,34.843,5.727,12.636,0.453,4.909,10.545,0.466,0.818,2.091,0.391,0.818,1.0,0.818,1.273,3.636,4.909,1.182,1.364,0.455,2.0,2.636,13.091,7.9,0.636,0.501,0.486,0.165,0.065,3.91,11.64,7.59,6.17,1.99,0.93,10.97,19.06,96.7,102.2,-2.45
2003-04,2003-11-21,WIZ,NUG,NUG,34.882,5.417,12.75,0.425,4.667,10.583,0.441,0.75,2.167,0.346,0.917,1.083,0.846,1.25,3.417,4.667,1.583,1.583,0.417,1.917,2.5,12.5,7.642,2.833,0.473,0.454,0.17,0.072,3.773,10.936,7.173,7.727,2.336,0.845,10.545,18.927,94.727,102.091,-2.545
