SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,PAC,SPU,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,PAC,MAV,MAV,5.225,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,4.7,0.0,106.0,-3.5
2000-01,2000-11-04,PAC,BUL,PAC,3.483,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,4.7,0.0,106.0,-3.5
2000-01,2000-11-08,PAC,BUC,PAC,2.612,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,4.7,0.0,106.0,-3.5
2000-01,2000-11-10,PAC,WIZ,WIZ,2.78,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,16.35,8.9,0.0,0.0,4.3,0.0,2.35,0.0,105.0,-2.65
2000-01,2000-11-11,PAC,PIS,PAC,3.413,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.333,0.5,0.0,0.0,0.167,0.0,0.333,0.0,-0.033,0.5,0.0,0.0,0.0,0.0,5.433,17.067,11.733,0.0,0.0,2.867,0.0,3.767,18.667,98.667,-6.4
2000-01,2000-11-15,PAC,PIS,PIS,3.707,0.0,0.429,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.571,0.714,0.143,0.0,0.143,0.0,0.286,0.0,0.057,0.714,0.0,0.0,0.0,0.0,4.075,20.2,12.725,5.725,0.0,2.15,0.0,4.675,27.25,96.0,-4.825
2000-01,2000-11-17,PAC,WAR,PAC,4.859,0.5,1.375,0.364,0.5,1.25,0.4,0.0,0.125,0.0,0.0,0.125,0.0,0.5,1.0,1.5,0.125,0.125,0.125,0.0,0.5,1.0,0.937,1.75,0.35,0.364,0.091,0.0,7.88,23.54,16.06,4.58,0.76,1.72,0.0,9.28,42.8,93.8,-3.16
2000-01,2000-11-18,PAC,NNE,NNE,7.619,1.111,2.333,0.476,1.111,2.222,0.5,0.0,0.111,0.0,0.0,0.333,0.0,1.0,1.333,2.333,0.222,0.333,0.333,0.111,0.778,2.222,2.3,2.667,0.448,0.476,0.048,0.0,9.35,22.1,16.017,4.867,1.25,2.167,1.4,10.683,54.667,95.0,-2.133
2000-01,2000-11-21,PAC,ROC,PAC,7.294,1.0,2.1,0.476,1.0,2.0,0.5,0.0,0.1,0.0,0.0,0.3,0.0,0.9,1.4,2.3,0.2,0.3,0.3,0.1,1.0,2.0,2.01,1.8,0.448,0.476,0.048,0.0,8.014,26.086,17.543,4.171,1.071,1.857,1.2,9.157,46.857,94.714,-3.729
2000-01,2000-11-23,PAC,RAP,PAC,7.715,0.909,2.0,0.455,0.909,1.909,0.476,0.0,0.091,0.0,0.091,0.455,0.2,0.818,1.273,2.091,0.273,0.273,0.273,0.091,1.0,1.909,1.845,1.182,0.434,0.455,0.045,0.045,7.012,22.825,15.35,5.038,0.938,1.625,1.05,9.012,51.875,99.125,-4.175
2000-01,2000-11-24,PAC,WIZ,PAC,7.669,0.833,1.833,0.455,0.833,1.75,0.476,0.0,0.083,0.0,0.083,0.417,0.2,0.75,1.333,2.083,0.25,0.25,0.333,0.083,0.917,1.75,1.8,1.417,0.434,0.455,0.045,0.045,6.233,23.922,15.522,4.478,0.833,2.633,0.933,8.011,46.111,100.444,-3.556
2000-01,2000-11-28,PAC,LAK,LAK,8.246,0.923,2.0,0.462,0.923,1.923,0.48,0.0,0.077,0.0,0.154,0.692,0.222,0.769,1.692,2.462,0.231,0.308,0.308,0.077,0.923,2.0,2.038,1.0,0.434,0.462,0.038,0.077,6.5,25.53,16.64,4.03,1.08,2.37,0.84,8.93,50.8,98.4,-3.21
2000-01,2000-11-30,PAC,WAR,WAR,8.384,1.071,2.143,0.5,1.071,2.071,0.517,0.0,0.071,0.0,0.143,0.643,0.222,0.929,1.714,2.643,0.214,0.286,0.286,0.071,0.857,2.286,2.4,1.429,0.471,0.5,0.033,0.067,8.755,24.891,17.355,3.664,0.982,2.155,0.764,9.582,61.182,100.545,-2.164
2000-01,2000-12-01,PAC,VGR,VGR,9.114,1.2,2.533,0.474,1.2,2.467,0.486,0.0,0.067,0.0,0.133,0.667,0.2,1.133,1.933,3.067,0.333,0.333,0.267,0.067,0.933,2.533,2.713,2.733,0.448,0.474,0.026,0.053,9.617,25.158,17.842,4.742,1.125,1.975,0.7,10.308,65.0,100.667,-1.933
2000-01,2000-12-03,PAC,BUC,BUC,9.084,1.125,2.438,0.462,1.125,2.375,0.474,0.0,0.062,0.0,0.125,0.625,0.2,1.125,1.875,3.0,0.312,0.312,0.25,0.188,0.875,2.375,2.438,2.375,0.438,0.462,0.026,0.051,10.038,24.046,17.431,4.377,1.038,1.823,5.777,10.846,61.385,100.0,-3.262
2000-01,2000-12-05,PAC,NNE,PAC,10.123,1.294,2.706,0.478,1.294,2.588,0.5,0.0,0.118,0.0,0.176,0.647,0.273,1.118,2.118,3.235,0.353,0.353,0.235,0.412,1.059,2.765,2.547,2.118,0.462,0.478,0.043,0.065,9.664,23.986,17.257,4.671,1.1,1.693,7.864,11.543,62.786,99.786,-3.179
2000-01,2000-12-06,PAC,CHO,CHO,10.537,1.222,2.667,0.458,1.222,2.556,0.478,0.0,0.111,0.0,0.167,0.611,0.273,1.222,2.167,3.389,0.389,0.389,0.222,0.444,1.278,2.611,2.422,1.889,0.445,0.458,0.042,0.062,10.547,23.253,17.213,4.913,1.227,1.58,9.56,11.313,62.8,97.467,-3.42
2000-01,2000-12-08,PAC,CEL,CEL,10.239,1.211,2.579,0.469,1.211,2.474,0.489,0.0,0.105,0.0,0.158,0.579,0.273,1.211,2.105,3.316,0.368,0.368,0.211,0.421,1.211,2.579,2.437,1.947,0.455,0.469,0.041,0.061,11.388,23.231,17.6,4.606,1.15,1.481,8.962,11.225,72.0,98.188,-2.531
