SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-30,PEL,PAC,PEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-11-01,PEL,MAG,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-14,2013-11-02,PEL,BOB,PEL,1.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.667,0.333,0.333,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,16.3,106.0,124.0,-7.2
2013-14,2013-11-05,PEL,SUN,PEL,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25,-1.25,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,8.15,53.0,114.5,-7.25
2013-14,2013-11-06,PEL,GRI,GRI,1.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.2,-1.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,8.15,53.0,114.5,-7.25
2013-14,2013-11-08,PEL,LAK,PEL,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.333,0.167,-0.833,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,8.15,53.0,114.5,-7.25
2013-14,2013-11-10,PEL,SUN,SUN,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.286,0.143,-0.714,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.733,5.433,35.333,111.333,-7.6
2013-14,2013-11-12,PEL,LAK,LAK,0.829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.125,-0.625,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.733,5.433,35.333,111.333,-7.6
2013-14,2013-11-13,PEL,JAZ,JAZ,2.77,0.222,0.222,1.0,0.222,0.222,1.0,0.0,0.0,0.0,0.778,0.889,0.875,0.444,0.111,0.556,0.0,0.111,0.111,0.222,0.333,1.222,1.289,-0.778,0.996,1.0,0.0,3.5,4.95,2.125,3.9,0.0,0.675,1.1,17.725,7.4,68.75,112.5,-4.575
2013-14,2013-11-16,PEL,76E,PEL,3.401,0.3,0.4,0.75,0.3,0.4,0.75,0.0,0.0,0.0,0.8,1.0,0.8,0.5,0.3,0.8,0.0,0.1,0.1,0.2,0.3,1.4,1.45,-0.2,0.833,0.75,0.0,2.0,6.54,7.42,7.18,0.0,0.54,0.88,14.18,8.78,79.8,114.0,-4.28
