SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2011-03-09,NHO,MAV,NHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2013-04-03,JAZ,NUG,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2013-04-05,JAZ,NHO,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2013-04-07,JAZ,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2013-04-09,JAZ,THU,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2015-04-02,SUN,WAR,WAR,0.067,0.024,0.048,0.024,0.024,0.024,0.048,0.0,0.024,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.048,0.005,0.0,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.452,4.524,5.381,-0.795
2014-15,2015-04-04,SUN,JAZ,SUN,0.394,0.03,0.121,0.023,0.03,0.091,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0,0.03,0.03,0.03,0.0,0.03,0.061,0.121,0.061,-0.07,0.0,0.023,0.023,0.023,0.0,0.0,0.55,0.273,0.714,0.0,0.405,2.273,2.273,4.909,9.727,-1.541
2014-15,2015-04-07,SUN,HAW,HAW,0.57,0.033,0.163,0.026,0.033,0.13,0.033,0.0,0.033,0.0,0.0,0.0,0.0,0,0.065,0.065,0.033,0.0,0.033,0.098,0.13,0.065,-0.121,-0.196,0.026,0.026,0.026,0.0,0.0,1.817,0.774,0.683,0.0,0.387,4.348,3.052,4.696,13.826,-2.557
2014-15,2015-04-08,SUN,MAV,MAV,0.583,0.033,0.167,0.033,0.033,0.133,0.042,0.0,0.033,0.0,0.0,0.0,0.0,0,0.067,0.067,0.033,0.0,0.033,0.1,0.133,0.067,-0.123,-0.2,0.033,0.033,0.033,0.0,0.0,2.322,0.989,0.872,0.0,0.494,5.555,3.9,6.0,17.667,-3.267
2014-15,2015-04-10,SUN,PEL,PEL,0.644,0.033,0.2,0.033,0.033,0.167,0.04,0.0,0.033,0.0,0.0,0.0,0.0,0,0.067,0.067,0.067,0.0,0.033,0.1,0.133,0.067,-0.123,-0.133,0.033,0.033,0.033,0.0,0.0,2.09,0.89,5.15,0.0,0.445,5.0,4.825,7.5,21.65,-3.43
2014-15,2015-04-12,SUN,SPU,SPU,0.716,0.033,0.231,0.033,0.033,0.198,0.039,0.0,0.033,0.0,0.0,0.0,0.0,0,0.066,0.066,0.066,0.0,0.033,0.099,0.132,0.066,-0.145,-0.033,0.033,0.033,0.033,0.0,0.0,1.929,0.822,4.754,0.0,0.411,4.615,5.331,6.923,25.708,-4.242
2014-15,2015-04-14,SUN,CLI,SUN,1.177,0.097,0.356,0.071,0.065,0.292,0.058,0.032,0.065,0.13,0.065,0.065,0.259,0,0.097,0.097,0.065,0.097,0.032,0.162,0.162,0.292,0.049,-0.097,0.098,0.082,0.047,0.047,0.0,2.169,0.942,4.451,0.462,0.384,5.578,5.933,10.63,28.562,-3.742
