SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-20,KNI,CEL,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-10-22,KNI,MAG,MAG,3.485,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.45,-3.5,0.568,0.0,0.0,0.0,0.0,13.2,7.5,0.0,0.0,0.0,0.0,5.5,124.0,113.0,-3.7
2021-22,2021-10-24,KNI,MAG,KNI,5.573,0.333,0.333,1.0,0.333,0.333,1.0,0,0.0,0.0,0.333,0.667,0.5,0.0,1.667,1.667,0.0,0.333,0.0,0.0,0.333,1.0,1.467,2.667,0.798,1.0,0.0,1.0,0.0,30.6,15.45,0.0,2.55,0.0,0.0,5.05,162.0,98.0,-0.25
2021-22,2021-10-26,KNI,76E,KNI,4.18,0.25,0.25,1.0,0.25,0.25,1.0,0,0.0,0.0,0.25,0.5,0.5,0.0,1.25,1.25,0.0,0.25,0.0,0.0,0.25,0.75,1.1,2.0,0.798,1.0,0.0,1.0,0.0,30.6,15.45,0.0,2.55,0.0,0.0,5.05,162.0,98.0,-0.25
2021-22,2021-10-28,KNI,BUL,BUL,3.344,0.2,0.2,1.0,0.2,0.2,1.0,0,0.0,0.0,0.2,0.4,0.5,0.0,1.0,1.0,0.0,0.2,0.0,0.0,0.2,0.6,0.88,1.6,0.798,1.0,0.0,1.0,0.0,30.6,15.45,0.0,2.55,0.0,0.0,5.05,162.0,98.0,-0.25
2021-22,2021-10-30,KNI,PEL,PEL,2.787,0.167,0.167,1.0,0.167,0.167,1.0,0,0.0,0.0,0.167,0.333,0.5,0.0,0.833,0.833,0.0,0.167,0.0,0.0,0.167,0.5,0.733,1.333,0.798,1.0,0.0,1.0,0.0,30.6,15.45,0.0,2.55,0.0,0.0,5.05,162.0,98.0,-0.25
2021-22,2021-11-01,KNI,RAP,KNI,2.389,0.143,0.143,1.0,0.143,0.143,1.0,0,0.0,0.0,0.143,0.286,0.5,0.0,0.714,0.714,0.0,0.143,0.0,0.0,0.143,0.429,0.629,1.143,0.798,1.0,0.0,1.0,0.0,30.6,15.45,0.0,2.55,0.0,0.0,5.05,162.0,98.0,-0.25
2021-22,2021-11-03,KNI,PAC,PAC,2.768,0.125,0.125,1.0,0.125,0.125,1.0,0,0.0,0.0,0.125,0.25,0.5,0.0,0.75,0.75,0.0,0.125,0.0,0.125,0.25,0.375,0.413,1.125,0.798,1.0,0.0,1.0,0.0,26.7,13.633,0.0,1.7,0.0,33.333,6.233,108.0,105.333,-5.7
2021-22,2021-11-05,KNI,BUC,BUC,2.46,0.111,0.111,1.0,0.111,0.111,1.0,0,0.0,0.0,0.111,0.222,0.5,0.0,0.667,0.667,0.0,0.111,0.0,0.111,0.222,0.333,0.367,1.0,0.798,1.0,0.0,1.0,0.0,26.7,13.633,0.0,1.7,0.0,33.333,6.233,108.0,105.333,-5.7
2021-22,2021-11-07,KNI,CAV,KNI,2.451,0.1,0.1,1.0,0.1,0.1,1.0,0,0.0,0.0,0.1,0.2,0.5,0.0,0.6,0.6,0.0,0.1,0.0,0.1,0.2,0.3,0.33,0.3,0.798,1.0,0.0,1.0,0.0,20.025,10.225,0.0,1.275,0.0,25.0,4.675,81.0,107.25,-5.725
