SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-11-11,LAK,MAG,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-15,LAK,ROC,ROC,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.5,0.8,-2.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,18.1,122.0,57.0,34.8
2001-02,2001-11-16,LAK,SUN,SUN,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.333,0,0.0,0.0,0.333,0.533,-1.333,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,18.1,122.0,57.0,34.8
2001-02,2001-11-18,LAK,KIN,LAK,0.77,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.25,0.25,0,0.0,0.0,0.75,0.825,0.0,0.521,0.5,0.0,0.5,0.0,0.0,0.0,-133.35,12.45,0.0,0.0,56.0,119.0,87.5,34.7
2001-02,2001-11-20,LAK,CLI,CLI,2.11,0.2,1.0,0.2,0.2,0.6,0.333,0.0,0.4,0.0,0.2,0.4,0.5,0.0,0.0,0.0,0.2,0.2,0,0.0,0.4,0.6,0.08,-1.8,0.255,0.2,0.4,0.2,0.0,0.0,0.0,-88.9,8.3,0.0,0.0,43.433,79.333,92.0,14.8
2001-02,2001-11-21,LAK,NUG,NUG,2.363,0.167,0.833,0.2,0.167,0.5,0.333,0.0,0.333,0.0,0.167,0.333,0.5,0.0,0.0,0.0,0.333,0.167,0,0.0,0.333,0.5,0.183,-1.5,0.255,0.2,0.4,0.2,0.0,0.0,0.0,-58.35,6.225,0.0,0.0,32.575,113.75,96.25,11.45
2001-02,2001-11-23,LAK,WAR,LAK,3.014,0.286,1.143,0.25,0.286,0.714,0.4,0.0,0.429,0.0,0.143,0.286,0.5,0.0,0.0,0.0,0.286,0.143,0,0.0,0.286,0.714,0.2,-2.286,0.282,0.25,0.375,0.125,0.0,0.0,0.0,-46.68,4.98,0.0,0.0,30.22,107.6,96.0,6.64
2001-02,2002-01-08,SUN,JAZ,JAZ,3.356,0.375,1.5,0.25,0.375,1.0,0.375,0.0,0.5,0.0,0.5,0.625,0.8,0.0,0.125,0.125,0.25,0.125,0,0.125,0.25,1.25,0.412,-2.5,0.352,0.25,0.333,0.333,0.0,2.517,1.533,-38.9,4.15,0.0,2.633,33.217,105.167,96.833,2.367
2001-02,2002-01-10,SUN,GRI,SUN,3.952,0.556,1.778,0.313,0.444,1.0,0.444,0.111,0.778,0.143,0.444,0.556,0.8,0.0,0.111,0.111,0.333,0.111,0,0.111,0.222,1.667,0.778,-2.222,0.412,0.344,0.438,0.25,0.0,2.157,1.314,-29.771,3.557,0.0,2.257,31.229,110.286,100.143,3.129
2001-02,2002-01-12,SUN,HEA,SUN,4.709,0.7,2.1,0.333,0.4,1.1,0.364,0.3,1.0,0.3,0.6,0.7,0.857,0.1,0.2,0.3,0.5,0.1,0,0.1,0.3,2.3,1.43,-1.5,0.478,0.405,0.476,0.286,1.012,3.537,2.4,-22.45,3.112,0.0,1.975,30.15,117.0,102.25,4.75
