SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,BUC,MAV,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-02,BUC,ROC,ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-04,BUC,PIS,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-07,BUC,KNI,BUC,0.912,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,-4.3
2000-01,2000-11-08,BUC,PAC,PAC,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,-4.3
2000-01,2000-11-11,BUC,TIM,BUC,2.863,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.167,0.333,0.5,0.0,0.0,0.333,0.167,0.667,0.0,0.017,-3.0,0.0,0.0,0.0,0.0,3.5,8.35,5.7,0.0,0.0,5.45,50.0,1.6,21.0,110.0,-6.9
2000-01,2000-11-15,BUC,HAW,BUC,4.707,0.143,0.286,0.5,0.143,0.286,0.5,0,0.0,0.0,0.0,0.286,0.0,0.429,0.714,1.143,0.0,0.0,0.571,0.143,0.714,0.286,0.514,-3.571,0.347,0.5,0.0,0.0,7.6,12.7,10.067,0.0,0.0,6.567,33.333,3.9,46.667,112.0,-4.933
2000-01,2000-11-17,BUC,CAV,BUC,5.022,0.125,0.25,0.5,0.125,0.25,0.5,0,0.0,0.0,0.0,0.5,0.0,0.375,0.625,1.0,0.0,0.0,0.5,0.125,1.0,0.25,0.2,-2.375,0.266,0.5,0.0,0.0,5.7,9.525,7.55,0.0,0.0,4.925,25.0,4.575,35.0,108.5,-8.75
2000-01,2000-11-18,BUC,RAP,RAP,5.167,0.222,0.444,0.5,0.222,0.444,0.5,0,0.0,0.0,0.0,0.444,0.0,0.444,0.889,1.333,0.0,0.0,0.556,0.111,1.222,0.444,0.411,-1.778,0.347,0.5,0.0,0.0,7.96,19.62,13.4,0.0,0.0,6.4,20.0,6.8,51.0,100.2,-7.2
2000-01,2000-11-22,BUC,BLA,BUC,6.027,0.3,0.5,0.6,0.3,0.5,0.6,0,0.0,0.0,0.0,0.4,0.0,0.4,0.9,1.3,0.0,0.0,0.8,0.2,1.5,0.6,0.52,-1.7,0.444,0.6,0.0,0.0,6.633,17.85,11.833,0.0,0.0,8.183,25.0,6.717,56.333,103.333,-6.283
2000-01,2000-11-24,BUC,CHO,BUC,5.479,0.273,0.455,0.6,0.273,0.455,0.6,0,0.0,0.0,0.0,0.364,0.0,0.364,0.818,1.182,0.0,0.0,0.727,0.182,1.364,0.545,0.473,-1.545,0.444,0.6,0.0,0.0,6.633,17.85,11.833,0.0,0.0,8.183,25.0,6.717,56.333,103.333,-6.283
2000-01,2000-11-25,BUC,WIZ,WIZ,6.074,0.333,0.583,0.571,0.333,0.583,0.571,0,0.0,0.0,0.0,0.333,0.0,0.667,0.75,1.417,0.0,0.0,0.667,0.333,1.417,0.667,0.517,-1.583,0.457,0.571,0.0,0.0,9.671,15.3,12.629,0.0,0.0,7.014,28.571,7.714,59.429,108.0,-7.757
2000-01,2000-11-27,BUC,MAG,MAG,5.607,0.308,0.538,0.571,0.308,0.538,0.571,0,0.0,0.0,0.0,0.308,0.0,0.615,0.692,1.308,0.0,0.0,0.615,0.308,1.308,0.615,0.477,-1.462,0.457,0.571,0.0,0.0,9.671,15.3,12.629,0.0,0.0,7.014,28.571,7.714,59.429,108.0,-7.757
2000-01,2000-11-28,BUC,HEA,HEA,5.206,0.286,0.5,0.571,0.286,0.5,0.571,0,0.0,0.0,0.0,0.286,0.0,0.571,0.643,1.214,0.0,0.0,0.571,0.286,1.214,0.571,0.443,-1.357,0.457,0.571,0.0,0.0,9.671,15.3,12.629,0.0,0.0,7.014,28.571,7.714,59.429,108.0,-7.757
2000-01,2000-11-30,BUC,CEL,BUC,4.859,0.267,0.467,0.571,0.267,0.467,0.571,0,0.0,0.0,0.0,0.267,0.0,0.533,0.6,1.133,0.0,0.0,0.533,0.267,1.133,0.533,0.413,-1.267,0.457,0.571,0.0,0.0,9.671,15.3,12.629,0.0,0.0,7.014,28.571,7.714,59.429,108.0,-7.757
2000-01,2000-12-02,BUC,HAW,HAW,4.661,0.25,0.438,0.571,0.25,0.438,0.571,0,0.0,0.0,0.0,0.25,0.0,0.5,0.562,1.062,0.0,0.0,0.5,0.25,1.062,0.5,0.388,-1.375,0.457,0.571,0.0,0.0,8.462,13.388,11.05,0.0,0.0,6.138,25.0,6.75,52.0,109.125,-7.438
2000-01,2000-12-03,BUC,PAC,BUC,4.386,0.235,0.412,0.571,0.235,0.412,0.571,0,0.0,0.0,0.0,0.235,0.0,0.471,0.529,1.0,0.0,0.0,0.471,0.235,1.0,0.471,0.365,-1.294,0.457,0.571,0.0,0.0,8.462,13.388,11.05,0.0,0.0,6.138,25.0,6.75,52.0,109.125,-7.438
2000-01,2000-12-06,BUC,NNE,NNE,4.143,0.222,0.389,0.571,0.222,0.389,0.571,0,0.0,0.0,0.0,0.222,0.0,0.444,0.5,0.944,0.0,0.0,0.444,0.222,0.944,0.444,0.344,-1.222,0.457,0.571,0.0,0.0,8.462,13.388,11.05,0.0,0.0,6.138,25.0,6.75,52.0,109.125,-7.438
2000-01,2000-12-07,BUC,SUN,BUC,4.155,0.211,0.368,0.571,0.211,0.368,0.571,0,0.0,0.0,0.0,0.211,0.0,0.474,0.474,0.947,0.0,0.0,0.421,0.263,0.895,0.421,0.311,-1.053,0.457,0.571,0.0,0.0,11.444,11.9,11.556,0.0,0.0,5.456,33.333,7.244,51.444,109.0,-8.1
2000-01,2000-12-09,BUC,WIZ,BUC,3.947,0.2,0.35,0.571,0.2,0.35,0.571,0,0.0,0.0,0.0,0.2,0.0,0.45,0.45,0.9,0.0,0.0,0.4,0.25,0.85,0.4,0.295,-1.0,0.457,0.571,0.0,0.0,11.444,11.9,11.556,0.0,0.0,5.456,33.333,7.244,51.444,109.0,-8.1
2000-01,2000-12-12,BUC,LAK,LAK,3.759,0.19,0.333,0.571,0.19,0.333,0.571,0,0.0,0.0,0.0,0.19,0.0,0.429,0.429,0.857,0.0,0.0,0.381,0.238,0.81,0.381,0.281,-0.952,0.457,0.571,0.0,0.0,11.444,11.9,11.556,0.0,0.0,5.456,33.333,7.244,51.444,109.0,-8.1
2000-01,2000-12-13,BUC,JAZ,JAZ,4.319,0.182,0.455,0.4,0.182,0.455,0.4,0,0.0,0.0,0.0,0.182,0.0,0.5,0.5,1.0,0.0,0.0,0.455,0.227,1.0,0.364,0.236,-0.636,0.34,0.4,0.0,0.0,11.76,11.84,11.68,0.0,0.0,5.78,30.0,7.39,51.7,109.0,-8.57
2000-01,2000-12-15,BUC,RAP,BUC,4.702,0.174,0.478,0.364,0.174,0.478,0.364,0,0.0,0.0,0.0,0.174,0.0,0.478,0.522,1.0,0.0,0.043,0.478,0.261,1.087,0.348,0.187,-0.826,0.313,0.364,0.0,0.0,10.691,11.6,11.073,0.0,0.382,5.836,31.818,7.364,47.0,109.0,-8.391
2000-01,2000-12-17,BUC,KNI,KNI,5.045,0.167,0.458,0.364,0.167,0.458,0.364,0,0.0,0.0,0.0,0.167,0.0,0.5,0.583,1.083,0.0,0.042,0.5,0.25,1.125,0.333,0.229,-0.833,0.313,0.364,0.0,0.0,10.5,12.342,11.3,0.0,0.35,5.8,29.167,6.75,61.167,108.75,-7.792
2000-01,2000-12-21,BUC,NNE,BUC,4.844,0.16,0.44,0.364,0.16,0.44,0.364,0,0.0,0.0,0.0,0.16,0.0,0.48,0.56,1.04,0.0,0.04,0.48,0.24,1.08,0.32,0.22,-0.8,0.313,0.364,0.0,0.0,10.5,12.342,11.3,0.0,0.35,5.8,29.167,6.75,61.167,108.75,-7.792
2000-01,2000-12-23,BUC,CEL,BUC,4.657,0.154,0.423,0.364,0.154,0.423,0.364,0,0.0,0.0,0.0,0.154,0.0,0.462,0.538,1.0,0.0,0.038,0.462,0.231,1.038,0.308,0.212,-0.769,0.313,0.364,0.0,0.0,10.5,12.342,11.3,0.0,0.35,5.8,29.167,6.75,61.167,108.75,-7.792
2000-01,2000-12-26,BUC,MAG,BUC,4.485,0.148,0.407,0.364,0.148,0.407,0.364,0,0.0,0.0,0.0,0.148,0.0,0.444,0.519,0.963,0.0,0.037,0.444,0.222,1.0,0.296,0.204,-0.741,0.313,0.364,0.0,0.0,10.5,12.342,11.3,0.0,0.35,5.8,29.167,6.75,61.167,108.75,-7.792
2000-01,2000-12-28,BUC,CAV,CAV,4.325,0.143,0.393,0.364,0.143,0.393,0.364,0,0.0,0.0,0.0,0.143,0.0,0.429,0.5,0.929,0.0,0.036,0.429,0.214,0.964,0.286,0.196,-0.714,0.313,0.364,0.0,0.0,10.5,12.342,11.3,0.0,0.35,5.8,29.167,6.75,61.167,108.75,-7.792
2000-01,2000-12-30,BUC,NUG,NUG,4.281,0.172,0.448,0.385,0.172,0.448,0.385,0,0.0,0.0,0.0,0.138,0.0,0.517,0.483,1.0,0.0,0.034,0.414,0.207,0.966,0.345,0.283,-0.724,0.339,0.385,0.0,0.0,17.385,11.392,14.823,0.0,0.323,5.354,26.923,8.477,67.769,108.538,-7.377
2000-01,2001-01-02,BUC,BUL,BUL,4.138,0.167,0.433,0.385,0.167,0.433,0.385,0,0.0,0.0,0.0,0.133,0.0,0.5,0.467,0.967,0.0,0.033,0.4,0.2,0.933,0.333,0.273,-0.7,0.339,0.385,0.0,0.0,17.385,11.392,14.823,0.0,0.323,5.354,26.923,8.477,67.769,108.538,-7.377
2000-01,2001-01-03,BUC,CAV,BUC,4.195,0.161,0.484,0.333,0.161,0.484,0.333,0,0.0,0.0,0.0,0.129,0.0,0.484,0.484,0.968,0.0,0.032,0.419,0.194,0.935,0.323,0.239,-0.839,0.298,0.333,0.0,0.0,16.143,11.721,14.35,0.0,0.3,5.836,25.0,8.936,62.929,106.214,-8.064
2000-01,2001-01-05,BUC,BLA,BLA,4.064,0.156,0.469,0.333,0.156,0.469,0.333,0,0.0,0.0,0.0,0.125,0.0,0.469,0.469,0.938,0.0,0.031,0.406,0.188,0.906,0.312,0.231,-0.812,0.298,0.333,0.0,0.0,16.143,11.721,14.35,0.0,0.3,5.836,25.0,8.936,62.929,106.214,-8.064
