SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,2012-11-07,BUC,GRI,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012-11-09,BUC,WIZ,WIZ,8.5,0.5,2.5,0.2,0.5,2.5,0.2,0.0,0.0,0.0,0.5,2.0,0.25,1.5,0.0,1.5,0.5,0.5,1.0,0.5,1.5,1.5,0.85,3.5,0.222,0.2,0.0,0.2,15.7,0.0,9.4,8.8,3.1,8.4,12.9,19.9,65.0,115.0,-10.8
2012-13,2012-11-10,BUC,CEL,BUC,5.667,0.333,1.667,0.2,0.333,1.667,0.2,0.0,0.0,0.0,0.333,1.333,0.25,1.0,0.0,1.0,0.333,0.333,0.667,0.333,1.0,1.0,0.567,2.333,0.222,0.2,0.0,0.2,15.7,0.0,9.4,8.8,3.1,8.4,12.9,19.9,65.0,115.0,-10.8
2012-13,2012-11-12,BUC,76E,76E,4.25,0.25,1.25,0.2,0.25,1.25,0.2,0.0,0.0,0.0,0.25,1.0,0.25,0.75,0.0,0.75,0.25,0.25,0.5,0.25,0.75,0.75,0.425,1.75,0.222,0.2,0.0,0.2,15.7,0.0,9.4,8.8,3.1,8.4,12.9,19.9,65.0,115.0,-10.8
2012-13,2012-11-14,BUC,PAC,BUC,3.4,0.2,1.0,0.2,0.2,1.0,0.2,0.0,0.0,0.0,0.2,0.8,0.25,0.6,0.0,0.6,0.2,0.2,0.4,0.2,0.6,0.6,0.34,1.4,0.222,0.2,0.0,0.2,15.7,0.0,9.4,8.8,3.1,8.4,12.9,19.9,65.0,115.0,-10.8
2012-13,2012-11-17,BUC,NHO,BUC,4.083,1.0,2.167,0.462,1.0,2.167,0.462,0.0,0.0,0.0,0.167,0.667,0.25,0.667,0.0,0.667,0.167,0.167,0.667,0.167,0.667,2.167,1.633,-0.5,0.44,0.462,0.0,0.077,14.1,0.0,7.95,4.4,1.55,14.85,6.45,33.65,95.0,104.5,5.55
2012-13,2012-11-19,BUC,BOB,BOB,4.476,1.0,2.143,0.467,1.0,2.143,0.467,0.0,0.0,0.0,0.143,0.571,0.25,0.571,0.143,0.714,0.143,0.286,0.571,0.143,0.714,2.143,1.671,0.857,0.447,0.467,0.0,0.067,9.4,7.1,8.333,2.933,3.5,9.9,4.3,26.533,99.667,105.333,2.867
2012-13,2012-11-21,BUC,HEA,HEA,5.735,1.25,2.75,0.455,1.25,2.625,0.476,0.0,0.125,0.0,0.125,0.5,0.25,0.75,0.25,1.0,0.125,0.25,0.625,0.25,1.0,2.625,1.775,1.25,0.442,0.455,0.045,0.045,10.975,7.325,9.225,2.2,2.625,8.575,6.35,25.8,96.0,105.75,-0.575
2012-13,2012-11-24,BUC,BUL,BUC,8.103,1.889,3.778,0.5,1.889,3.667,0.515,0.0,0.111,0.0,0.444,0.889,0.5,1.556,1.333,2.889,0.111,0.222,0.556,0.444,1.333,4.222,3.356,-0.444,0.506,0.5,0.029,0.118,14.18,14.98,14.36,1.76,2.1,6.86,7.62,25.56,101.6,105.6,0.36
2012-13,2012-11-26,BUC,BUL,BUL,7.423,1.7,3.4,0.5,1.7,3.3,0.515,0.0,0.1,0.0,0.4,0.8,0.5,1.4,1.2,2.6,0.1,0.2,0.5,0.4,1.3,3.8,2.98,-0.6,0.506,0.5,0.029,0.118,11.817,12.483,11.967,1.467,1.75,5.717,6.35,21.3,84.667,108.0,-4.133
