SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,PEL,GRI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-28,PEL,KNI,PEL,4.61,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.5,1.3,7.0,0.75,0.75,1.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,9.0,178.0,111.0,4.8
2023-24,2023-10-30,PEL,WAR,PEL,8.997,1.333,3.0,0.444,0.0,0.333,0.0,1.333,2.667,0.5,0.0,0.0,0.0,0.0,1.333,1.333,1.0,0.0,0.0,0.333,0.667,4.0,2.933,5.0,0.667,0.667,0.889,0.0,0.0,9.8,5.3,19.2,0.0,0.0,6.25,14.6,142.0,100.5,5.55
2023-24,2023-11-01,PEL,THU,THU,15.503,2.5,5.5,0.455,1.0,1.75,0.571,1.5,3.75,0.4,0.0,0.5,0.0,0.5,1.75,2.25,1.25,0.5,0.0,0.5,0.75,6.5,4.9,0.25,0.568,0.591,0.682,0.0,1.6,9.5,5.767,15.867,0.933,0.0,6.4,15.633,128.667,110.667,3.2
2023-24,2023-11-02,PEL,PIS,PEL,19.862,2.8,8.2,0.341,1.2,2.6,0.462,1.6,5.6,0.286,0.0,0.4,0.0,1.2,1.8,3.0,1.8,0.8,0.0,0.6,1.0,7.2,4.86,3.6,0.43,0.439,0.683,0.0,3.175,8.65,6.125,15.6,1.325,0.0,6.05,16.875,116.25,109.25,1.025
2023-24,2023-11-04,PEL,HAW,PEL,21.457,2.5,8.0,0.312,1.0,2.5,0.4,1.5,5.5,0.273,0.5,0.833,0.6,1.0,1.667,2.667,1.5,0.667,0.0,0.667,0.833,7.0,4.183,1.667,0.418,0.406,0.688,0.062,2.54,7.6,5.28,12.48,1.06,0.0,6.98,16.34,107.0,112.8,-2.08
2023-24,2023-11-06,PEL,NUG,NUG,21.841,2.857,8.429,0.339,1.0,2.571,0.389,1.857,5.857,0.317,0.571,0.857,0.667,0.857,2.143,3.0,1.286,0.714,0.0,0.714,1.143,8.143,4.957,1.0,0.462,0.449,0.695,0.068,2.117,10.017,6.3,10.4,1.25,0.0,7.15,17.65,108.167,115.667,-1.917
2023-24,2023-11-08,PEL,TIM,TIM,23.858,3.75,9.75,0.385,1.25,2.875,0.435,2.5,6.875,0.364,1.0,1.375,0.727,0.875,2.625,3.5,1.5,0.75,0.0,0.75,1.25,11.0,7.475,-1.0,0.531,0.513,0.705,0.103,2.243,11.229,6.929,10.586,1.257,0.0,6.771,18.786,113.0,118.143,-0.457
2023-24,2023-11-10,PEL,ROC,ROC,24.571,3.778,9.889,0.382,1.333,3.222,0.414,2.444,6.667,0.367,1.333,1.667,0.8,0.778,2.444,3.222,1.444,0.667,0.0,0.889,1.667,11.333,7.189,-3.0,0.533,0.506,0.674,0.135,1.962,10.362,6.288,9.925,1.1,0.0,7.625,18.875,111.125,119.0,-1.238
2023-24,2023-11-12,PEL,MAV,PEL,26.239,3.8,10.0,0.38,1.3,3.2,0.406,2.5,6.8,0.368,1.5,1.9,0.789,0.7,2.9,3.6,1.4,0.8,0.0,1.1,2.1,11.6,7.16,-2.6,0.535,0.505,0.68,0.15,1.744,11.022,6.589,9.267,1.244,0.0,8.889,18.667,109.111,117.444,-1.333
2023-24,2023-11-14,PEL,MAV,PEL,26.36,3.727,10.273,0.363,1.273,3.273,0.389,2.455,7.0,0.351,1.545,1.909,0.81,0.636,2.818,3.455,1.455,0.727,0.0,1.182,2.0,11.455,6.664,-4.909,0.515,0.482,0.681,0.15,1.57,10.63,6.29,9.17,1.12,0.0,9.26,19.11,105.9,118.8,-2.64
2023-24,2023-11-17,PEL,NUG,PEL,26.894,4.083,10.833,0.377,1.417,3.417,0.415,2.667,7.417,0.36,1.75,2.083,0.84,0.75,2.917,3.667,1.583,0.667,0.0,1.083,2.083,12.583,7.758,-3.417,0.535,0.5,0.685,0.162,2.073,10.818,6.636,9.409,1.018,0.0,8.418,19.5,109.818,118.727,-2.182
2023-24,2023-11-18,PEL,TIM,PEL,26.822,4.0,10.538,0.38,1.462,3.462,0.422,2.538,7.077,0.359,1.615,1.923,0.84,0.692,3.077,3.769,1.769,0.615,0.0,1.0,1.923,12.154,7.746,-3.385,0.534,0.5,0.672,0.153,1.9,11.592,6.942,10.15,0.933,0.0,7.717,18.892,110.25,118.25,-2.117
2023-24,2023-11-20,PEL,KIN,PEL,27.516,4.143,10.643,0.389,1.571,3.5,0.449,2.571,7.143,0.36,1.5,1.786,0.84,0.714,2.929,3.643,1.929,0.643,0.0,1.0,2.071,12.357,7.993,-3.643,0.541,0.51,0.671,0.141,2.0,11.015,6.685,10.485,0.962,0.0,7.715,18.6,111.923,118.923,-1.969
