SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,BUC,CEL,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-25,BUC,WAR,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,2020-12-27,BUC,KNI,KNI,3.257,0.667,2.0,0.333,0.333,1.0,0.333,0.333,1.0,0.333,0.667,0.667,1.0,0.0,0.333,0.333,0.0,0.0,0.0,0.333,0.667,2.333,0.7,2.0,0.509,0.417,0.5,0.333,0.0,8.3,4.8,0.0,0.0,0.0,12.7,32.7,94.0,99.0,-13.2
2020-21,2020-12-29,BUC,HEA,HEA,4.305,1.5,3.0,0.5,1.0,1.75,0.571,0.5,1.25,0.4,0.5,0.5,1.0,0.0,0.75,0.75,0.0,0.0,0.0,0.75,0.5,4.0,1.775,3.0,0.621,0.583,0.417,0.167,0.0,22.55,9.55,0.0,0.0,0.0,18.85,38.05,93.5,115.0,-4.65
2020-21,2020-12-30,BUC,HEA,HEA,5.804,1.6,3.8,0.421,0.8,2.2,0.364,0.8,1.6,0.5,0.8,0.8,1.0,0.0,1.0,1.0,0.0,0.2,0.0,0.6,0.8,4.8,2.36,3.4,0.578,0.526,0.421,0.211,0.0,22.167,9.967,0.0,1.3,0.0,12.567,34.6,99.667,107.0,-5.333
2020-21,2021-01-01,BUC,BUL,BUC,4.837,1.333,3.167,0.421,0.667,1.833,0.364,0.667,1.333,0.5,0.667,0.667,1.0,0.0,0.833,0.833,0.0,0.167,0.0,0.5,0.667,4.0,1.967,2.833,0.578,0.526,0.421,0.211,0.0,22.167,9.967,0.0,1.3,0.0,12.567,34.6,99.667,107.0,-5.333
2020-21,2021-01-04,BUC,PIS,BUC,5.567,1.429,3.286,0.435,0.857,2.0,0.429,0.571,1.286,0.444,1.0,1.143,0.875,0.0,1.143,1.143,0.0,0.429,0.0,0.571,0.714,4.429,2.557,2.714,0.584,0.522,0.391,0.304,0.0,24.675,11.675,0.0,3.2,0.0,13.125,33.025,100.25,99.25,-3.425
2020-21,2021-01-06,BUC,PIS,BUC,5.84,1.375,3.125,0.44,0.875,1.875,0.467,0.5,1.25,0.4,0.875,1.0,0.875,0.0,1.25,1.25,0.0,0.375,0.0,0.75,0.75,4.125,2.137,1.25,0.579,0.52,0.4,0.28,0.0,24.9,12.44,0.0,2.56,0.0,20.5,30.88,89.0,102.4,-6.64
2020-21,2021-01-08,BUC,JAZ,BUC,6.827,1.667,3.333,0.5,0.889,1.889,0.471,0.778,1.444,0.538,0.778,0.889,0.875,0.111,1.444,1.556,0.0,0.444,0.111,0.667,0.889,4.889,3.189,0.556,0.656,0.617,0.433,0.233,1.333,23.833,12.683,0.0,2.667,0.967,17.083,28.133,107.333,102.833,-2.45
2020-21,2021-01-09,BUC,CAV,BUC,6.869,1.6,3.1,0.516,0.9,1.8,0.5,0.7,1.3,0.538,0.9,1.0,0.9,0.1,1.4,1.5,0.0,0.4,0.1,0.8,0.9,4.8,3.03,0.4,0.678,0.629,0.419,0.29,1.143,22.486,11.871,0.0,2.286,0.829,22.0,27.186,105.714,106.714,-3.214
