SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-20,LAK,SUN,SUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-22,LAK,PEL,LAK,1.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,-5.5
2017-18,2017-10-25,LAK,WIZ,LAK,5.653,0.667,1.0,0.667,0.333,0.333,1.0,0.333,0.667,0.5,0.0,0.0,0.0,0.667,0.667,1.333,0.333,0.0,0.0,0.0,0.333,1.667,2.0,5.667,0.833,0.833,0.667,0.0,7.3,9.35,8.2,4.4,0.0,0.0,0.0,4.25,88.5,119.0,-0.2
2017-18,2017-10-27,LAK,RAP,LAK,8.123,0.75,1.5,0.5,0.5,0.5,1.0,0.25,1.0,0.25,0.0,0.0,0.0,0.5,1.75,2.25,0.25,0.25,0.0,0.0,0.5,1.75,2.1,1.25,0.583,0.583,0.667,0.0,4.867,16.767,11.267,2.933,1.033,0.0,0.0,5.667,81.0,108.0,-0.7
2017-18,2017-10-28,LAK,JAZ,JAZ,10.518,1.4,2.0,0.7,1.2,1.2,1.0,0.2,0.8,0.25,0.2,0.4,0.5,0.4,2.2,2.6,0.2,0.6,0.2,0.0,1.0,3.2,3.7,2.6,0.735,0.75,0.4,0.1,3.65,17.45,11.125,2.2,1.95,0.925,0.0,6.875,106.25,103.75,2.35
2017-18,2017-10-31,LAK,PIS,LAK,11.49,1.5,2.333,0.643,1.333,1.5,0.889,0.167,0.833,0.2,0.5,0.667,0.75,0.333,2.167,2.5,0.167,0.667,0.167,0.0,0.833,3.667,4.017,3.333,0.698,0.679,0.357,0.214,2.92,16.98,10.24,1.76,2.22,0.74,0.0,8.2,111.8,104.2,2.62
2017-18,2017-11-02,LAK,BLA,BLA,12.277,1.429,2.429,0.588,1.143,1.571,0.727,0.286,0.857,0.333,0.429,0.571,0.75,0.286,2.143,2.429,0.286,0.571,0.143,0.143,0.857,3.571,3.614,4.0,0.666,0.647,0.353,0.176,2.433,15.967,9.5,2.583,1.85,0.617,4.167,8.533,107.0,104.0,0.933
2017-18,2017-11-03,LAK,NET,LAK,12.442,1.25,2.625,0.476,1.0,1.625,0.615,0.25,1.0,0.25,0.625,0.75,0.833,0.25,2.0,2.25,0.25,0.75,0.25,0.125,0.75,3.375,3.438,2.625,0.571,0.524,0.381,0.238,2.086,14.943,8.829,2.214,2.614,1.314,3.571,9.729,97.857,103.857,0.371
2017-18,2017-11-05,LAK,GRI,LAK,12.369,1.111,2.444,0.455,0.889,1.444,0.615,0.222,1.0,0.222,0.556,0.667,0.833,0.222,1.889,2.111,0.222,0.778,0.333,0.333,0.889,3.0,2.889,2.111,0.548,0.5,0.409,0.227,1.825,13.95,8.238,1.938,2.738,2.112,11.462,9.762,85.625,102.5,-1.0
2017-18,2017-11-08,LAK,CEL,CEL,12.342,1.0,2.4,0.417,0.8,1.5,0.533,0.2,0.9,0.222,0.5,0.6,0.833,0.2,1.7,1.9,0.2,0.7,0.3,0.3,1.0,2.7,2.38,1.3,0.507,0.458,0.375,0.208,1.622,12.4,7.322,1.722,2.433,1.878,10.189,9.467,76.111,103.222,-2.644
2017-18,2017-11-09,LAK,WIZ,WIZ,12.3,0.909,2.273,0.4,0.727,1.364,0.533,0.182,0.909,0.2,0.455,0.545,0.833,0.182,1.545,1.727,0.182,0.636,0.273,0.455,1.0,2.455,1.882,0.455,0.488,0.44,0.4,0.2,1.46,11.16,6.59,1.55,2.19,1.69,15.84,9.57,68.5,104.5,-4.19
2017-18,2017-11-11,LAK,BUC,BUC,12.479,0.833,2.417,0.345,0.667,1.417,0.471,0.167,1.0,0.167,0.417,0.5,0.833,0.167,1.583,1.75,0.25,0.583,0.25,0.417,1.083,2.25,1.533,-0.083,0.427,0.379,0.414,0.172,1.327,11.827,6.655,2.382,1.991,1.536,14.4,9.682,63.455,105.273,-5.109
2017-18,2017-11-13,LAK,SUN,SUN,11.519,0.769,2.231,0.345,0.615,1.308,0.471,0.154,0.923,0.167,0.385,0.462,0.833,0.154,1.462,1.615,0.231,0.538,0.231,0.385,1.0,2.077,1.415,-0.077,0.427,0.379,0.414,0.172,1.327,11.827,6.655,2.382,1.991,1.536,14.4,9.682,63.455,105.273,-5.109
