SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,2003-10-28,MAV,LAK,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2003-10-29,MAV,WAR,WAR,2.665,1.0,2.5,0.4,1.0,2.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0,0.0,2.0,1.45,0.0,0.4,0.4,0.0,0.0,0.0,68.6,31.3,75.0,0.0,0.0,0.0,44.0,90.0,107.0,7.2
2003-04,2003-11-05,MAV,WIZ,WIZ,5.733,1.667,4.0,0.417,1.667,3.667,0.455,0.0,0.333,0.0,0.0,0.0,0.0,0.333,1.0,1.333,0.667,0.0,0.0,0.0,0.333,3.333,2.067,-1.0,0.417,0.417,0.083,0.0,4.25,34.3,17.65,46.6,0.0,0.0,0.0,35.35,94.5,105.0,2.7
2003-04,2003-11-06,MAV,RAP,RAP,7.307,1.25,4.5,0.278,1.25,4.0,0.312,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.25,1.5,0.75,0.25,0.25,0.5,0.25,2.5,0.75,1.75,0.278,0.278,0.111,0.0,2.833,29.533,14.6,35.233,1.433,2.267,8.333,33.0,65.0,102.333,-4.8
2003-04,2003-11-08,MAV,SPU,SPU,6.982,1.0,3.8,0.263,1.0,3.4,0.294,0.0,0.4,0.0,0.0,0.0,0.0,0.2,1.0,1.2,0.6,0.2,0.4,0.4,0.2,2.0,0.6,1.2,0.263,0.263,0.105,0.0,2.125,22.15,10.95,26.425,1.075,4.825,6.25,26.65,48.75,100.5,-4.95
2003-04,2003-11-11,MAV,NHO,MAV,5.818,0.833,3.167,0.263,0.833,2.833,0.294,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.833,1.0,0.5,0.167,0.333,0.333,0.167,1.667,0.5,1.0,0.263,0.263,0.105,0.0,2.125,22.15,10.95,26.425,1.075,4.825,6.25,26.65,48.75,100.5,-4.95
2003-04,2003-11-13,MAV,ROC,MAV,6.044,1.143,3.143,0.364,1.0,2.714,0.368,0.143,0.429,0.333,0.0,0.0,0.0,0.286,1.0,1.286,0.571,0.143,0.286,0.286,0.571,2.429,1.414,0.714,0.386,0.386,0.136,0.0,5.5,24.76,14.24,25.24,0.86,3.86,5.0,24.98,84.6,101.2,0.2
2003-04,2003-11-15,MAV,GRI,GRI,7.376,1.375,4.0,0.344,1.125,3.25,0.346,0.25,0.75,0.333,0.0,0.0,0.0,0.375,1.375,1.75,0.5,0.5,0.375,0.25,0.875,3.0,1.938,1.0,0.375,0.375,0.188,0.0,5.7,24.917,14.6,21.033,2.35,4.017,4.167,25.55,84.167,97.0,0.733
2003-04,2003-11-17,MAV,BLA,MAV,8.066,1.556,4.333,0.359,1.333,3.556,0.375,0.222,0.778,0.286,0.222,0.556,0.4,0.444,1.667,2.111,0.667,0.444,0.333,0.222,1.0,3.556,2.344,1.0,0.388,0.385,0.179,0.051,5.8,25.686,15.0,21.943,2.014,3.443,3.571,25.857,87.429,98.429,1.129
2003-04,2003-11-20,MAV,SPU,MAV,7.692,1.4,4.0,0.35,1.2,3.3,0.364,0.2,0.7,0.286,0.2,0.5,0.4,0.5,1.6,2.1,0.6,0.4,0.3,0.3,1.0,3.2,2.0,0.5,0.379,0.375,0.175,0.05,8.2,25.475,16.188,19.2,1.763,3.012,9.375,25.462,80.375,99.75,-2.75
2003-04,2003-11-22,MAV,NUG,MAV,6.993,1.273,3.636,0.35,1.091,3.0,0.364,0.182,0.636,0.286,0.182,0.455,0.4,0.455,1.455,1.909,0.545,0.364,0.273,0.273,0.909,2.909,1.818,0.455,0.379,0.375,0.175,0.05,8.2,25.475,16.188,19.2,1.763,3.012,9.375,25.462,80.375,99.75,-2.75
