SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-10-30,WIZ,RAP,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03,2002-10-31,WIZ,CEL,WIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-03,2002-11-02,WIZ,NNE,WIZ,2.167,1.0,1.667,0.6,1.0,1.333,0.75,0.0,0.333,0.0,0.0,0.0,0.0,0.0,1.333,1.333,0.333,0.0,0.0,0.0,0.0,2.0,1.867,5.667,0.6,0.6,0.2,0.0,0.0,61.5,35.6,42.1,0.0,0.0,0.0,36.9,132.0,65.0,11.9
2002-03,2002-11-05,WIZ,TIM,TIM,1.625,0.75,1.25,0.6,0.75,1.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.5,1.4,4.25,0.6,0.6,0.2,0.0,0.0,61.5,35.6,42.1,0.0,0.0,0.0,36.9,132.0,65.0,11.9
2002-03,2002-11-06,WIZ,CAV,WIZ,1.3,0.6,1.0,0.6,0.6,0.8,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.0,1.2,1.12,3.4,0.6,0.6,0.2,0.0,0.0,61.5,35.6,42.1,0.0,0.0,0.0,36.9,132.0,65.0,11.9
2002-03,2002-11-08,WIZ,LAK,WIZ,1.692,0.833,1.333,0.625,0.833,1.167,0.714,0.0,0.167,0.0,0.333,0.333,1.0,0.0,0.667,0.667,0.167,0.0,0.0,0.333,0.0,2.0,1.383,1.333,0.676,0.625,0.125,0.25,0.0,30.75,17.8,21.05,0.0,0.0,17.0,51.15,113.0,88.0,0.9
2002-03,2002-11-09,WIZ,CAV,CAV,1.45,0.714,1.143,0.625,0.714,1.0,0.714,0.0,0.143,0.0,0.286,0.286,1.0,0.0,0.571,0.571,0.143,0.0,0.0,0.286,0.0,1.714,1.186,1.143,0.676,0.625,0.125,0.25,0.0,30.75,17.8,21.05,0.0,0.0,17.0,51.15,113.0,88.0,0.9
2002-03,2002-11-12,WIZ,SUP,WIZ,2.425,1.0,1.375,0.727,1.0,1.25,0.8,0.0,0.125,0.0,0.25,0.25,1.0,0.0,0.625,0.625,0.125,0.125,0.0,0.25,0.125,2.25,1.787,1.125,0.758,0.727,0.091,0.182,0.0,24.133,13.833,14.033,1.933,0.0,11.333,39.233,142.0,86.0,5.3
2002-03,2002-11-14,WIZ,JAZ,WIZ,2.156,0.889,1.222,0.727,0.889,1.111,0.8,0.0,0.111,0.0,0.222,0.222,1.0,0.0,0.556,0.556,0.111,0.111,0.0,0.222,0.111,2.0,1.589,1.0,0.758,0.727,0.091,0.182,0.0,24.133,13.833,14.033,1.933,0.0,11.333,39.233,142.0,86.0,5.3
2002-03,2002-11-16,WIZ,HEA,WIZ,1.94,0.8,1.1,0.727,0.8,1.0,0.8,0.0,0.1,0.0,0.2,0.2,1.0,0.0,0.5,0.5,0.1,0.1,0.0,0.2,0.1,1.8,1.43,0.9,0.758,0.727,0.091,0.182,0.0,24.133,13.833,14.033,1.933,0.0,11.333,39.233,142.0,86.0,5.3
