SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2014-10-28,LAK,ROC,LAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,2015-10-28,LAK,TIM,LAK,7.178,0.595,1.738,0.335,0.595,1.738,0.335,0.0,0.0,0.0,0.119,1.095,0.04,0.048,0.214,0.262,0.048,0.0,0.0,0.5,0.548,1.31,-0.648,-8.524,0.269,0.335,0.0,0.018,0.338,1.629,0.962,0.562,0.0,0.0,19.81,16.4,43.238,128.19,-14.457
2015-16,2015-10-30,LAK,KIN,KIN,7.571,0.636,1.879,0.335,0.636,1.879,0.335,0.0,0.0,0.0,0.182,1.212,0.055,0.061,0.333,0.394,0.091,0.0,0.0,0.636,0.697,1.455,-0.727,-8.939,0.273,0.335,0.0,0.032,0.323,2.155,1.209,0.891,0.0,0.0,21.023,16.864,42.727,128.045,-15.095
2015-16,2015-11-01,LAK,MAV,LAK,8.506,0.924,2.413,0.347,0.924,2.413,0.347,0.0,0.0,0.0,0.326,1.457,0.073,0.065,0.848,0.913,0.228,0.13,0.033,0.696,0.761,2.174,0.015,-8.576,0.287,0.347,0.0,0.038,0.309,4.278,2.178,2.222,0.257,0.109,20.496,17.409,45.304,126.435,-13.983
2015-16,2015-11-03,LAK,NUG,LAK,9.395,1.15,2.85,0.354,1.15,2.85,0.354,0.0,0.0,0.0,0.4,1.533,0.095,0.067,1.033,1.1,0.3,0.167,0.067,0.75,0.817,2.7,0.415,-8.5,0.296,0.354,0.0,0.042,0.296,4.875,2.433,2.613,0.308,0.2,20.121,17.633,47.458,126.167,-13.525
2015-16,2015-11-06,LAK,NET,NET,10.235,1.3,3.1,0.361,1.3,3.1,0.361,0.0,0.0,0.0,0.533,1.7,0.119,0.067,1.267,1.333,0.4,0.2,0.1,0.833,0.867,3.133,0.813,-8.4,0.308,0.361,0.0,0.056,0.284,5.54,2.824,3.216,0.356,0.272,20.136,17.724,49.64,124.92,-12.932
2015-16,2015-11-08,LAK,KNI,KNI,10.961,1.374,3.429,0.357,1.374,3.396,0.358,0.0,0.033,0.0,0.528,1.659,0.137,0.231,1.451,1.681,0.495,0.198,0.099,0.813,0.978,3.275,0.977,-8.505,0.307,0.357,0.003,0.054,0.842,6.169,3.408,3.685,0.342,0.261,19.362,17.696,50.962,124.231,-12.735
2015-16,2015-11-10,LAK,HEA,HEA,11.498,1.407,3.542,0.357,1.407,3.477,0.36,0.0,0.065,0.0,0.616,1.778,0.154,0.227,1.653,1.88,0.616,0.194,0.097,0.856,1.051,3.431,1.121,-8.838,0.312,0.357,0.007,0.066,0.811,7.0,3.867,4.467,0.33,0.252,19.37,17.756,52.296,123.704,-12.444
2015-16,2015-11-11,LAK,MAG,MAG,12.062,1.563,3.77,0.366,1.563,3.675,0.37,0.0,0.095,0.0,0.603,1.825,0.155,0.222,1.873,2.095,0.73,0.191,0.127,0.833,1.087,3.73,1.467,-8.683,0.319,0.366,0.01,0.064,0.782,7.593,4.239,5.179,0.318,0.329,18.679,17.825,54.5,123.107,-11.903
2015-16,2015-11-13,LAK,MAV,MAV,12.679,1.586,3.952,0.362,1.586,3.859,0.366,0.0,0.093,0.0,0.652,1.838,0.176,0.217,2.141,2.359,0.776,0.217,0.155,0.934,1.214,3.824,1.461,-8.566,0.32,0.362,0.01,0.069,0.755,8.441,4.61,5.421,0.362,0.417,19.028,17.862,54.414,121.862,-11.81
2015-16,2015-11-15,LAK,PIS,LAK,13.263,1.636,4.091,0.363,1.636,4.0,0.367,0.0,0.091,0.0,0.697,1.879,0.192,0.303,2.242,2.545,0.818,0.242,0.182,0.97,1.242,3.97,1.648,-8.394,0.324,0.363,0.01,0.075,1.113,8.673,4.91,5.637,0.403,0.48,18.983,17.813,55.567,120.7,-11.467
