SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,76E,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,76E,RAP,76E,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-03,76E,MAG,MAG,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,-0.133,-0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-04,76E,HEA,HEA,1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.1,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-08,76E,PIS,76E,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.08,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-09,76E,TIM,TIM,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,-0.067,-0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-11,76E,CEL,76E,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,-0.057,-0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-15,76E,CAV,76E,0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,-0.05,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,-6.2
2000-01,2000-11-17,76E,HEA,76E,0.837,0.111,0.222,0.5,0.111,0.222,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.222,0.144,-0.556,0.5,0.5,0.0,0.0,34.3,0.0,17.4,0.0,0.0,0.0,0.0,22.3,62.0,107.0,-0.25
2000-01,2000-11-20,76E,CEL,CEL,1.45,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.1,0.1,0.2,0.2,-0.1,0.5,0.5,0.0,0.0,29.8,5.7,17.867,0.0,0.0,3.567,33.333,17.267,60.0,100.0,-0.233
2000-01,2000-11-22,76E,CHO,CHO,1.602,0.091,0.273,0.333,0.091,0.273,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.091,0.273,0.0,0.0,0.091,0.182,0.182,0.182,-0.009,0.0,0.333,0.333,0.0,0.0,22.35,4.275,13.4,0.0,0.0,2.675,37.5,20.05,45.0,100.5,-10.075
2000-01,2000-11-24,76E,HAW,HAW,2.158,0.25,0.417,0.6,0.25,0.417,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.083,0.25,0.0,0.0,0.083,0.167,0.167,0.5,0.275,0.417,0.6,0.6,0.0,0.0,17.88,3.42,10.72,0.0,0.0,2.14,30.0,18.4,76.0,102.6,-6.3
2000-01,2000-11-25,76E,SPU,SPU,1.992,0.231,0.385,0.6,0.231,0.385,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.077,0.231,0.0,0.0,0.077,0.154,0.154,0.462,0.254,0.385,0.6,0.6,0.0,0.0,17.88,3.42,10.72,0.0,0.0,2.14,30.0,18.4,76.0,102.6,-6.3
2000-01,2000-11-29,76E,WIZ,76E,3.08,0.429,0.786,0.545,0.357,0.714,0.5,0.071,0.071,1.0,0.0,0.0,0.0,0.214,0.143,0.357,0.0,0.0,0.071,0.143,0.286,0.929,0.536,0.643,0.591,0.591,0.091,0.0,15.9,3.95,9.983,0.0,0.0,1.783,25.0,17.867,84.667,103.667,-4.533
