SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2022-23,2023-04-04,BLA,GRI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-23,2023-04-06,BLA,SPU,SPU,8.59,1.5,3.0,0.5,0.5,0.5,1.0,1.0,2.5,0.4,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.5,1.5,4.0,3.1,2.0,0.667,0.667,0.833,0.0,10.3,12.7,11.4,16.6,0.0,0.0,14.3,17.4,129.0,128.0,0.9
2022-23,2023-04-08,BLA,CLI,CLI,14.97,2.0,4.667,0.429,1.0,2.0,0.5,1.0,2.667,0.375,0.0,0.0,0.0,1.0,1.333,2.333,1.0,0.333,1.0,0.667,1.667,5.0,4.033,4.333,0.536,0.536,0.571,0.0,7.5,10.1,8.85,10.2,0.8,3.65,12.7,15.25,109.0,124.5,-2.7
2022-23,2023-04-09,BLA,WAR,BLA,16.265,1.5,3.75,0.4,0.75,1.5,0.5,0.75,2.25,0.333,0.0,0.0,0.0,0.75,2.0,2.75,0.75,0.5,1.0,0.75,2.0,3.75,3.025,2.75,0.5,0.5,0.6,0.0,5.0,14.667,9.633,6.8,1.3,3.8,25.133,11.633,72.667,125.667,-5.2
2023-24,2023-10-30,BLA,RAP,RAP,16.922,1.333,4.381,0.29,0.762,2.095,0.347,0.571,2.286,0.238,0.0,0.19,0.0,0.571,2.286,2.857,0.762,0.381,0.952,0.762,1.714,3.238,1.848,-3.81,0.346,0.352,0.497,0.0,3.571,16.31,9.071,6.19,0.929,3.738,20.476,12.095,58.333,124.048,-8.071
2023-24,2023-11-03,BLA,GRI,BLA,16.153,1.273,4.182,0.276,0.727,2.0,0.331,0.545,2.182,0.227,0.0,0.182,0.0,0.545,2.182,2.727,0.727,0.364,0.909,0.727,1.636,3.091,1.764,-3.636,0.33,0.336,0.475,0.0,3.409,15.568,8.659,5.909,0.886,3.568,19.545,11.545,55.682,118.409,-7.705
2023-24,2023-11-05,BLA,GRI,BLA,15.45,1.217,4.0,0.264,0.696,1.913,0.317,0.522,2.087,0.217,0.0,0.174,0.0,0.522,2.087,2.609,0.696,0.348,0.87,0.696,1.565,2.957,1.687,-3.478,0.316,0.322,0.454,0.0,3.261,14.891,8.283,5.652,0.848,3.413,18.696,11.043,53.261,113.261,-7.37
2023-24,2023-11-08,BLA,KIN,KIN,15.059,1.167,3.833,0.253,0.667,1.833,0.303,0.5,2.0,0.208,0.0,0.167,0.0,0.533,2.033,2.567,0.667,0.333,0.833,0.7,1.533,2.833,1.603,-3.467,0.302,0.308,0.435,0.0,5.892,16.921,10.654,5.417,0.812,3.271,34.583,11.567,61.042,127.875,-8.846
2023-24,2023-11-12,BLA,LAK,LAK,14.467,1.12,3.68,0.243,0.64,1.76,0.291,0.48,1.92,0.2,0.0,0.16,0.0,0.513,1.953,2.467,0.64,0.32,0.8,0.673,1.473,2.72,1.539,-3.333,0.29,0.296,0.418,0.0,6.32,16.88,10.88,5.2,0.78,3.14,37.2,11.34,61.0,127.4,-8.92
2023-24,2023-11-14,BLA,JAZ,JAZ,14.002,1.077,3.538,0.234,0.615,1.692,0.28,0.462,1.846,0.192,0.0,0.154,0.0,0.528,1.879,2.407,0.615,0.308,0.769,0.648,1.418,2.615,1.502,-3.242,0.279,0.285,0.402,0.0,9.208,15.008,11.481,5.0,0.75,3.019,28.077,10.45,79.885,128.577,-7.927
