SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-19,NET,BUC,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-11-16,NET,WAR,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2021-11-17,NET,CAV,NET,3.023,1.0,2.0,0.5,0.333,0.667,0.5,0.667,1.333,0.5,0.0,0.0,0.0,0.333,0.667,1.0,0.0,0.0,0.0,0.333,0.0,2.667,1.767,3.0,0.667,0.667,0.667,0.0,10.0,27.9,17.5,0.0,0.0,0.0,14.3,33.4,102.0,120.0,7.2
2021-22,2021-11-19,NET,MAG,NET,2.268,0.75,1.5,0.5,0.25,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.0,0.0,0.25,0.0,2.0,1.325,2.25,0.667,0.667,0.667,0.0,10.0,27.9,17.5,0.0,0.0,0.0,14.3,33.4,102.0,120.0,7.2
2021-22,2021-11-22,NET,CAV,CAV,1.814,0.6,1.2,0.5,0.2,0.4,0.5,0.4,0.8,0.5,0.0,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.0,1.6,1.06,1.8,0.667,0.667,0.667,0.0,10.0,27.9,17.5,0.0,0.0,0.0,14.3,33.4,102.0,120.0,7.2
2021-22,2021-11-24,NET,CEL,CEL,1.512,0.5,1.0,0.5,0.167,0.333,0.5,0.333,0.667,0.5,0.0,0.0,0.0,0.167,0.333,0.5,0.0,0.0,0.0,0.167,0.0,1.333,0.883,1.5,0.667,0.667,0.667,0.0,10.0,27.9,17.5,0.0,0.0,0.0,14.3,33.4,102.0,120.0,7.2
2021-22,2021-11-27,NET,SUN,NET,1.674,0.429,0.857,0.5,0.143,0.286,0.5,0.286,0.571,0.5,0.0,0.0,0.0,0.143,0.286,0.429,0.0,0.0,0.0,0.143,0.0,1.143,0.757,1.0,0.667,0.667,0.667,0.0,5.0,13.95,8.75,0.0,0.0,0.0,7.15,16.7,51.0,120.0,0.85
2021-22,2021-11-30,NET,KNI,NET,1.465,0.375,0.75,0.5,0.125,0.25,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.125,0.25,0.375,0.0,0.0,0.0,0.125,0.0,1.0,0.662,0.875,0.667,0.667,0.667,0.0,5.0,13.95,8.75,0.0,0.0,0.0,7.15,16.7,51.0,120.0,0.85
2021-22,2021-12-14,NET,RAP,NET,1.302,0.333,0.667,0.5,0.111,0.222,0.5,0.222,0.444,0.5,0.0,0.0,0.0,0.111,0.222,0.333,0.0,0.0,0.0,0.111,0.0,0.889,0.589,0.778,0.667,0.667,0.667,0.0,5.0,13.95,8.75,0.0,0.0,0.0,7.15,16.7,51.0,120.0,0.85
2021-22,2021-12-16,NET,76E,NET,5.54,1.0,1.8,0.556,0.5,0.8,0.625,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.8,1.3,0.2,0.2,0.0,0.3,0.2,2.5,2.19,1.7,0.694,0.694,0.556,0.0,6.767,13.8,9.833,1.933,0.767,0.0,9.533,15.533,79.667,119.667,1.4
2021-22,2021-12-18,NET,MAG,NET,8.021,1.273,2.455,0.519,0.727,1.273,0.571,0.545,1.182,0.462,0.0,0.0,0.0,0.636,1.182,1.818,0.364,0.273,0.0,0.364,0.364,3.091,2.7,1.636,0.63,0.63,0.481,0.0,6.775,14.6,10.35,3.375,0.95,0.0,9.65,14.975,87.0,116.25,0.825
2021-22,2022-01-01,NET,CLI,NET,10.6,1.5,3.333,0.45,0.917,1.917,0.478,0.583,1.417,0.412,0.0,0.0,0.0,0.75,1.333,2.083,0.5,0.25,0.25,0.5,0.5,3.583,2.85,-0.083,0.538,0.538,0.425,0.0,6.34,13.26,9.5,4.14,0.76,1.18,10.38,15.04,84.6,113.8,-1.1
2021-22,2022-01-03,NET,GRI,NET,9.785,1.385,3.077,0.45,0.846,1.769,0.478,0.538,1.308,0.412,0.0,0.0,0.0,0.692,1.231,1.923,0.462,0.231,0.231,0.462,0.462,3.308,2.631,-0.077,0.538,0.538,0.425,0.0,6.34,13.26,9.5,4.14,0.76,1.18,10.38,15.04,84.6,113.8,-1.1
2021-22,2022-01-07,NET,BUC,NET,9.086,1.286,2.857,0.45,0.786,1.643,0.478,0.5,1.214,0.412,0.0,0.0,0.0,0.643,1.143,1.786,0.429,0.214,0.214,0.429,0.429,3.071,2.443,-0.071,0.538,0.538,0.425,0.0,6.34,13.26,9.5,4.14,0.76,1.18,10.38,15.04,84.6,113.8,-1.1
2021-22,2022-01-09,NET,SPU,NET,8.945,1.2,2.8,0.429,0.733,1.533,0.478,0.467,1.267,0.368,0.0,0.0,0.0,0.667,1.267,1.933,0.6,0.2,0.267,0.4,0.4,2.867,2.48,0.467,0.512,0.512,0.452,0.0,7.783,18.233,12.8,11.65,0.633,3.233,8.65,14.6,85.667,113.5,0.733
2021-22,2022-01-10,NET,BLA,BLA,9.151,1.25,2.812,0.444,0.688,1.5,0.458,0.562,1.312,0.429,0.0,0.0,0.0,0.625,1.375,2.0,0.562,0.25,0.312,0.5,0.438,3.062,2.631,0.062,0.544,0.544,0.467,0.0,6.671,19.057,12.843,9.986,1.086,3.6,13.129,14.914,87.0,110.714,1.829
2021-22,2022-01-12,NET,BUL,BUL,9.509,1.294,3.059,0.423,0.706,1.647,0.429,0.588,1.412,0.417,0.0,0.0,0.0,0.647,1.529,2.176,0.529,0.294,0.294,0.529,0.529,3.176,2.594,0.235,0.519,0.519,0.462,0.0,6.663,20.512,13.45,8.738,1.35,3.15,13.05,15.85,85.125,110.75,0.238
2021-22,2022-01-13,NET,THU,NET,10.566,1.444,3.333,0.433,0.833,1.778,0.469,0.611,1.556,0.393,0.0,0.0,0.0,0.667,1.444,2.111,0.556,0.444,0.333,0.556,0.722,3.5,2.867,0.667,0.525,0.525,0.467,0.0,6.511,18.233,12.2,8.211,1.767,3.167,12.833,15.644,87.667,110.556,-0.022
2021-22,2022-01-15,NET,PEL,NET,11.316,1.579,3.684,0.429,1.0,2.053,0.487,0.579,1.632,0.355,0.053,0.053,1.0,0.737,1.368,2.105,0.526,0.421,0.368,0.526,0.789,3.789,2.974,0.105,0.511,0.507,0.443,0.014,6.63,16.41,11.42,7.39,1.59,3.27,11.55,15.77,90.3,113.9,-1.12
2021-22,2022-01-17,NET,CAV,CAV,12.602,1.8,4.0,0.45,1.05,2.2,0.477,0.75,1.8,0.417,0.05,0.05,1.0,0.75,1.55,2.3,0.6,0.4,0.4,0.55,0.9,4.4,3.5,0.9,0.547,0.544,0.45,0.012,6.4,16.173,11.273,7.336,1.445,3.182,11.327,15.564,95.455,113.909,-0.655
2021-22,2022-01-19,NET,WIZ,WIZ,13.805,1.905,4.19,0.455,1.048,2.19,0.478,0.857,2.0,0.429,0.048,0.048,1.0,0.714,1.619,2.333,0.571,0.381,0.429,0.571,1.0,4.714,3.638,0.571,0.56,0.557,0.477,0.011,5.867,15.733,10.758,6.725,1.325,3.133,11.308,15.175,96.75,114.917,-0.917
2021-22,2022-01-21,NET,SPU,SPU,14.786,1.909,4.182,0.457,1.045,2.182,0.479,0.864,2.0,0.432,0.045,0.045,1.0,0.727,1.682,2.409,0.545,0.5,0.409,0.591,1.182,4.727,3.682,0.182,0.563,0.56,0.478,0.011,5.723,15.269,10.477,6.208,1.546,2.892,11.977,14.485,97.462,115.0,-0.985
2021-22,2022-01-23,NET,TIM,TIM,15.548,1.913,4.304,0.444,1.043,2.261,0.462,0.87,2.043,0.426,0.043,0.043,1.0,0.783,1.739,2.522,0.522,0.609,0.435,0.652,1.174,4.739,3.717,1.043,0.548,0.545,0.475,0.01,5.786,14.736,10.25,5.764,1.771,2.85,12.707,14.3,95.571,114.0,-1.114
2021-22,2022-01-25,NET,LAK,NET,16.111,2.083,4.542,0.459,1.125,2.292,0.491,0.958,2.25,0.426,0.042,0.042,1.0,0.75,1.875,2.625,0.5,0.583,0.417,0.625,1.333,5.167,3.975,0.583,0.567,0.564,0.495,0.009,5.4,15.067,10.213,5.38,1.653,2.66,11.86,14.273,99.733,115.467,-1.027
2021-22,2022-01-26,NET,NUG,NET,16.776,2.08,4.6,0.452,1.16,2.32,0.5,0.92,2.28,0.404,0.08,0.12,0.667,0.72,2.04,2.76,0.52,0.6,0.44,0.64,1.36,5.16,3.96,0.64,0.555,0.552,0.496,0.017,5.062,15.469,10.206,5.312,1.65,2.675,11.913,14.006,98.438,115.062,-1.256
2021-22,2022-01-29,NET,WAR,WAR,17.539,2.115,4.692,0.451,1.231,2.423,0.508,0.885,2.269,0.39,0.192,0.231,0.833,0.769,2.115,2.885,0.538,0.577,0.5,0.692,1.462,5.308,4.054,0.692,0.554,0.545,0.484,0.041,5.129,15.259,10.141,5.2,1.553,2.806,12.353,13.894,98.588,115.588,-1.553
2021-22,2022-02-01,NET,SUN,SUN,18.058,2.074,4.667,0.444,1.185,2.407,0.492,0.889,2.259,0.393,0.222,0.296,0.75,0.815,2.185,3.0,0.556,0.556,0.556,0.778,1.481,5.259,3.981,0.63,0.548,0.54,0.484,0.048,5.139,15.089,10.05,5.139,1.467,2.967,13.783,13.689,96.889,115.778,-1.933
2021-22,2022-02-02,NET,KIN,KIN,18.437,2.179,4.857,0.449,1.214,2.429,0.5,0.964,2.429,0.397,0.214,0.286,0.75,0.786,2.286,3.071,0.536,0.571,0.536,0.786,1.536,5.536,4.136,-0.036,0.555,0.548,0.5,0.044,4.868,15.589,10.153,4.868,1.484,2.811,13.537,13.926,97.474,116.316,-1.905
2021-22,2022-02-04,NET,JAZ,JAZ,18.441,2.207,4.931,0.448,1.241,2.483,0.5,0.966,2.448,0.394,0.207,0.276,0.75,0.793,2.31,3.103,0.517,0.552,0.517,0.828,1.552,5.586,4.066,-0.448,0.553,0.545,0.497,0.042,4.925,15.67,10.235,4.625,1.41,2.67,13.97,14.36,96.6,116.8,-2.465
2021-22,2022-02-06,NET,NUG,NUG,18.433,2.133,4.867,0.438,1.2,2.467,0.486,0.933,2.4,0.389,0.2,0.267,0.75,0.767,2.3,3.067,0.5,0.6,0.5,0.833,1.533,5.4,3.9,-1.0,0.542,0.534,0.493,0.041,4.69,15.643,10.019,4.405,1.605,2.543,14.495,14.124,92.0,117.095,-3.052
2021-22,2022-02-08,NET,CEL,NET,18.498,2.097,4.839,0.433,1.194,2.484,0.481,0.903,2.355,0.384,0.194,0.258,0.75,0.806,2.355,3.161,0.516,0.613,0.484,0.806,1.484,5.29,3.9,-1.548,0.534,0.527,0.487,0.04,4.886,16.027,10.268,4.523,1.641,2.427,13.836,13.882,91.955,117.455,-3.236
2021-22,2022-02-10,NET,WIZ,WIZ,18.379,2.031,4.781,0.425,1.156,2.438,0.474,0.875,2.344,0.373,0.188,0.25,0.75,0.844,2.312,3.156,0.5,0.594,0.469,0.812,1.438,5.125,3.734,-2.312,0.524,0.516,0.49,0.039,5.183,15.726,10.287,4.326,1.57,2.322,14.322,13.761,89.087,118.174,-3.865
2021-22,2022-02-12,NET,HEA,HEA,18.456,1.97,4.697,0.419,1.121,2.364,0.474,0.848,2.333,0.364,0.182,0.242,0.75,0.818,2.364,3.182,0.485,0.576,0.485,0.818,1.455,4.97,3.582,-2.333,0.517,0.51,0.497,0.039,4.967,16.025,10.321,4.146,1.504,2.4,15.112,13.458,85.375,118.333,-4.225
2021-22,2022-02-14,NET,KIN,NET,18.781,2.059,4.941,0.417,1.206,2.471,0.488,0.853,2.471,0.345,0.235,0.294,0.8,0.794,2.441,3.235,0.471,0.647,0.5,0.794,1.559,5.206,3.744,-2.294,0.513,0.503,0.5,0.048,4.768,16.16,10.26,3.98,1.64,2.428,14.508,13.736,85.84,117.92,-4.1
2021-22,2022-02-16,NET,KNI,KNI,18.965,2.029,4.943,0.41,1.171,2.457,0.477,0.857,2.486,0.345,0.229,0.286,0.8,0.771,2.514,3.286,0.457,0.629,0.486,0.829,1.543,5.143,3.609,-1.771,0.507,0.497,0.503,0.046,4.585,16.215,10.262,3.827,1.577,2.335,15.05,13.688,84.154,116.769,-4.319
2021-22,2022-02-17,NET,WIZ,NET,18.653,1.972,4.861,0.406,1.139,2.417,0.471,0.833,2.444,0.341,0.222,0.278,0.8,0.75,2.444,3.194,0.444,0.611,0.472,0.806,1.528,5.0,3.458,-2.028,0.502,0.491,0.503,0.046,4.415,15.615,9.881,3.685,1.519,2.248,14.493,13.574,81.037,116.963,-4.885
2021-22,2022-02-24,NET,CEL,NET,18.647,1.919,4.865,0.394,1.108,2.405,0.461,0.811,2.459,0.33,0.216,0.27,0.8,0.784,2.432,3.216,0.486,0.595,0.459,0.784,1.514,4.865,3.351,-1.946,0.488,0.478,0.506,0.044,4.671,15.589,9.993,4.071,1.464,2.168,13.975,13.496,80.0,117.357,-5.182
2021-22,2022-02-26,NET,BUC,BUC,18.649,1.974,4.842,0.408,1.105,2.368,0.467,0.868,2.474,0.351,0.263,0.316,0.833,0.816,2.447,3.263,0.526,0.579,0.447,0.789,1.526,5.079,3.624,-2.105,0.51,0.497,0.511,0.054,4.879,15.748,10.162,4.545,1.414,2.093,14.079,13.479,84.138,117.793,-4.476
2021-22,2022-02-28,NET,RAP,NET,18.502,1.949,4.846,0.402,1.077,2.385,0.452,0.872,2.462,0.354,0.256,0.308,0.833,0.821,2.41,3.231,0.564,0.564,0.436,0.769,1.538,5.026,3.569,-2.205,0.504,0.492,0.508,0.053,4.96,15.61,10.123,5.007,1.367,2.023,13.61,13.577,84.567,118.067,-4.563
2021-22,2022-03-01,NET,RAP,RAP,18.659,1.95,4.875,0.4,1.075,2.375,0.453,0.875,2.5,0.35,0.25,0.3,0.833,0.8,2.45,3.25,0.55,0.575,0.425,0.85,1.55,5.025,3.455,-2.65,0.502,0.49,0.513,0.051,4.8,15.639,10.068,4.845,1.384,1.958,14.461,13.665,83.355,118.387,-4.868
2021-22,2022-03-03,NET,HEA,NET,18.248,1.902,4.78,0.398,1.049,2.317,0.453,0.854,2.463,0.347,0.244,0.293,0.833,0.78,2.39,3.171,0.537,0.561,0.415,0.829,1.512,4.902,3.354,-2.561,0.499,0.487,0.515,0.051,4.65,15.15,9.753,4.694,1.341,1.897,14.009,14.028,80.75,118.531,-5.662
2021-22,2022-03-06,NET,CEL,CEL,17.814,1.857,4.667,0.398,1.024,2.262,0.453,0.833,2.405,0.347,0.238,0.286,0.833,0.762,2.333,3.095,0.524,0.548,0.405,0.81,1.476,4.786,3.274,-2.5,0.499,0.487,0.515,0.051,4.65,15.15,9.753,4.694,1.341,1.897,14.009,14.028,80.75,118.531,-5.662
