SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-11-28,CHO,PIS,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-01,CHO,CAV,CAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-04,CHO,JAZ,JAZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-06,CHO,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-07,CHO,WAR,WAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-12-09,CHO,CLI,CLI,0.633,0.167,0.333,0.5,0.167,0.333,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.333,0.1,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,104.0,112.0,-12.7
2001-02,2001-12-11,CHO,NUG,NUG,0.543,0.143,0.286,0.5,0.143,0.286,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.086,-0.429,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,104.0,112.0,-12.7
2001-02,2001-12-13,CHO,RAP,CHO,0.475,0.125,0.25,0.5,0.125,0.25,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.075,-0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,104.0,112.0,-12.7
2001-02,2001-12-15,CHO,CEL,CHO,1.019,0.111,0.667,0.167,0.111,0.667,0.167,0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.222,0.222,0.222,-0.433,-0.333,0.167,0.167,0.0,0.0,14.1,0.0,5.7,0.0,0.0,0.0,16.65,38.55,57.5,112.0,-37.8
2001-02,2001-12-18,CHO,KNI,CHO,0.917,0.1,0.6,0.167,0.1,0.6,0.167,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.2,-0.39,-0.3,0.167,0.167,0.0,0.0,14.1,0.0,5.7,0.0,0.0,0.0,16.65,38.55,57.5,112.0,-37.8
2001-02,2001-12-19,CHO,76E,76E,0.834,0.091,0.545,0.167,0.091,0.545,0.167,0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.091,0.0,0.0,0.0,0.182,0.182,0.182,-0.355,-0.273,0.167,0.167,0.0,0.0,14.1,0.0,5.7,0.0,0.0,0.0,16.65,38.55,57.5,112.0,-37.8
2001-02,2001-12-21,CHO,TIM,TIM,0.764,0.083,0.5,0.167,0.083,0.5,0.167,0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.167,0.167,0.167,-0.325,-0.25,0.167,0.167,0.0,0.0,14.1,0.0,5.7,0.0,0.0,0.0,16.65,38.55,57.5,112.0,-37.8
2001-02,2001-12-22,CHO,HAW,HAW,0.705,0.077,0.462,0.167,0.077,0.462,0.167,0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.077,0.0,0.0,0.0,0.154,0.154,0.154,-0.3,-0.231,0.167,0.167,0.0,0.0,14.1,0.0,5.7,0.0,0.0,0.0,16.65,38.55,57.5,112.0,-37.8
2001-02,2001-12-28,CHO,BUC,CHO,0.867,0.071,0.643,0.111,0.071,0.643,0.111,0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.071,0.0,0.0,0.0,0.214,0.143,0.143,-0.5,-0.071,0.111,0.111,0.0,0.0,9.4,0.0,3.8,0.0,0.0,0.0,19.433,45.133,38.333,115.0,-45.533
2001-02,2001-12-29,CHO,WIZ,WIZ,0.809,0.067,0.6,0.111,0.067,0.6,0.111,0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.0,0.0,0.2,0.133,0.133,-0.467,-0.067,0.111,0.111,0.0,0.0,9.4,0.0,3.8,0.0,0.0,0.0,19.433,45.133,38.333,115.0,-45.533
