SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-21,GRI,WAR,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-23,GRI,ROC,ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-25,GRI,MAV,MAV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-10-26,GRI,MAV,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-11-01,GRI,MAG,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-11-29,GRI,SPU,SPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,2017-12-02,GRI,CAV,CAV,0.719,0.143,0.143,1.0,0.143,0.143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.186,0.429,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,200.0,125.0,-1.6
2017-18,2017-12-15,GRI,HAW,GRI,0.629,0.125,0.125,1.0,0.125,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.162,0.375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,200.0,125.0,-1.6
2017-18,2017-12-16,GRI,CEL,GRI,0.559,0.111,0.111,1.0,0.111,0.111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.222,0.144,0.333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,200.0,125.0,-1.6
2017-18,2017-12-20,GRI,WAR,WAR,1.961,0.1,0.4,0.25,0.1,0.3,0.333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.3,0.2,-0.03,0.7,0.25,0.25,0.25,0.0,0.0,7.85,4.1,0.0,0.0,3.3,0.0,9.65,100.0,121.5,-8.45
2017-18,2017-12-21,GRI,SUN,SUN,1.996,0.091,0.364,0.25,0.091,0.273,0.333,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.0,0.0,0.091,0.0,0.273,0.182,-0.027,0.636,0.25,0.25,0.25,0.0,0.0,5.233,2.733,0.0,0.0,2.2,0.0,6.433,66.667,122.333,-9.433
2017-18,2017-12-23,GRI,CLI,GRI,2.57,0.167,0.583,0.286,0.167,0.5,0.333,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.083,0.167,0.083,0.083,0.333,0.333,0.158,1.167,0.286,0.286,0.143,0.0,0.0,9.675,4.925,4.025,3.05,1.65,6.25,9.925,66.0,112.5,-6.725
2017-18,2017-12-26,GRI,SUN,SUN,4.315,0.385,1.231,0.312,0.385,1.0,0.385,0.0,0.231,0.0,0.0,0.0,0.0,0.077,0.538,0.615,0.308,0.154,0.154,0.154,0.462,0.769,0.415,1.385,0.312,0.312,0.188,0.0,0.82,10.82,5.78,6.54,2.44,2.16,7.0,11.4,70.2,114.2,-7.32
2017-18,2017-12-27,GRI,LAK,LAK,5.892,0.5,1.5,0.333,0.5,1.143,0.438,0.0,0.357,0.0,0.143,0.143,1.0,0.143,0.786,0.929,0.429,0.286,0.214,0.214,0.643,1.143,0.893,1.143,0.366,0.333,0.238,0.095,1.35,12.583,6.733,7.383,2.667,2.4,8.25,11.4,76.0,111.667,-6.017
2017-18,2017-12-30,GRI,WAR,WAR,6.629,0.467,1.467,0.318,0.467,1.133,0.412,0.0,0.333,0.0,0.133,0.133,1.0,0.2,0.867,1.067,0.467,0.267,0.2,0.2,0.8,1.067,0.84,0.4,0.35,0.318,0.227,0.091,2.414,12.286,7.186,7.486,2.286,2.057,7.071,10.186,79.286,111.571,-6.414
2017-18,2017-12-31,GRI,KIN,KIN,8.124,0.875,2.0,0.438,0.688,1.438,0.478,0.188,0.562,0.333,0.125,0.125,1.0,0.188,0.875,1.062,0.625,0.375,0.188,0.188,0.875,2.062,1.812,0.562,0.502,0.484,0.281,0.062,2.112,11.362,6.55,8.1,2.412,1.8,6.188,10.688,91.25,115.5,-4.775
2017-18,2018-01-02,GRI,CLI,CLI,8.886,0.882,2.118,0.417,0.706,1.529,0.462,0.176,0.588,0.3,0.294,0.294,1.0,0.176,0.882,1.059,0.647,0.353,0.176,0.353,0.882,2.235,1.718,0.176,0.497,0.458,0.278,0.139,1.878,10.611,6.111,7.856,2.144,1.6,9.511,11.556,88.778,114.667,-6.011
2017-18,2018-01-05,GRI,WIZ,GRI,8.542,0.833,2.056,0.405,0.667,1.444,0.462,0.167,0.611,0.273,0.278,0.278,1.0,0.167,0.833,1.0,0.611,0.333,0.167,0.333,0.833,2.111,1.583,-0.167,0.485,0.446,0.297,0.135,1.69,9.55,5.5,7.07,1.93,1.44,8.56,12.05,79.9,115.5,-7.66
2017-18,2018-01-24,GRI,SPU,GRI,8.515,0.842,2.053,0.41,0.684,1.474,0.464,0.158,0.579,0.273,0.263,0.263,1.0,0.158,0.789,0.947,0.579,0.316,0.158,0.421,0.842,2.105,1.426,-0.737,0.485,0.449,0.282,0.128,1.536,8.682,5.0,6.427,1.755,1.309,12.327,12.873,76.636,115.455,-8.818
2017-18,2018-02-24,GRI,HEA,HEA,8.795,0.95,2.25,0.422,0.8,1.6,0.5,0.15,0.65,0.231,0.25,0.25,1.0,0.15,0.8,0.95,0.6,0.4,0.15,0.45,0.85,2.3,1.585,-0.6,0.487,0.456,0.289,0.111,1.408,8.617,4.917,6.992,2.208,1.2,12.492,13.667,77.583,114.583,-7.833
2017-18,2018-03-02,GRI,NUG,GRI,9.456,1.0,2.524,0.396,0.857,1.905,0.45,0.143,0.619,0.231,0.333,0.333,1.0,0.143,0.762,0.905,0.714,0.381,0.143,0.524,0.857,2.476,1.552,-1.286,0.464,0.425,0.245,0.132,1.3,7.954,4.538,8.046,2.038,1.108,12.946,14.277,77.0,115.846,-8.215
2017-18,2018-03-03,GRI,MAG,MAG,9.676,1.045,2.682,0.39,0.909,2.091,0.435,0.136,0.591,0.231,0.318,0.318,1.0,0.182,0.727,0.909,0.773,0.364,0.136,0.591,0.909,2.545,1.477,-2.0,0.451,0.415,0.22,0.119,1.707,7.386,4.529,8.914,1.893,1.029,13.807,14.886,76.571,116.071,-8.814
2017-18,2018-03-05,GRI,SPU,SPU,10.118,1.261,2.957,0.426,1.13,2.348,0.481,0.13,0.609,0.214,0.391,0.391,1.0,0.174,0.739,0.913,0.826,0.391,0.13,0.652,1.043,3.043,1.813,-2.261,0.486,0.449,0.206,0.132,1.593,7.32,4.407,9.693,1.933,0.96,14.007,15.58,79.2,115.867,-8.213
2017-18,2018-03-07,GRI,BUL,BUL,10.772,1.458,3.25,0.449,1.292,2.583,0.5,0.167,0.667,0.25,0.375,0.375,1.0,0.25,0.792,1.042,0.917,0.417,0.167,0.667,1.083,3.458,2.254,-2.042,0.506,0.474,0.205,0.115,2.106,7.444,4.725,10.219,1.931,1.112,13.7,15.837,82.125,115.062,-7.312
2017-18,2018-03-09,GRI,JAZ,GRI,11.454,1.6,3.52,0.455,1.44,2.84,0.507,0.16,0.68,0.235,0.4,0.4,1.0,0.28,0.84,1.12,0.92,0.52,0.2,0.76,1.28,3.76,2.416,-1.92,0.509,0.477,0.193,0.114,2.229,7.624,4.859,9.941,2.129,1.253,14.206,16.182,82.353,114.941,-7.347
2017-18,2018-03-10,GRI,MAV,MAV,12.009,1.654,3.654,0.453,1.5,3.0,0.5,0.154,0.654,0.235,0.385,0.385,1.0,0.269,0.923,1.192,1.0,0.5,0.192,0.808,1.385,3.846,2.388,-2.462,0.503,0.474,0.179,0.105,2.106,8.033,4.944,10.606,2.011,1.183,14.65,16.172,82.056,114.556,-7.428
2017-18,2018-03-12,GRI,BUC,GRI,12.906,1.667,3.963,0.421,1.519,3.296,0.461,0.148,0.667,0.222,0.37,0.37,1.0,0.37,0.963,1.333,1.111,0.519,0.185,0.852,1.444,3.852,2.289,-3.889,0.467,0.439,0.168,0.093,2.395,7.953,5.058,11.068,1.979,1.121,14.632,16.247,80.474,115.105,-7.763
2017-18,2018-03-15,GRI,BUL,GRI,13.394,1.75,4.107,0.426,1.571,3.429,0.458,0.179,0.679,0.263,0.357,0.357,1.0,0.357,0.929,1.286,1.25,0.5,0.179,0.857,1.5,4.036,2.432,-3.821,0.473,0.448,0.165,0.087,2.275,7.555,4.805,11.815,1.88,1.065,14.455,16.2,82.2,116.05,-7.695
