SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,BLA,CLI,CLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-27,BLA,MAG,BLA,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15,6.0,0.0,0.0,0.0,0.0,0.0,23.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-6.4
2023-24,2023-10-29,BLA,76E,76E,1.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,0.0,0.0,0.0,0.0,23.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-6.4
2023-24,2023-10-30,BLA,RAP,RAP,2.77,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,11.6,5.35,0.0,4.1,0.0,0.0,3.5,0.0,122.5,-7.6
2023-24,2023-11-01,BLA,PIS,PIS,2.216,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.04,0.8,0.0,0.0,1.0,0.0,0.0,11.6,5.35,0.0,4.1,0.0,0.0,3.5,0.0,122.5,-7.6
2023-24,2023-11-03,BLA,GRI,BLA,1.847,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.167,0.0,0.0,0.167,0.0,0.033,0.667,0.0,0.0,1.0,0.0,0.0,11.6,5.35,0.0,4.1,0.0,0.0,3.5,0.0,122.5,-7.6
2023-24,2023-11-05,BLA,GRI,BLA,1.583,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.0,0.143,0.0,0.0,0.143,0.0,0.029,0.571,0.0,0.0,1.0,0.0,0.0,11.6,5.35,0.0,4.1,0.0,0.0,3.5,0.0,122.5,-7.6
2023-24,2023-11-08,BLA,KIN,KIN,1.385,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.025,0.5,0.0,0.0,1.0,0.0,0.0,11.6,5.35,0.0,4.1,0.0,0.0,3.5,0.0,122.5,-7.6
2023-24,2023-11-12,BLA,LAK,LAK,2.242,0.0,0.222,0.0,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.111,0.111,0.0,0.222,0.0,-0.022,-0.111,0.0,0.0,0.5,0.0,0.0,7.733,3.567,0.0,2.733,3.733,0.0,3.967,0.0,120.667,-7.633
2023-24,2023-11-14,BLA,JAZ,JAZ,2.318,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.3,0.0,-0.06,0.3,0.0,0.0,0.5,0.0,0.0,5.8,2.675,0.0,2.05,2.8,0.0,2.975,0.0,120.5,-8.975
2023-24,2023-11-15,BLA,CAV,BLA,2.341,0.0,0.182,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.091,0.091,0.0,0.091,0.091,0.0,0.273,0.0,-0.055,0.182,0.0,0.0,0.5,0.0,0.0,4.64,2.14,0.0,1.64,2.24,0.0,2.38,0.0,122.4,-9.06
2023-24,2023-11-17,BLA,LAK,BLA,3.59,0.167,0.583,0.286,0.083,0.25,0.333,0.083,0.333,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.167,0.083,0.0,0.333,0.417,0.417,0.75,0.357,0.357,0.571,0.0,0.0,7.05,2.983,4.867,1.85,1.867,0.0,4.083,19.5,120.833,-6.85
2023-24,2023-11-19,BLA,THU,BLA,3.735,0.154,0.692,0.222,0.077,0.231,0.333,0.077,0.462,0.167,0.0,0.0,0.0,0.077,0.231,0.308,0.231,0.231,0.077,0.0,0.385,0.385,0.377,0.385,0.278,0.278,0.667,0.0,2.4,6.043,3.914,4.171,2.914,1.6,0.0,5.671,21.0,118.0,-7.357
2023-24,2023-11-21,BLA,SUN,SUN,4.963,0.286,0.929,0.308,0.143,0.357,0.4,0.143,0.571,0.25,0.214,0.286,0.75,0.143,0.286,0.429,0.214,0.286,0.071,0.071,0.571,0.929,0.736,-0.357,0.44,0.385,0.615,0.231,2.725,6.312,4.2,3.65,2.862,1.4,1.85,6.7,33.875,121.375,-7.075
2023-24,2023-11-22,BLA,JAZ,BLA,4.742,0.333,1.0,0.333,0.133,0.4,0.333,0.2,0.6,0.333,0.2,0.267,0.75,0.133,0.267,0.4,0.2,0.267,0.067,0.067,0.533,1.067,0.82,-0.133,0.477,0.433,0.6,0.2,2.422,5.611,3.733,3.244,2.544,1.244,1.644,11.9,45.667,123.778,-2.633
2023-24,2023-11-26,BLA,BUC,BUC,5.529,0.375,1.25,0.3,0.188,0.5,0.375,0.188,0.75,0.25,0.188,0.312,0.6,0.25,0.25,0.5,0.188,0.312,0.062,0.062,0.5,1.125,0.825,-0.688,0.405,0.375,0.6,0.15,3.44,5.05,4.04,2.92,2.58,1.12,1.48,12.06,48.1,122.9,-3.66
2023-24,2023-11-27,BLA,PAC,PAC,5.204,0.353,1.176,0.3,0.176,0.471,0.375,0.176,0.706,0.25,0.176,0.294,0.6,0.235,0.235,0.471,0.176,0.294,0.059,0.059,0.471,1.059,0.776,-0.647,0.405,0.375,0.6,0.15,3.44,5.05,4.04,2.92,2.58,1.12,1.48,12.06,48.1,122.9,-3.66
2023-24,2023-11-30,BLA,CAV,CAV,4.914,0.333,1.111,0.3,0.167,0.444,0.375,0.167,0.667,0.25,0.167,0.278,0.6,0.222,0.222,0.444,0.167,0.278,0.056,0.056,0.444,1.0,0.733,-0.611,0.405,0.375,0.6,0.15,3.44,5.05,4.04,2.92,2.58,1.12,1.48,12.06,48.1,122.9,-3.66
2023-24,2023-12-02,BLA,JAZ,JAZ,4.656,0.316,1.053,0.3,0.158,0.421,0.375,0.158,0.632,0.25,0.158,0.263,0.6,0.211,0.211,0.421,0.158,0.263,0.053,0.053,0.421,0.947,0.695,-0.579,0.405,0.375,0.6,0.15,3.44,5.05,4.04,2.92,2.58,1.12,1.48,12.06,48.1,122.9,-3.66
2023-24,2023-12-06,BLA,WAR,WAR,4.423,0.3,1.0,0.3,0.15,0.4,0.375,0.15,0.6,0.25,0.15,0.25,0.6,0.2,0.2,0.4,0.15,0.25,0.05,0.05,0.4,0.9,0.66,-0.55,0.405,0.375,0.6,0.15,3.44,5.05,4.04,2.92,2.58,1.12,1.48,12.06,48.1,122.9,-3.66
2023-24,2023-12-08,BLA,MAV,BLA,5.214,0.381,1.143,0.333,0.143,0.381,0.375,0.238,0.762,0.312,0.143,0.238,0.6,0.19,0.429,0.619,0.19,0.333,0.048,0.048,0.476,1.143,0.981,-0.571,0.458,0.438,0.667,0.125,3.127,6.945,4.827,3.255,2.773,1.018,1.345,11.7,57.818,121.0,-2.764
2023-24,2023-12-11,BLA,CLI,CLI,5.805,0.455,1.364,0.333,0.182,0.5,0.364,0.273,0.864,0.316,0.136,0.227,0.6,0.227,0.591,0.818,0.182,0.364,0.045,0.045,0.455,1.318,1.141,-0.227,0.45,0.433,0.633,0.1,3.3,8.617,5.642,2.983,2.758,0.933,1.233,11.75,61.75,120.75,-2.758
