SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-10-30,WIZ,KNI,KNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02,2001-11-03,WIZ,76E,WIZ,5.925,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,1.5,0.0,0.0,1.5,0.5,1.0,1.0,0.9,4.0,0.41,0.5,0.0,0.0,0.0,27.9,14.1,0.0,0.0,21.8,29.1,13.2,52.0,90.0,-3.3
2001-02,2001-11-09,WIZ,WAR,WIZ,3.95,0.333,0.667,0.5,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.333,0.667,0.667,0.6,2.667,0.41,0.5,0.0,0.0,0.0,27.9,14.1,0.0,0.0,21.8,29.1,13.2,52.0,90.0,-3.3
2001-02,2001-11-11,WIZ,SUP,WIZ,11.662,1.0,1.75,0.571,1.0,1.75,0.571,0.0,0.0,0.0,1.0,1.25,0.8,0.25,1.5,1.75,0.25,0.0,0.75,0.75,1.0,3.0,2.25,2.5,0.652,0.571,0.0,0.571,1.7,20.4,10.85,2.3,0.0,10.9,25.95,12.1,86.0,103.0,-3.15
2001-02,2001-11-14,WIZ,BUC,WIZ,15.504,1.0,2.2,0.455,1.0,2.2,0.455,0.0,0.0,0.0,1.4,2.2,0.636,0.6,2.0,2.6,0.4,0.0,1.0,0.8,1.0,3.4,2.74,2.0,0.537,0.455,0.0,0.636,3.467,18.767,10.933,3.4,0.0,9.0,21.667,11.7,86.0,104.667,-3.0
2001-02,2001-11-16,WIZ,JAZ,WIZ,14.975,1.0,2.667,0.375,1.0,2.667,0.375,0.0,0.0,0.0,1.167,1.833,0.636,0.667,1.833,2.5,0.667,0.0,0.833,0.833,1.167,3.167,2.2,0.5,0.456,0.375,0.0,0.438,5.45,17.3,11.225,8.425,0.0,6.75,20.425,14.675,80.25,109.5,-5.55
2001-02,2001-11-20,WIZ,CHO,WIZ,15.011,0.857,2.429,0.353,0.857,2.429,0.353,0.0,0.0,0.0,1.286,1.857,0.692,0.571,2.143,2.714,0.571,0.0,0.714,0.714,1.429,3.0,2.071,0.143,0.462,0.353,0.0,0.529,4.36,21.84,12.02,6.74,0.0,5.4,16.34,12.86,91.8,110.8,-6.22
2001-02,2001-11-22,WIZ,PAC,PAC,15.326,1.0,2.75,0.364,1.0,2.75,0.364,0.0,0.0,0.0,1.375,1.875,0.733,0.5,2.375,2.875,0.5,0.0,0.75,0.625,1.625,3.375,2.312,0.125,0.472,0.364,0.0,0.5,3.633,21.983,12.217,5.617,0.0,5.1,13.617,13.267,96.667,110.0,-5.417
2001-02,2001-11-24,WIZ,CEL,WIZ,16.079,1.111,3.222,0.345,1.111,3.222,0.345,0.0,0.0,0.0,1.222,1.667,0.733,0.556,2.333,2.889,0.556,0.111,0.667,0.778,1.778,3.444,2.022,0.667,0.435,0.345,0.0,0.379,3.714,20.357,11.471,5.614,0.329,4.371,14.843,13.814,91.143,110.714,-6.586
2001-02,2001-11-27,WIZ,CAV,CAV,15.143,1.2,3.2,0.375,1.2,3.2,0.375,0.0,0.0,0.0,1.2,1.6,0.75,0.6,2.2,2.8,0.5,0.1,0.6,0.7,1.7,3.6,2.25,0.8,0.461,0.375,0.0,0.375,5.35,19.638,11.988,4.913,0.288,3.825,12.988,14.962,98.5,108.0,-4.362
2001-02,2001-11-28,WIZ,76E,76E,14.887,1.182,3.455,0.342,1.182,3.455,0.342,0.0,0.0,0.0,1.182,1.636,0.722,0.545,2.0,2.545,0.455,0.091,0.545,0.727,1.727,3.545,1.773,0.0,0.425,0.342,0.0,0.342,4.756,17.456,10.656,4.367,0.256,3.4,12.956,16.622,92.333,108.889,-6.456
2001-02,2001-11-30,WIZ,HEA,HEA,14.152,1.167,3.417,0.341,1.167,3.417,0.341,0.0,0.0,0.0,1.083,1.5,0.722,0.5,2.0,2.5,0.417,0.083,0.5,0.667,1.667,3.417,1.667,0.083,0.419,0.341,0.0,0.317,4.28,19.61,11.57,3.93,0.23,3.06,11.66,17.36,90.0,107.4,-7.03
2001-02,2001-12-01,WIZ,MAG,WIZ,13.508,1.077,3.231,0.333,1.077,3.231,0.333,0.0,0.0,0.0,1.154,1.692,0.682,0.538,1.846,2.385,0.385,0.077,0.538,0.615,1.538,3.308,1.685,-1.0,0.416,0.333,0.0,0.357,5.755,17.827,11.364,3.573,0.209,3.809,10.6,17.973,90.727,106.182,-6.182
2001-02,2001-12-04,WIZ,SPU,SPU,12.806,1.071,3.143,0.341,1.071,3.143,0.341,0.0,0.0,0.0,1.143,1.643,0.696,0.5,1.857,2.357,0.357,0.071,0.5,0.643,1.5,3.286,1.65,-1.071,0.425,0.341,0.0,0.364,5.275,20.883,12.567,3.275,0.192,3.492,12.142,19.592,90.5,105.333,-6.142
2001-02,2001-12-06,WIZ,ROC,ROC,13.527,1.267,3.667,0.345,1.267,3.667,0.345,0.0,0.0,0.0,1.2,1.667,0.72,0.6,2.4,3.0,0.467,0.133,0.533,0.667,1.667,3.733,2.127,-1.0,0.424,0.345,0.0,0.327,5.746,23.123,14.062,4.162,0.346,3.477,11.808,20.138,90.692,105.077,-5.631
2001-02,2001-12-08,WIZ,MAV,MAV,12.928,1.25,3.5,0.357,1.25,3.5,0.357,0.0,0.0,0.0,1.125,1.562,0.72,0.625,2.312,2.938,0.438,0.125,0.5,0.625,1.562,3.625,2.162,-0.938,0.433,0.357,0.0,0.321,7.243,23.186,14.864,3.864,0.321,3.229,10.964,19.557,98.571,104.357,-4.164
2001-02,2001-12-11,WIZ,GRI,GRI,12.168,1.176,3.294,0.357,1.176,3.294,0.357,0.0,0.0,0.0,1.059,1.471,0.72,0.588,2.176,2.765,0.412,0.118,0.471,0.588,1.471,3.412,2.035,-0.882,0.433,0.357,0.0,0.321,7.243,23.186,14.864,3.864,0.321,3.229,10.964,19.557,98.571,104.357,-4.164
