SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2007-08,2008-03-13,CAV,WIZ,WIZ,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2008-03-16,CAV,BOB,CAV,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2008-03-17,CAV,MAG,MAG,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2008-03-19,CAV,PIS,CAV,0.075,0,0.25,0.0,0,0.25,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,120,-133.4
2007-08,2008-03-21,CAV,RAP,CAV,0.06,0,0.2,0.0,0,0.2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,120,-133.4
2007-08,2008-03-22,CAV,BUC,BUC,0.05,0,0.167,0.0,0,0.167,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,120,-133.4
2007-08,2008-03-26,CAV,NHO,CAV,0.076,0,0.143,0.0,0,0.143,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,120,-70.4
2007-08,2008-03-30,CAV,76E,CAV,0.066,0,0.125,0.0,0,0.125,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,120,-70.4
2007-08,2008-04-02,CAV,BOB,BOB,0.059,0,0.111,0.0,0,0.111,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,120,-70.4
2007-08,2008-04-16,CAV,PIS,CAV,0.053,0,0.1,0.0,0,0.1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0,120,-70.4
