SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2015-01-16,76E,PEL,76E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2015-01-17,76E,PIS,PIS,6.775,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0,0.5,0.0,2.5,1.85,-3.0,0.833,0.833,0.333,0.0,0.0,7.9,3.8,12.3,0.0,0.0,25.0,14.2,115.0,101.0,-3.8
2014-15,2015-01-19,76E,WIZ,WIZ,12.457,1.667,3.333,0.5,1.333,2.333,0.571,0.333,1.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,3.333,0.333,0,1.333,0.0,3.667,3.633,-3.333,0.55,0.55,0.3,0.0,0.0,8.0,4.15,34.55,1.1,0.0,27.5,16.5,104.5,109.5,-3.35
2014-15,2015-01-21,76E,KNI,76E,15.038,1.5,4.0,0.375,1.25,2.5,0.5,0.25,1.5,0.167,0.0,0.0,0.0,0.0,0.75,0.75,4.0,0.5,0,2.25,0.5,3.25,2.125,-7.5,0.406,0.406,0.375,0.0,0.0,5.333,2.767,39.3,1.467,0.0,33.5,17.967,82.667,112.667,-8.3
2014-15,2015-01-23,76E,RAP,76E,15.604,1.4,3.8,0.368,1.0,2.0,0.5,0.4,1.8,0.222,0.2,0.4,0.5,0.0,0.8,0.8,4.0,0.6,0,2.2,0.4,3.4,2.5,-7.0,0.428,0.421,0.474,0.053,0.0,5.45,2.775,39.675,1.85,0.0,33.625,17.175,84.25,113.0,-7.525
2014-15,2015-01-24,76E,GRI,GRI,15.258,1.333,4.167,0.32,1.0,2.5,0.4,0.333,1.667,0.2,0.167,0.333,0.5,0.0,0.667,0.667,3.667,0.5,0,2.0,0.333,3.167,1.85,-8.5,0.367,0.36,0.4,0.04,0.0,4.36,2.22,36.9,1.48,0.0,29.76,18.38,77.4,113.2,-9.74
2014-15,2015-01-26,76E,PEL,PEL,15.974,1.714,4.429,0.387,1.429,2.857,0.5,0.286,1.571,0.182,0.286,0.429,0.667,0.0,0.571,0.571,3.714,0.429,0,1.857,0.429,4.0,2.7,-8.571,0.433,0.419,0.355,0.065,0.0,3.633,1.85,38.083,1.233,0.0,27.033,17.9,87.0,112.833,-7.667
2014-15,2015-01-28,76E,PIS,76E,17.943,1.75,5.0,0.35,1.5,3.125,0.48,0.25,1.875,0.133,0.25,0.375,0.667,0.125,1.0,1.125,3.5,0.5,0,2.125,0.625,4.0,2.112,-9.625,0.387,0.375,0.375,0.05,0.457,5.171,2.786,34.371,1.314,0.0,27.571,18.086,80.429,113.429,-9.157
2014-15,2015-01-30,76E,TIM,76E,17.391,1.556,4.778,0.326,1.333,2.778,0.48,0.222,2.0,0.111,0.222,0.333,0.667,0.111,1.0,1.111,3.222,0.444,0,1.889,0.778,3.556,1.667,-10.111,0.361,0.349,0.419,0.047,0.4,5.462,2.975,31.325,1.15,0.0,24.125,17.175,73.625,110.75,-10.512
2014-15,2015-01-31,76E,HAW,HAW,16.944,1.4,4.4,0.318,1.2,2.5,0.48,0.2,1.9,0.105,0.2,0.3,0.667,0.1,1.2,1.3,3.2,0.4,0,1.9,0.7,3.2,1.53,-8.2,0.353,0.341,0.432,0.045,0.356,8.111,4.367,31.189,1.022,0.0,28.856,16.522,70.889,110.222,-11.078
2014-15,2015-02-02,76E,CAV,CAV,16.404,1.364,4.091,0.333,1.091,2.273,0.48,0.273,1.818,0.15,0.182,0.273,0.667,0.091,1.091,1.182,3.182,0.364,0,1.818,0.818,3.182,1.664,-7.545,0.378,0.367,0.444,0.044,0.32,7.3,3.93,32.98,0.92,0.0,30.97,15.73,79.2,110.3,-9.83
2014-15,2015-02-03,76E,NUG,76E,17.052,1.417,4.333,0.327,1.167,2.333,0.5,0.25,2.0,0.125,0.167,0.25,0.667,0.083,1.083,1.167,3.333,0.5,0,2.0,0.917,3.25,1.6,-6.917,0.366,0.356,0.462,0.038,0.291,7.127,3.8,33.318,1.227,0.0,31.464,16.191,77.364,110.182,-10.091
2017-18,2018-01-24,76E,BUL,76E,16.271,1.465,4.321,0.329,1.172,2.369,0.476,0.293,1.952,0.147,0.147,0.22,0.635,0.073,1.026,1.099,3.321,0.44,0,1.831,0.976,3.37,1.803,-5.443,0.37,0.361,0.458,0.032,0.254,6.746,3.627,35.924,1.071,0.0,28.603,16.552,78.381,109.969,-9.898
2017-18,2018-01-26,76E,SPU,SPU,15.684,1.398,4.178,0.314,1.119,2.299,0.455,0.28,1.879,0.14,0.14,0.21,0.606,0.1,0.979,1.079,3.178,0.42,0,1.778,0.97,3.216,1.665,-5.347,0.353,0.345,0.453,0.031,2.111,6.439,4.394,34.291,1.023,0.0,29.575,17.473,76.409,109.47,-11.23
2017-18,2018-01-28,76E,THU,THU,15.045,1.337,4.01,0.3,1.07,2.206,0.435,0.268,1.804,0.134,0.134,0.201,0.58,0.1,0.937,1.036,3.043,0.402,0,1.705,0.935,3.077,1.581,-5.143,0.337,0.33,0.455,0.03,2.913,6.159,4.648,33.07,0.978,0.0,29.377,17.841,74.413,109.276,-12.066
2017-18,2018-01-29,76E,BUC,BUC,14.531,1.315,3.952,0.311,1.059,2.185,0.458,0.257,1.767,0.128,0.128,0.192,0.556,0.097,0.898,0.995,2.952,0.385,0,1.636,0.9,3.015,1.542,-4.846,0.347,0.34,0.445,0.028,2.506,5.902,4.312,37.161,0.938,0.0,27.805,19.582,75.611,110.209,-11.618
2017-18,2018-03-15,PEL,SPU,SPU,13.97,1.264,3.803,0.305,1.018,2.103,0.45,0.246,1.7,0.123,0.123,0.185,0.534,0.095,0.862,0.957,2.836,0.37,0,1.572,0.867,2.897,1.477,-4.659,0.339,0.332,0.444,0.027,2.954,5.666,4.413,37.173,0.9,0.0,27.36,20.173,74.533,110.267,-12.08
2017-18,2018-03-17,PEL,ROC,PEL,13.593,1.216,3.696,0.294,0.98,2.026,0.442,0.237,1.67,0.118,0.118,0.178,0.513,0.092,0.828,0.921,2.729,0.355,0,1.512,0.835,2.788,1.395,-4.385,0.327,0.32,0.46,0.026,2.577,5.448,4.112,35.023,0.865,0.0,25.987,19.354,70.731,111.205,-12.116
2017-18,2018-03-18,PEL,CEL,PEL,13.286,1.172,3.662,0.279,0.944,2.051,0.407,0.228,1.611,0.114,0.114,0.171,0.494,0.089,0.798,0.887,2.662,0.342,0,1.457,0.838,2.686,1.283,-4.354,0.311,0.304,0.426,0.025,2.329,5.247,3.884,34.383,0.833,0.0,24.839,19.496,68.607,110.561,-12.827
2017-18,2018-03-20,PEL,MAV,PEL,13.249,1.194,3.632,0.308,0.911,2.013,0.393,0.283,1.619,0.205,0.11,0.165,0.476,0.118,0.769,0.888,2.632,0.33,0,1.405,0.841,2.781,1.438,-4.011,0.359,0.352,0.443,0.024,2.572,5.059,3.896,33.671,0.804,0.0,23.833,18.951,75.095,110.941,-11.668
2017-18,2018-03-21,PEL,PAC,PEL,13.039,1.154,3.543,0.3,0.88,1.977,0.379,0.274,1.566,0.21,0.106,0.159,0.46,0.115,0.743,0.858,2.543,0.319,0,1.357,0.814,2.688,1.368,-3.81,0.35,0.344,0.433,0.023,2.401,4.885,3.721,32.263,0.776,0.0,22.929,18.32,71.911,110.741,-11.505
2017-18,2018-03-22,PEL,LAK,PEL,12.618,1.116,3.429,0.297,0.851,1.914,0.37,0.266,1.515,0.214,0.103,0.154,0.445,0.112,0.718,0.83,2.46,0.308,0,1.312,0.788,2.601,1.322,-3.683,0.348,0.342,0.432,0.023,2.559,4.722,3.715,31.905,0.75,0.0,22.403,18.445,71.238,110.802,-11.667
