SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,GRI,HEA,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06,2005-11-04,GRI,MAG,MAG,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.4,-1.5,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,4.8,122.0,97.0,-2.1
2005-06,2005-11-05,GRI,CAV,GRI,2.607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.333,0.267,-1.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,4.8,122.0,97.0,-2.1
2005-06,2005-11-08,GRI,SUP,GRI,1.955,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.2,-0.75,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,4.8,122.0,97.0,-2.1
2005-06,2005-11-09,GRI,CEL,CEL,4.07,0.2,0.2,1.0,0.2,0.2,1.0,0,0.0,0.0,0.6,0.8,0.75,0.6,0.0,0.6,0.2,0.4,0.0,0.2,1.2,1.0,1.14,-0.8,0.906,1.0,0.0,3.0,13.35,0.0,6.55,5.75,5.45,0.0,17.35,7.95,141.0,89.0,1.55
2005-06,2005-11-11,GRI,CAV,CAV,6.405,0.833,0.833,1.0,0.833,0.833,1.0,0,0.0,0.0,0.5,1.833,0.273,1.167,0.167,1.333,0.167,0.333,0.0,0.333,1.5,2.167,1.767,1.167,0.661,1.0,0.0,0.6,17.733,3.533,11.167,3.833,3.633,0.0,15.7,12.333,126.0,100.0,-1.667
2005-06,2005-11-12,GRI,HAW,HAW,7.464,0.857,1.143,0.75,0.857,1.143,0.75,0,0.0,0.0,0.429,1.571,0.273,1.286,0.429,1.714,0.286,0.286,0.0,0.286,1.429,2.143,1.886,-0.571,0.584,0.75,0.0,0.375,17.15,7.925,12.825,6.575,2.725,0.0,11.775,11.825,119.5,101.5,-1.65
2005-06,2005-11-14,GRI,LAK,GRI,6.665,0.75,1.125,0.667,0.75,1.125,0.667,0,0.0,0.0,0.375,1.375,0.273,1.125,0.375,1.5,0.25,0.25,0.0,0.25,1.25,1.875,1.562,-1.0,0.542,0.667,0.0,0.333,13.72,6.34,10.26,5.26,2.18,0.0,9.42,18.9,95.6,103.8,-10.96
2005-06,2005-11-16,GRI,SUN,SUN,6.83,0.889,1.222,0.727,0.889,1.222,0.727,0,0.0,0.0,0.444,1.556,0.286,1.333,0.333,1.667,0.222,0.222,0.0,0.333,1.222,2.222,1.867,-0.889,0.583,0.727,0.0,0.364,17.567,5.283,11.65,4.383,1.817,0.0,11.7,19.717,98.833,103.167,-8.35
2005-06,2005-11-19,GRI,JAZ,JAZ,7.377,0.9,1.3,0.692,0.9,1.3,0.692,0,0.0,0.0,0.7,1.7,0.412,1.4,0.5,1.9,0.3,0.2,0.0,0.3,1.4,2.5,2.23,-1.0,0.61,0.692,0.0,0.538,18.071,7.186,12.814,5.143,1.557,0.0,10.029,18.643,110.571,104.714,-6.557
