SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2014-10-29,RAP,HAW,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-02,RAP,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-04,RAP,THU,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-05,RAP,CEL,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-13,RAP,BUL,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-21,RAP,BUC,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-15,2014-11-22,RAP,CAV,CAV,1.25,0.143,0.286,0.5,0.143,0.286,0.5,0.0,0.0,0.0,0.0,0.286,0.0,0.143,0.571,0.714,0.0,0.143,0.0,0.286,0.429,0.286,-0.014,-1.0,0.347,0.5,0.0,0.0,14.8,43.9,31.5,0.0,5.9,0.0,41.0,23.8,49.0,72.0,-15.9
2014-15,2014-11-26,RAP,HAW,HAW,1.094,0.125,0.25,0.5,0.125,0.25,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.5,0.625,0.0,0.125,0.0,0.25,0.375,0.25,-0.012,-0.875,0.347,0.5,0.0,0.0,14.8,43.9,31.5,0.0,5.9,0.0,41.0,23.8,49.0,72.0,-15.9
2014-15,2014-11-30,RAP,LAK,LAK,0.972,0.111,0.222,0.5,0.111,0.222,0.5,0.0,0.0,0.0,0.0,0.222,0.0,0.111,0.444,0.556,0.0,0.111,0.0,0.222,0.333,0.222,-0.011,-0.778,0.347,0.5,0.0,0.0,14.8,43.9,31.5,0.0,5.9,0.0,41.0,23.8,49.0,72.0,-15.9
2014-15,2014-12-12,RAP,PAC,RAP,0.875,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.4,0.5,0.0,0.1,0.0,0.2,0.3,0.2,-0.01,-0.7,0.347,0.5,0.0,0.0,14.8,43.9,31.5,0.0,5.9,0.0,41.0,23.8,49.0,72.0,-15.9
