SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-08,NNE,WIZ,WIZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-09,NNE,PIS,NNE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-11,NNE,SUP,NNE,4.06,0.667,2.333,0.286,0.667,2.0,0.333,0.0,0.333,0.0,0.333,0.333,1.0,0.333,0.667,1.0,0.333,0.0,0.0,0.0,0.333,1.667,0.833,-2.333,0.336,0.286,0.143,0.143,8.2,21.6,14.0,13.3,0.0,0.0,0.0,27.2,85.0,115.0,-7.7
2000-01,2000-11-13,NNE,BLA,NNE,7.54,1.75,3.25,0.538,1.75,3.0,0.583,0.0,0.25,0.0,0.75,1.25,0.6,0.5,0.5,1.0,1.0,0.25,0.0,0.25,0.5,4.25,3.475,1.25,0.559,0.538,0.077,0.231,8.0,10.8,9.05,16.5,1.3,0.0,5.7,23.55,116.0,105.0,1.2
2000-01,2000-11-15,NNE,HEA,NNE,9.976,1.6,3.8,0.421,1.6,3.4,0.471,0.0,0.4,0.0,1.0,1.4,0.714,0.6,0.6,1.2,1.0,0.2,0.0,0.4,0.4,4.2,2.96,0.4,0.476,0.421,0.105,0.263,7.033,9.433,7.967,13.9,0.867,0.0,8.033,21.5,100.333,106.667,-2.767
2000-01,2000-11-18,NNE,PAC,NNE,11.78,2.0,4.167,0.48,1.833,3.5,0.524,0.167,0.667,0.25,1.0,1.5,0.667,0.5,0.833,1.333,1.167,0.5,0.0,0.333,0.667,5.167,4.167,0.5,0.535,0.5,0.16,0.24,5.275,9.35,7.3,15.025,1.975,0.0,6.025,20.125,112.75,105.5,0.45
2000-01,2000-11-20,NNE,CLI,CLI,12.261,1.714,3.571,0.48,1.571,3.0,0.524,0.143,0.571,0.25,0.857,1.286,0.667,0.429,1.0,1.429,1.571,0.429,0.0,0.286,0.571,4.429,4.057,1.286,0.535,0.5,0.16,0.24,4.22,10.52,7.26,19.54,1.58,0.0,4.82,16.1,132.6,106.0,0.86
2000-01,2000-11-22,NNE,SUN,SUN,13.37,1.5,3.375,0.444,1.375,2.875,0.478,0.125,0.5,0.25,0.875,1.375,0.636,0.375,1.0,1.375,1.5,0.5,0.0,0.25,0.625,4.0,3.65,0.125,0.503,0.463,0.148,0.259,3.517,9.6,6.467,17.4,1.75,0.0,4.017,14.5,120.333,104.667,-0.533
2000-01,2000-11-24,NNE,JAZ,JAZ,15.001,1.667,3.889,0.429,1.556,3.333,0.467,0.111,0.556,0.2,0.889,1.333,0.667,0.556,1.0,1.556,1.333,0.444,0.0,0.222,0.667,4.333,3.678,-0.667,0.484,0.443,0.143,0.229,4.271,8.843,6.471,14.914,1.5,0.0,3.443,14.371,116.857,105.143,-0.986
2000-01,2000-11-25,NNE,BLA,BLA,15.059,1.8,4.2,0.429,1.5,3.5,0.429,0.3,0.7,0.429,0.8,1.2,0.667,0.5,1.1,1.6,1.2,0.4,0.0,0.3,0.6,4.7,3.7,-1.5,0.497,0.464,0.167,0.19,3.738,9.763,6.663,13.05,1.312,0.0,4.575,15.462,114.625,106.125,-0.838
