SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2016-17,2016-10-26,BUC,HOR,BUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,2016-10-29,BUC,NET,BUC,10.71,1.5,4.5,0.333,1.5,3.0,0.5,0.0,1.5,0.0,1.0,1.0,1.0,0.0,3.0,3.0,2.5,0.0,0.0,0.0,1.0,4.0,3.7,0.0,0.405,0.333,0.333,0.222,0.0,28.6,13.9,34.7,0.0,0.0,0.0,20.4,101.0,110.0,-1.2
2016-17,2016-10-30,BUC,PIS,PIS,11.417,1.0,4.667,0.214,1.0,3.333,0.3,0.0,1.333,0.0,1.333,1.333,1.0,0.0,2.333,2.333,1.667,0.333,0.0,0.333,1.0,3.333,1.933,-3.667,0.317,0.214,0.286,0.286,0.0,18.3,9.05,17.35,1.85,0.0,7.25,21.65,67.0,108.5,-11.0
2016-17,2016-11-01,BUC,PEL,PEL,12.825,1.5,5.25,0.286,1.5,4.0,0.375,0.0,1.25,0.0,1.0,1.25,0.8,0.0,2.25,2.25,1.5,0.5,0.0,0.25,0.75,4.0,2.5,-5.0,0.345,0.286,0.238,0.19,0.0,16.267,7.933,15.233,2.233,0.0,4.833,21.067,72.667,107.333,-8.367
2016-17,2016-11-03,BUC,PAC,BUC,15.006,2.4,6.2,0.387,2.2,4.8,0.458,0.2,1.4,0.143,1.0,1.2,0.833,0.2,2.0,2.2,2.0,1.2,0.0,0.8,0.8,6.0,4.76,-2.2,0.446,0.403,0.226,0.161,1.15,13.275,7.05,17.775,3.65,0.0,9.2,21.7,82.25,106.0,-4.375
2016-17,2016-11-05,BUC,KIN,BUC,16.542,2.5,6.0,0.417,2.0,4.333,0.462,0.5,1.667,0.3,1.5,1.667,0.9,0.167,2.0,2.167,2.333,1.5,0.167,0.667,0.833,7.0,6.7,1.0,0.52,0.458,0.278,0.25,0.92,12.66,6.72,18.08,4.1,0.68,7.36,19.72,105.6,104.6,-0.34
2016-17,2016-11-06,BUC,MAV,MAV,18.031,2.286,6.0,0.381,1.857,4.286,0.433,0.429,1.714,0.25,1.429,1.571,0.909,0.286,2.286,2.571,2.857,1.286,0.143,1.0,0.857,6.429,6.014,1.286,0.48,0.417,0.286,0.238,1.5,12.967,7.267,19.6,3.417,0.567,11.433,19.033,101.5,105.5,-2.683
2016-17,2016-11-10,BUC,PEL,BUC,18.259,2.25,6.125,0.367,1.875,4.375,0.429,0.375,1.75,0.214,1.625,1.875,0.867,0.25,2.125,2.375,2.5,1.375,0.125,1.0,1.125,6.5,5.588,2.375,0.468,0.398,0.286,0.265,1.286,11.843,6.629,16.8,3.7,0.486,11.257,19.571,98.0,102.429,-2.457
2016-17,2016-11-12,BUC,GRI,BUC,18.717,2.444,6.111,0.4,2.111,4.556,0.463,0.333,1.556,0.214,1.667,1.889,0.882,0.222,2.222,2.444,2.556,1.333,0.111,1.111,1.0,6.889,6.011,2.0,0.496,0.427,0.255,0.273,1.125,12.038,6.65,17.262,3.512,0.425,12.662,19.237,100.5,103.75,-1.888
2016-17,2016-11-16,BUC,HAW,HAW,19.08,2.7,6.4,0.422,2.2,4.7,0.468,0.5,1.7,0.294,1.5,1.7,0.882,0.3,2.0,2.3,2.6,1.2,0.1,1.2,1.1,7.4,6.18,1.8,0.518,0.461,0.266,0.234,1.7,10.7,6.267,18.178,3.122,0.378,13.278,19.833,102.111,104.556,-1.778
2016-17,2016-11-17,BUC,HEA,HEA,19.266,2.636,6.364,0.414,2.182,4.636,0.471,0.455,1.727,0.263,1.364,1.545,0.882,0.273,2.0,2.273,2.636,1.091,0.091,1.182,1.273,7.091,5.718,1.273,0.503,0.45,0.271,0.214,1.53,10.93,6.17,18.34,2.81,0.34,13.38,19.18,99.7,105.5,-2.71
2016-17,2016-11-19,BUC,WAR,BUC,19.037,2.417,6.417,0.377,2.0,4.75,0.421,0.417,1.667,0.25,1.25,1.417,0.882,0.333,2.083,2.417,2.5,1.0,0.083,1.167,1.333,6.5,4.875,0.833,0.462,0.409,0.26,0.195,1.882,11.427,6.6,17.618,2.555,0.309,13.3,19.473,91.818,105.636,-4.591
2016-17,2016-11-21,BUC,MAG,BUC,18.678,2.385,6.385,0.373,1.923,4.692,0.41,0.462,1.692,0.273,1.154,1.308,0.882,0.308,2.231,2.538,2.385,0.923,0.077,1.154,1.231,6.385,4.692,0.538,0.459,0.41,0.265,0.181,1.725,12.75,7.342,16.858,2.342,0.283,13.383,19.575,90.917,107.0,-4.933
2016-17,2016-11-25,BUC,RAP,BUC,18.879,2.286,6.357,0.36,1.857,4.571,0.406,0.429,1.786,0.24,1.286,1.429,0.9,0.357,2.143,2.5,2.429,0.929,0.071,1.214,1.214,6.286,4.564,0.929,0.45,0.393,0.281,0.202,1.931,12.2,7.154,17.138,2.338,0.262,14.008,19.546,89.615,106.231,-5.269
2016-17,2016-11-27,BUC,MAG,MAG,18.863,2.333,6.267,0.372,1.8,4.467,0.403,0.533,1.8,0.296,1.2,1.333,0.9,0.333,2.0,2.333,2.333,0.867,0.067,1.133,1.133,6.4,4.687,0.8,0.467,0.415,0.287,0.191,1.793,11.329,6.643,16.486,2.171,0.243,13.007,19.114,94.357,107.929,-4.714
2016-17,2016-11-29,BUC,CAV,BUC,18.953,2.5,6.5,0.385,1.875,4.625,0.405,0.625,1.875,0.333,1.125,1.25,0.9,0.438,1.938,2.375,2.312,0.875,0.062,1.062,1.25,6.75,5.012,0.875,0.479,0.433,0.288,0.173,2.36,10.873,6.68,16.467,2.193,0.227,12.14,19.327,96.867,107.667,-4.0
2016-17,2016-12-01,BUC,NET,NET,19.175,2.588,6.412,0.404,1.882,4.529,0.416,0.706,1.882,0.375,1.059,1.176,0.9,0.412,1.882,2.294,2.353,0.882,0.059,1.118,1.412,6.941,5.182,0.824,0.501,0.459,0.294,0.165,2.213,10.525,6.431,16.494,2.188,0.212,13.169,18.938,99.25,107.688,-3.612
2016-17,2016-12-03,BUC,NET,BUC,19.577,2.667,6.444,0.414,1.833,4.444,0.412,0.833,2.0,0.417,1.111,1.222,0.909,0.444,1.944,2.389,2.444,0.833,0.056,1.222,1.389,7.278,5.489,1.5,0.521,0.478,0.31,0.172,2.335,10.606,6.541,17.012,2.059,0.2,14.018,18.871,101.0,107.529,-3.276
