SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2001-01-14,RAP,CHO,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2001-02-03,RAP,TIM,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2001-02-05,RAP,CEL,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2001-02-08,RAP,NUG,RAP,0.745,0.0,0.5,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.45,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,115.0,-44.6
2000-01,2001-02-13,RAP,CAV,CAV,0.596,0.0,0.4,0.0,0.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.36,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3,0.0,115.0,-44.6
2000-01,2001-02-15,RAP,HEA,RAP,0.775,0.167,0.5,0.333,0.167,0.5,0.333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,-0.083,-1.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,100.0,114.5,-18.1
2000-01,2001-02-18,RAP,SPU,RAP,0.664,0.143,0.429,0.333,0.143,0.429,0.333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,-0.071,-0.857,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,100.0,114.5,-18.1
2000-01,2001-02-20,RAP,WAR,RAP,1.179,0.125,0.5,0.25,0.125,0.5,0.25,0,0.0,0.0,0.25,0.25,1.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.375,0.5,0.175,0.25,0.41,0.25,0.0,0.5,7.1,7.8,7.433,0.0,0.0,0.0,0.0,23.233,111.0,111.0,-11.467
2000-01,2001-02-21,RAP,NNE,NNE,1.048,0.111,0.444,0.25,0.111,0.444,0.25,0,0.0,0.0,0.222,0.222,1.0,0.111,0.111,0.222,0.0,0.0,0.0,0.0,0.333,0.444,0.156,0.222,0.41,0.25,0.0,0.5,7.1,7.8,7.433,0.0,0.0,0.0,0.0,23.233,111.0,111.0,-11.467
2001-02,2002-01-04,RAP,CAV,RAP,0.976,0.119,0.405,0.286,0.119,0.405,0.286,0,0.0,0.0,0.19,0.19,0.952,0.095,0.095,0.19,0.0,0.0,0.0,0.0,0.286,0.429,0.174,0.048,0.438,0.286,0.0,0.476,6.762,7.429,7.079,0.0,0.0,0.0,0.0,22.846,115.238,111.143,-10.521
