SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2007-08,2007-11-06,MAG,TIM,TIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08,2007-12-15,MAG,GRI,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08,2008-03-01,MAG,KNI,MAG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08,2008-03-04,MAG,RAP,MAG,0.588,0.25,0.25,1.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.4,0.0,1.0,1.0,0.0,0.0,0.0,40.1,22.4,0.0,0.0,0.0,0.0,19.2,200.0,94.0,8.5
2007-08,2008-03-05,MAG,WIZ,WIZ,0.594,0.2,0.2,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.4,0.38,0.0,1.0,1.0,0.0,0.0,0.0,70.05,55.45,0.0,0.0,0.0,0.0,9.6,100.0,71.5,10.5
2007-08,2008-03-10,MAG,HAW,MAG,1.395,0.5,0.667,0.75,0.5,0.667,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.0,0.167,0.333,1.0,0.767,-0.167,0.75,0.75,0.0,0.0,17.433,46.7,44.767,0.0,0.0,0.0,8.333,17.933,105.0,83.333,3.8
2007-08,2008-03-28,MAG,BUC,BUC,1.5,0.429,0.857,0.5,0.429,0.857,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.286,0.571,0.0,0.0,0.0,0.143,0.429,0.857,0.4,-1.286,0.5,0.5,0.0,0.0,13.075,35.025,33.575,0.0,0.0,0.0,6.25,24.125,78.75,92.5,-12.075
2007-08,2008-04-01,MAG,NHO,MAG,1.602,0.375,0.75,0.5,0.375,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.25,0.625,0.0,0.0,0.0,0.125,0.375,0.75,0.438,-1.375,0.5,0.5,0.0,0.0,20.32,28.02,30.88,0.0,0.0,0.0,5.0,19.3,107.4,95.4,-9.94
2007-08,2008-04-16,MAG,WIZ,MAG,1.424,0.333,0.667,0.5,0.333,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.222,0.556,0.0,0.0,0.0,0.111,0.333,0.667,0.389,-1.222,0.5,0.5,0.0,0.0,20.32,28.02,30.88,0.0,0.0,0.0,5.0,19.3,107.4,95.4,-9.94
2007-08,2008-04-20,MAG,RAP,MAG,4.067,0.8,1.7,0.471,0.8,1.7,0.471,0.0,0.0,0.0,0.2,0.3,0.667,0.8,0.8,1.6,0.2,0.1,0.1,0.2,0.4,1.8,1.64,0.0,0.491,0.471,0.0,0.118,20.05,27.883,29.5,1.767,0.35,0.483,5.417,19.833,109.167,95.167,-8.183
2007-08,2008-04-22,MAG,RAP,MAG,3.697,0.727,1.545,0.471,0.727,1.545,0.471,0.0,0.0,0.0,0.182,0.273,0.667,0.727,0.727,1.455,0.182,0.091,0.091,0.182,0.364,1.636,1.491,0.0,0.491,0.471,0.0,0.118,20.05,27.883,29.5,1.767,0.35,0.483,5.417,19.833,109.167,95.167,-8.183
2007-08,2008-04-24,MAG,RAP,RAP,3.738,0.667,1.417,0.471,0.667,1.417,0.471,0.0,0.0,0.0,0.167,0.25,0.667,0.75,0.667,1.417,0.167,0.083,0.083,0.167,0.333,1.5,1.425,-0.417,0.491,0.471,0.0,0.118,20.529,23.9,27.143,1.514,0.3,0.414,4.643,17.0,125.286,98.714,-7.543
2007-08,2008-04-26,MAG,RAP,RAP,3.898,0.692,1.385,0.5,0.692,1.385,0.5,0.0,0.0,0.0,0.154,0.231,0.667,0.692,0.615,1.308,0.154,0.077,0.077,0.154,0.385,1.538,1.415,0.077,0.518,0.5,0.0,0.111,17.962,20.912,23.75,1.325,0.262,0.362,4.062,15.913,134.625,102.875,-6.425
2007-08,2008-04-28,MAG,RAP,MAG,4.35,0.643,1.286,0.5,0.643,1.286,0.5,0.0,0.0,0.0,0.143,0.214,0.667,0.643,0.643,1.286,0.143,0.071,0.071,0.286,0.5,1.429,1.136,-0.143,0.518,0.5,0.0,0.111,15.967,19.7,21.689,1.178,0.233,0.322,14.722,15.122,119.667,103.333,-7.544
2007-08,2008-05-03,MAG,PIS,PIS,4.321,0.6,1.2,0.5,0.6,1.2,0.5,0.0,0.0,0.0,0.133,0.2,0.667,0.6,0.667,1.267,0.133,0.067,0.067,0.267,0.467,1.333,1.08,-0.133,0.518,0.5,0.0,0.111,14.37,20.28,20.85,1.06,0.21,0.29,13.25,13.61,107.7,103.6,-6.91
2007-08,2008-05-05,MAG,PIS,PIS,4.834,0.625,1.25,0.5,0.625,1.25,0.5,0.0,0.0,0.0,0.125,0.188,0.667,0.562,0.75,1.312,0.125,0.062,0.125,0.312,0.5,1.375,1.069,-0.312,0.516,0.5,0.0,0.1,13.064,20.1,19.755,0.964,0.191,0.718,15.073,13.464,103.545,103.818,-6.645
