SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,PIS,HEA,HEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-24,2023-10-27,PIS,HOR,HOR,5.19,1.5,2.0,0.75,0.5,0.5,1.0,1.0,1.5,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.0,4.0,3.35,1.0,1.0,1.0,0.75,0.0,0.0,16.8,8.9,17.0,0.0,0.0,20.0,20.2,138.0,113.0,12.2
2023-24,2023-10-28,PIS,BUL,PIS,5.983,1.0,1.667,0.6,0.333,0.333,1.0,0.667,1.333,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.667,0.0,0.0,0.667,0.333,2.667,1.867,1.667,0.8,0.8,0.8,0.0,0.0,14.5,7.8,16.45,0.0,0.0,35.0,15.3,83.0,105.5,-1.9
2023-24,2023-10-30,PIS,THU,THU,5.98,1.0,1.75,0.571,0.5,0.5,1.0,0.5,1.25,0.4,0.0,0.0,0.0,0.25,1.25,1.5,0.75,0.0,0.0,0.5,0.25,2.5,2.15,1.75,0.714,0.714,0.714,0.0,7.667,20.167,14.567,18.233,0.0,0.0,23.333,15.1,105.333,106.333,-0.167
2023-24,2023-11-01,PIS,BLA,PIS,7.59,1.2,2.2,0.545,0.4,0.8,0.5,0.8,1.4,0.571,0.0,0.0,0.0,0.2,1.4,1.6,1.0,0.2,0.0,0.4,0.4,3.2,3.04,1.2,0.727,0.727,0.636,0.0,5.75,20.15,12.925,19.0,0.825,0.0,17.5,14.225,117.75,109.25,1.625
2023-24,2023-11-02,PIS,PEL,PEL,10.222,1.667,2.833,0.588,1.0,1.5,0.667,0.667,1.333,0.5,0.0,0.0,0.0,0.167,1.667,1.833,1.833,0.833,0.167,0.333,0.833,4.0,4.867,1.167,0.706,0.706,0.471,0.0,4.6,19.28,11.84,22.94,2.24,0.68,14.0,13.56,125.0,105.8,3.86
2023-24,2023-11-05,PIS,SUN,PIS,12.101,2.286,3.857,0.593,1.0,1.571,0.636,1.286,2.286,0.563,0.286,0.286,1.0,0.286,1.571,1.857,2.0,0.857,0.143,0.286,1.0,6.143,6.7,-1.0,0.771,0.759,0.593,0.074,4.55,17.017,10.683,22.7,2.217,0.567,11.667,14.367,135.333,109.667,5.95
2023-24,2023-11-06,PIS,WAR,PIS,14.311,3.125,5.375,0.581,1.5,2.625,0.571,1.625,2.75,0.591,0.25,0.25,1.0,0.25,1.75,2.0,2.25,0.875,0.125,0.25,1.25,8.125,8.1,-0.5,0.741,0.733,0.512,0.047,3.9,16.457,10.071,22.686,2.143,0.486,10.0,15.686,136.571,111.714,6.157
2023-24,2023-11-08,PIS,BUC,BUC,16.408,3.111,5.889,0.528,1.556,2.889,0.538,1.556,3.0,0.519,0.222,0.222,1.0,0.222,1.889,2.111,2.444,0.889,0.111,0.444,1.667,8.0,7.411,-2.444,0.668,0.66,0.509,0.038,3.412,15.512,9.462,22.0,2.062,0.425,10.838,15.825,129.125,113.75,3.762
2023-24,2023-11-10,PIS,76E,PIS,17.615,3.9,7.0,0.557,2.2,3.6,0.611,1.7,3.4,0.5,0.3,0.3,1.0,0.2,2.3,2.5,2.4,0.9,0.1,0.7,1.6,9.8,8.6,-1.7,0.687,0.679,0.486,0.043,3.033,16.178,9.678,20.822,2.011,0.378,11.267,17.2,128.333,113.333,4.133
