SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,KNI,GRI,GRI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07,2006-11-03,KNI,HAW,HAW,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,-5.1
2006-07,2006-11-04,KNI,PAC,KNI,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,-4.75
2006-07,2006-11-06,KNI,SPU,KNI,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,-4.75
2006-07,2006-11-08,KNI,NUG,NUG,1.958,0.6,0.8,0.75,0.6,0.6,1.0,0.0,0.2,0.0,0.4,0.6,0.667,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.6,1.32,1.2,0.752,0.75,0.25,0.5,0.0,0.0,0.0,0.0,1.767,0.0,0.0,8.6,50.333,112.667,2.467
2006-07,2006-11-10,KNI,ROC,ROC,1.632,0.5,0.667,0.75,0.5,0.5,1.0,0.0,0.167,0.0,0.333,0.5,0.667,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,1.333,1.1,1.0,0.752,0.75,0.25,0.5,0.0,0.0,0.0,0.0,1.767,0.0,0.0,8.6,50.333,112.667,2.467
2006-07,2006-11-11,KNI,SPU,SPU,1.399,0.429,0.571,0.75,0.429,0.429,1.0,0.0,0.143,0.0,0.286,0.429,0.667,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.143,1.143,0.943,0.857,0.752,0.75,0.25,0.5,0.0,0.0,0.0,0.0,1.767,0.0,0.0,8.6,50.333,112.667,2.467
2006-07,2006-11-13,KNI,CAV,KNI,1.245,0.375,0.5,0.75,0.375,0.375,1.0,0.0,0.125,0.0,0.25,0.375,0.667,0.0,0.125,0.125,0.0,0.125,0.0,0.125,0.125,1.0,0.737,0.75,0.752,0.75,0.25,0.5,0.0,25.0,25.0,0.0,1.325,0.0,25.0,31.45,37.75,77.5,-60.45
2006-07,2006-11-15,KNI,WIZ,KNI,1.107,0.333,0.444,0.75,0.333,0.333,1.0,0.0,0.111,0.0,0.222,0.333,0.667,0.0,0.111,0.111,0.0,0.111,0.0,0.111,0.111,0.889,0.656,0.667,0.752,0.75,0.25,0.5,0.0,25.0,25.0,0.0,1.325,0.0,25.0,31.45,37.75,77.5,-60.45
2006-07,2006-11-17,KNI,HEA,HEA,1.229,0.3,0.4,0.75,0.3,0.3,1.0,0.0,0.1,0.0,0.3,0.5,0.6,0.0,0.4,0.4,0.0,0.1,0.0,0.2,0.1,0.9,0.64,0.4,0.726,0.75,0.25,0.75,0.0,40.0,33.56,0.0,1.06,0.0,30.64,32.04,40.6,70.4,-50.9
2006-07,2006-11-18,KNI,CEL,KNI,1.793,0.273,0.636,0.429,0.273,0.455,0.6,0.0,0.182,0.0,0.273,0.455,0.6,0.0,0.364,0.364,0.0,0.091,0.0,0.273,0.273,0.818,0.227,-0.091,0.489,0.429,0.286,0.429,0.0,33.333,27.967,0.0,0.883,0.0,29.7,30.983,33.833,74.167,-48.067
2006-07,2006-11-24,KNI,CEL,CEL,1.672,0.25,0.583,0.429,0.25,0.417,0.6,0.0,0.167,0.0,0.25,0.417,0.6,0.0,0.333,0.333,0.0,0.083,0.0,0.25,0.25,0.75,0.208,0.083,0.489,0.429,0.286,0.429,0.0,28.571,23.971,0.0,0.757,0.0,25.457,26.557,29.0,82.0,-42.229
2006-07,2006-11-25,KNI,BUL,KNI,1.822,0.231,0.615,0.375,0.231,0.385,0.6,0.0,0.231,0.0,0.231,0.385,0.6,0.0,0.308,0.308,0.0,0.077,0.0,0.231,0.231,0.692,0.138,0.077,0.441,0.375,0.375,0.375,0.0,25.0,20.975,0.0,0.662,0.0,22.275,24.9,25.375,83.75,-39.088
2006-07,2006-11-28,KNI,BUL,BUL,1.694,0.214,0.571,0.375,0.214,0.357,0.6,0.0,0.214,0.0,0.214,0.357,0.6,0.0,0.286,0.286,0.0,0.071,0.0,0.214,0.286,0.643,0.1,-0.071,0.441,0.375,0.375,0.375,0.0,22.222,18.644,0.0,0.589,0.0,19.8,22.133,22.556,70.333,-96.311
2006-07,2006-11-29,KNI,CAV,CAV,1.673,0.267,0.667,0.4,0.267,0.467,0.571,0.0,0.2,0.0,0.2,0.333,0.6,0.0,0.267,0.267,0.0,0.067,0.0,0.2,0.267,0.733,0.16,-0.133,0.451,0.4,0.3,0.3,0.0,20.0,16.78,0.0,0.53,0.0,17.82,26.66,31.1,75.1,-86.29
2006-07,2006-12-01,KNI,PIS,PIS,1.572,0.25,0.688,0.364,0.25,0.438,0.571,0.0,0.25,0.0,0.188,0.312,0.6,0.0,0.25,0.25,0.0,0.062,0.0,0.188,0.25,0.688,0.106,-0.312,0.417,0.364,0.364,0.273,0.0,18.182,15.255,0.0,0.482,0.0,16.2,33.327,28.273,79.182,-145.209
2006-07,2006-12-02,KNI,RAP,KNI,1.492,0.235,0.647,0.364,0.235,0.412,0.571,0.0,0.235,0.0,0.176,0.294,0.6,0.0,0.235,0.235,0.0,0.059,0.0,0.176,0.235,0.647,0.1,-0.471,0.417,0.364,0.364,0.273,0.0,16.667,13.983,0.0,0.442,0.0,14.85,30.55,25.917,83.167,-133.8
2006-07,2006-12-04,KNI,GRI,KNI,1.409,0.222,0.611,0.364,0.222,0.389,0.571,0.0,0.222,0.0,0.167,0.278,0.6,0.0,0.222,0.222,0.0,0.056,0.0,0.167,0.222,0.611,0.094,-0.444,0.417,0.364,0.364,0.273,0.0,16.667,13.983,0.0,0.442,0.0,14.85,30.55,25.917,83.167,-133.8
2006-07,2006-12-06,KNI,WIZ,KNI,1.335,0.211,0.579,0.364,0.211,0.368,0.571,0.0,0.211,0.0,0.158,0.263,0.6,0.0,0.211,0.211,0.0,0.053,0.0,0.158,0.211,0.579,0.089,-0.421,0.417,0.364,0.364,0.273,0.0,16.667,13.983,0.0,0.442,0.0,14.85,30.55,25.917,83.167,-133.8
2006-07,2006-12-09,KNI,BUC,KNI,1.461,0.3,0.65,0.462,0.3,0.45,0.667,0.0,0.2,0.0,0.3,0.45,0.667,0.0,0.2,0.2,0.0,0.05,0.0,0.15,0.25,0.9,0.365,-0.05,0.531,0.462,0.308,0.462,0.0,15.385,12.908,0.0,0.408,0.0,13.708,31.362,38.692,86.692,-121.038
2006-07,2006-12-11,KNI,CEL,KNI,1.429,0.286,0.619,0.462,0.286,0.429,0.667,0.0,0.19,0.0,0.286,0.429,0.667,0.0,0.19,0.19,0.0,0.048,0.0,0.143,0.238,0.857,0.348,-0.143,0.531,0.462,0.308,0.462,0.0,14.286,11.986,0.0,0.379,0.0,12.729,29.121,35.929,89.5,-112.993
2006-07,2006-12-13,KNI,HAW,KNI,1.364,0.273,0.591,0.462,0.273,0.409,0.667,0.0,0.182,0.0,0.273,0.409,0.667,0.0,0.182,0.182,0.0,0.045,0.0,0.136,0.227,0.818,0.332,-0.136,0.531,0.462,0.308,0.462,0.0,14.286,11.986,0.0,0.379,0.0,12.729,29.121,35.929,89.5,-112.993
2006-07,2006-12-15,KNI,PAC,PAC,1.703,0.304,0.826,0.368,0.304,0.652,0.467,0.0,0.174,0.0,0.261,0.391,0.667,0.043,0.217,0.261,0.0,0.043,0.0,0.13,0.217,0.87,0.283,-0.696,0.436,0.368,0.211,0.316,0.973,14.127,12.06,0.0,0.353,0.0,11.88,29.24,37.4,90.533,-106.873
2006-07,2006-12-16,KNI,NUG,KNI,2.332,0.375,1.0,0.375,0.375,0.833,0.45,0.0,0.167,0.0,0.25,0.417,0.6,0.083,0.25,0.333,0.042,0.042,0.0,0.25,0.417,1.0,0.171,-0.333,0.423,0.375,0.167,0.25,1.338,13.7,11.75,0.681,0.331,0.0,13.356,28.838,38.688,92.812,-101.438
2006-07,2006-12-31,KNI,CLI,CLI,2.271,0.36,0.96,0.375,0.36,0.8,0.45,0.0,0.16,0.0,0.24,0.4,0.6,0.08,0.24,0.32,0.04,0.04,0.0,0.24,0.44,0.96,0.148,-0.44,0.423,0.375,0.167,0.25,1.259,12.894,11.059,0.641,0.312,0.0,12.571,27.141,36.412,95.412,-97.394
2006-07,2007-01-02,KNI,KIN,KIN,3.027,0.5,1.269,0.394,0.385,0.885,0.435,0.115,0.385,0.3,0.231,0.385,0.6,0.077,0.308,0.385,0.038,0.115,0.0,0.231,0.462,1.346,0.469,-0.423,0.468,0.439,0.303,0.182,1.189,12.961,10.767,0.606,0.578,0.0,11.872,26.65,41.5,95.556,-91.306
2006-07,2007-01-03,KNI,BLA,BLA,3.175,0.481,1.296,0.371,0.37,0.889,0.417,0.111,0.407,0.273,0.222,0.37,0.6,0.074,0.333,0.407,0.037,0.111,0.0,0.222,0.444,1.296,0.411,-0.556,0.444,0.414,0.314,0.171,1.126,13.474,10.705,0.574,0.547,0.0,11.247,25.9,39.316,97.263,-87.5
