SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-03,CEL,RAP,CEL,1.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,250.0,101.0,9.2
2000-01,2000-11-04,CEL,CAV,CAV,3.763,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.667,1.0,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.667,0.533,4.0,0.532,0.0,0.0,2.0,6.8,0.0,3.65,0.0,0.0,0.0,0.0,9.35,153.5,104.5,-0.85
2000-01,2000-11-07,CEL,RAP,RAP,3.128,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.125,3.75,0.347,0.0,0.0,1.0,4.533,0.0,2.433,0.0,0.0,0.0,0.0,20.4,102.333,103.0,-17.067
2000-01,2000-11-10,CEL,KNI,CEL,4.628,0.2,1.0,0.2,0.2,1.0,0.2,0.0,0.0,0.0,0.4,0.4,1.0,0.4,0.2,0.6,0.0,0.0,0.6,0.0,0.8,0.8,0.62,1.8,0.34,0.2,0.0,0.4,5.275,3.4,4.25,0.0,0.0,5.2,0.0,18.125,97.25,102.25,-13.05
2000-01,2000-11-11,CEL,76E,76E,4.487,0.167,0.833,0.2,0.167,0.833,0.2,0.0,0.0,0.0,0.333,0.333,1.0,0.333,0.167,0.5,0.0,0.167,0.5,0.0,0.667,0.667,0.683,0.5,0.34,0.2,0.0,0.4,4.22,2.72,3.4,0.0,2.76,4.16,0.0,14.5,77.8,99.0,-8.56
2000-01,2000-11-15,CEL,WIZ,CEL,4.249,0.143,0.714,0.2,0.143,0.714,0.2,0.0,0.0,0.0,0.286,0.286,1.0,0.286,0.143,0.429,0.0,0.143,0.429,0.0,0.714,0.571,0.529,-0.286,0.34,0.2,0.0,0.4,3.517,2.267,2.833,0.0,2.3,3.467,0.0,12.083,64.833,99.333,-8.967
2000-01,2000-11-17,CEL,HAW,CEL,3.718,0.125,0.625,0.2,0.125,0.625,0.2,0.0,0.0,0.0,0.25,0.25,1.0,0.25,0.125,0.375,0.0,0.125,0.375,0.0,0.625,0.5,0.462,-0.25,0.34,0.2,0.0,0.4,3.517,2.267,2.833,0.0,2.3,3.467,0.0,12.083,64.833,99.333,-8.967
2000-01,2000-11-18,CEL,WIZ,WIZ,3.304,0.111,0.556,0.2,0.111,0.556,0.2,0.0,0.0,0.0,0.222,0.222,1.0,0.222,0.111,0.333,0.0,0.111,0.333,0.0,0.556,0.444,0.411,-0.222,0.34,0.2,0.0,0.4,3.517,2.267,2.833,0.0,2.3,3.467,0.0,12.083,64.833,99.333,-8.967
2000-01,2000-11-20,CEL,76E,CEL,4.021,0.1,0.6,0.167,0.1,0.6,0.167,0.0,0.0,0.0,0.2,0.2,1.0,0.3,0.3,0.6,0.1,0.4,0.4,0.0,0.6,0.4,0.83,0.5,0.291,0.167,0.0,0.333,4.471,6.1,5.0,2.214,4.186,4.014,0.0,10.986,68.0,96.286,-5.8
2000-01,2000-11-22,CEL,ROC,CEL,3.875,0.091,0.545,0.167,0.091,0.545,0.167,0.0,0.0,0.0,0.182,0.182,1.0,0.273,0.273,0.545,0.091,0.364,0.364,0.0,0.545,0.364,0.755,0.091,0.291,0.167,0.0,0.333,3.912,5.338,4.375,1.938,3.662,3.512,0.0,9.612,59.5,99.625,-5.638
2000-01,2000-11-24,CEL,MAG,CEL,4.082,0.083,0.583,0.143,0.083,0.583,0.143,0.0,0.0,0.0,0.167,0.167,1.0,0.25,0.417,0.667,0.167,0.333,0.417,0.083,0.583,0.333,0.683,-0.417,0.254,0.143,0.0,0.286,3.478,7.711,5.667,4.267,3.256,4.378,5.556,10.178,55.556,96.889,-5.489
2000-01,2000-11-26,CEL,VGR,CEL,3.768,0.077,0.538,0.143,0.077,0.538,0.143,0.0,0.0,0.0,0.154,0.154,1.0,0.231,0.385,0.615,0.154,0.308,0.385,0.077,0.538,0.308,0.631,-0.385,0.254,0.143,0.0,0.286,3.478,7.711,5.667,4.267,3.256,4.378,5.556,10.178,55.556,96.889,-5.489
2000-01,2000-12-28,CEL,NNE,NNE,3.668,0.071,0.5,0.143,0.071,0.5,0.143,0.0,0.0,0.0,0.143,0.143,1.0,0.214,0.429,0.643,0.143,0.286,0.357,0.071,0.5,0.286,0.607,-0.714,0.254,0.143,0.0,0.286,3.13,12.27,7.77,3.84,2.93,3.94,5.0,9.16,50.0,96.2,-5.29
2000-01,2000-12-30,CEL,MAG,CEL,3.89,0.067,0.533,0.125,0.067,0.533,0.125,0.0,0.0,0.0,0.2,0.267,0.75,0.267,0.467,0.733,0.133,0.267,0.333,0.2,0.6,0.333,0.44,-0.667,0.256,0.125,0.0,0.375,4.927,13.164,9.109,3.491,2.664,3.582,9.227,10.645,49.455,99.091,-7.736
2000-01,2001-01-02,CEL,HAW,HAW,3.814,0.062,0.625,0.1,0.062,0.625,0.1,0.0,0.0,0.0,0.188,0.25,0.75,0.25,0.438,0.688,0.125,0.25,0.312,0.25,0.688,0.312,0.212,-1.125,0.213,0.1,0.0,0.3,4.517,12.067,8.35,3.2,2.442,3.283,11.233,13.717,45.333,100.167,-12.85
2000-01,2001-01-03,CEL,KNI,CEL,4.329,0.118,0.706,0.167,0.118,0.706,0.167,0.0,0.0,0.0,0.294,0.353,0.833,0.294,0.471,0.765,0.118,0.294,0.353,0.294,0.765,0.529,0.429,-1.059,0.307,0.167,0.0,0.417,4.8,12.023,8.446,2.954,2.577,3.469,12.354,13.738,50.615,99.846,-11.631
2000-01,2001-01-05,CEL,WAR,CEL,5.059,0.167,0.778,0.214,0.167,0.778,0.214,0.0,0.0,0.0,0.278,0.333,0.833,0.333,0.556,0.889,0.111,0.278,0.444,0.333,0.833,0.611,0.511,-0.611,0.331,0.214,0.0,0.357,4.871,12.579,8.629,2.743,2.393,3.986,13.85,13.3,52.429,100.714,-11.229
2000-01,2001-01-06,CEL,HEA,HEA,5.623,0.211,1.105,0.19,0.211,1.105,0.19,0.0,0.0,0.0,0.263,0.316,0.833,0.474,0.579,1.053,0.211,0.263,0.526,0.474,1.0,0.684,0.384,-0.474,0.275,0.19,0.0,0.238,5.68,12.28,8.94,3.853,2.233,4.293,14.927,14.22,51.867,101.2,-11.807
2000-01,2001-01-08,CEL,BLA,CEL,6.463,0.3,1.25,0.24,0.3,1.25,0.24,0.0,0.0,0.0,0.25,0.3,0.833,0.55,0.6,1.15,0.25,0.35,0.65,0.45,1.05,0.85,0.75,-1.55,0.308,0.24,0.0,0.2,5.956,11.925,8.919,4.019,2.412,4.719,13.994,13.856,57.062,101.938,-10.688
2000-01,2001-01-10,CEL,HEA,CEL,7.216,0.476,1.429,0.333,0.476,1.429,0.333,0.0,0.0,0.0,0.238,0.286,0.833,0.714,0.619,1.333,0.238,0.333,0.762,0.571,1.143,1.19,1.052,-1.429,0.383,0.333,0.0,0.167,6.8,11.524,9.141,3.782,2.271,5.065,15.376,13.929,59.529,102.529,-10.165
2000-01,2001-01-12,CEL,RAP,CEL,7.577,0.545,1.455,0.375,0.545,1.455,0.375,0.0,0.0,0.0,0.227,0.273,0.833,0.727,0.773,1.5,0.273,0.364,0.818,0.591,1.273,1.318,1.268,-1.136,0.419,0.375,0.0,0.156,6.917,12.756,9.833,4.239,2.361,5.522,16.372,13.706,63.389,100.944,-9.017
2000-01,2001-01-15,CEL,TIM,TIM,8.146,0.522,1.435,0.364,0.522,1.435,0.364,0.0,0.0,0.0,0.217,0.348,0.625,0.739,0.826,1.565,0.348,0.348,0.826,0.609,1.435,1.261,1.165,-1.739,0.397,0.364,0.0,0.152,6.795,12.668,9.711,4.816,2.237,5.416,17.337,13.305,61.947,101.316,-9.021
2000-01,2001-01-17,CEL,KIN,KIN,9.181,0.667,1.625,0.41,0.667,1.625,0.41,0.0,0.0,0.0,0.292,0.458,0.636,0.792,0.875,1.667,0.333,0.375,0.833,0.625,1.583,1.625,1.438,-1.167,0.445,0.41,0.0,0.179,6.82,12.43,9.605,4.575,2.2,5.275,17.07,13.185,65.15,101.6,-8.65
2000-01,2001-01-18,CEL,CLI,CLI,9.769,0.68,1.68,0.405,0.68,1.68,0.405,0.0,0.0,0.0,0.28,0.44,0.636,0.76,0.96,1.72,0.32,0.4,0.92,0.68,1.64,1.64,1.424,-1.4,0.438,0.405,0.0,0.167,6.495,12.676,9.567,4.357,2.2,5.552,18.162,13.014,63.857,102.286,-8.757
2000-01,2001-01-21,CEL,WAR,WAR,10.152,0.731,1.769,0.413,0.731,1.769,0.413,0.0,0.0,0.0,0.269,0.423,0.636,0.769,1.038,1.808,0.308,0.385,0.923,0.654,1.769,1.731,1.458,-0.846,0.443,0.413,0.0,0.152,6.436,12.755,9.586,4.159,2.1,5.468,17.336,12.841,66.136,101.727,-8.695
2000-01,2001-01-23,CEL,HAW,CEL,10.574,0.852,1.963,0.434,0.852,1.963,0.434,0.0,0.0,0.0,0.259,0.407,0.636,0.741,1.0,1.741,0.296,0.481,0.926,0.741,1.889,1.963,1.53,-1.519,0.458,0.434,0.0,0.132,6.157,12.2,9.17,3.978,2.3,5.404,17.887,13.152,66.348,101.261,-8.591
2000-01,2001-01-26,CEL,SUN,CEL,10.799,0.821,2.071,0.397,0.821,2.071,0.397,0.0,0.0,0.0,0.25,0.393,0.636,0.786,1.0,1.786,0.286,0.464,0.929,0.857,1.929,1.893,1.25,-1.464,0.422,0.397,0.0,0.121,6.362,12.038,9.204,3.812,2.204,5.367,18.992,13.571,64.042,101.125,-9.483
2000-01,2001-01-29,CEL,PIS,CEL,11.263,0.862,2.207,0.391,0.862,2.207,0.391,0.0,0.0,0.0,0.241,0.379,0.636,0.828,1.069,1.897,0.379,0.483,1.0,0.862,1.966,1.966,1.41,-1.172,0.414,0.391,0.0,0.109,6.472,12.128,9.3,4.488,2.2,5.564,18.804,13.548,65.04,100.32,-8.972
2000-01,2001-01-31,CEL,PAC,PAC,11.822,0.967,2.333,0.414,0.967,2.333,0.414,0.0,0.0,0.0,0.3,0.5,0.6,0.933,1.1,2.033,0.4,0.467,1.067,0.833,2.033,2.233,1.737,-1.033,0.437,0.414,0.0,0.129,6.915,12.019,9.469,4.542,2.115,5.642,18.081,13.508,68.192,99.962,-8.477
2000-01,2001-02-02,CEL,PIS,PIS,12.142,1.097,2.484,0.442,1.097,2.484,0.442,0.0,0.0,0.0,0.323,0.548,0.588,1.065,1.129,2.194,0.387,0.452,1.097,0.806,2.129,2.516,2.042,-1.355,0.462,0.442,0.0,0.13,7.589,11.937,9.763,4.374,2.037,5.678,17.411,13.626,71.37,99.963,-7.978
2000-01,2001-02-04,CEL,CAV,CEL,12.234,1.062,2.438,0.436,1.062,2.438,0.436,0.0,0.0,0.0,0.312,0.531,0.588,1.031,1.25,2.281,0.406,0.469,1.125,0.844,2.188,2.438,1.987,-1.625,0.456,0.436,0.0,0.128,7.318,12.725,10.104,4.511,2.086,5.818,19.171,13.475,69.536,99.321,-7.832
2000-01,2001-02-05,CEL,RAP,RAP,12.49,1.121,2.515,0.446,1.121,2.515,0.446,0.0,0.0,0.0,0.394,0.606,0.65,1.061,1.303,2.364,0.424,0.455,1.182,0.879,2.212,2.636,2.188,-1.273,0.474,0.446,0.0,0.157,7.407,12.848,10.203,4.6,2.014,5.959,19.338,13.634,71.241,98.931,-7.534
2000-01,2001-02-07,CEL,BUC,CEL,12.603,1.118,2.5,0.447,1.118,2.5,0.447,0.0,0.0,0.0,0.382,0.647,0.591,1.029,1.294,2.324,0.412,0.441,1.147,0.853,2.206,2.618,2.115,-1.176,0.47,0.447,0.0,0.153,7.16,12.707,10.0,4.447,1.947,5.76,18.693,13.477,70.967,99.833,-7.7
2000-01,2001-02-13,CEL,VGR,VGR,12.975,1.2,2.6,0.462,1.2,2.6,0.462,0.0,0.0,0.0,0.371,0.629,0.591,1.114,1.429,2.543,0.4,0.429,1.143,0.886,2.2,2.771,2.28,-1.114,0.482,0.462,0.0,0.143,7.387,12.984,10.252,4.303,1.884,5.681,18.897,13.506,72.258,99.742,-7.529
2000-01,2001-02-15,CEL,SUP,SUP,13.237,1.222,2.583,0.473,1.222,2.583,0.473,0.0,0.0,0.0,0.389,0.639,0.609,1.111,1.444,2.556,0.417,0.417,1.139,0.889,2.194,2.833,2.364,-0.861,0.495,0.473,0.0,0.151,7.297,13.031,10.191,4.391,1.825,5.625,19.216,13.306,74.656,99.969,-7.319
2000-01,2001-02-17,CEL,BLA,BLA,13.185,1.27,2.595,0.49,1.27,2.595,0.49,0.0,0.0,0.0,0.378,0.622,0.609,1.108,1.432,2.541,0.405,0.432,1.135,0.865,2.243,2.919,2.468,-0.514,0.509,0.49,0.0,0.146,7.433,13.036,10.261,4.258,1.912,5.691,18.633,13.288,78.576,99.485,-6.855
2000-01,2001-02-19,CEL,JAZ,JAZ,13.422,1.289,2.632,0.49,1.289,2.632,0.49,0.0,0.0,0.0,0.421,0.658,0.64,1.132,1.447,2.579,0.395,0.421,1.105,0.842,2.263,3.0,2.529,-0.368,0.514,0.49,0.0,0.16,7.5,13.021,10.279,4.132,1.856,5.524,18.085,13.229,80.412,99.5,-6.729
2000-01,2001-02-20,CEL,ROC,ROC,13.797,1.256,2.615,0.48,1.256,2.615,0.48,0.0,0.0,0.0,0.41,0.641,0.64,1.103,1.513,2.615,0.385,0.436,1.205,0.821,2.333,2.923,2.523,-0.462,0.504,0.48,0.0,0.157,7.286,13.137,10.223,4.014,1.854,5.749,17.569,12.946,78.114,99.886,-6.637
2000-01,2001-02-22,CEL,MAV,MAV,14.001,1.275,2.6,0.49,1.275,2.6,0.49,0.0,0.0,0.0,0.4,0.625,0.64,1.125,1.575,2.7,0.375,0.45,1.275,0.825,2.325,2.95,2.66,-0.5,0.513,0.49,0.0,0.154,7.411,13.322,10.389,3.903,1.867,5.922,18.006,12.764,79.611,99.778,-6.244
2000-01,2001-02-23,CEL,SPU,SPU,13.986,1.366,2.707,0.505,1.366,2.707,0.505,0.0,0.0,0.0,0.39,0.61,0.64,1.195,1.61,2.805,0.366,0.439,1.268,0.854,2.317,3.122,2.807,-0.634,0.525,0.505,0.0,0.144,8.097,13.711,10.93,3.797,1.816,5.919,18.119,13.273,80.486,99.919,-5.954
