SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,RAP,PIS,RAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,RAP,76E,76E,14.875,0.5,2.5,0.2,0.5,1.5,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,6.0,0.5,1.0,1.0,0.0,1.0,4.65,-4.5,0.2,0.2,0.4,0.0,3.0,12.3,6.9,57.5,1.6,4.0,28.6,9.2,91.0,106.0,2.0
2000-01,2000-11-03,RAP,CEL,CEL,23.89,2.667,6.0,0.444,2.0,3.333,0.6,0.667,2.667,0.25,0.0,0.0,0.0,0.667,2.667,3.333,8.0,1.0,0.667,1.667,1.333,6.0,9.0,-3.0,0.5,0.5,0.444,0.0,2.85,13.1,7.6,50.85,2.05,2.0,23.7,12.9,108.5,110.0,3.75
2000-01,2000-11-04,RAP,WIZ,RAP,26.105,2.75,6.25,0.44,2.25,3.75,0.6,0.5,2.5,0.2,0.5,0.5,1.0,1.0,3.25,4.25,9.0,0.75,0.5,2.5,1.25,6.5,9.3,-2.25,0.502,0.48,0.4,0.08,4.467,14.233,9.2,53.533,1.367,1.333,28.733,14.4,104.333,108.0,2.5
2000-01,2000-11-07,RAP,CEL,RAP,26.824,2.4,6.0,0.4,2.0,3.6,0.556,0.4,2.4,0.167,0.4,0.4,1.0,0.8,3.2,4.0,9.6,0.6,0.4,2.2,1.0,5.6,8.88,-1.4,0.453,0.433,0.4,0.067,3.35,13.35,8.35,54.525,1.025,1.0,25.725,13.0,104.5,107.25,1.525
2000-01,2000-11-10,RAP,CAV,RAP,27.883,2.0,5.833,0.343,1.667,3.333,0.5,0.333,2.5,0.133,1.167,1.333,0.875,0.667,3.5,4.167,10.5,0.833,0.333,2.167,1.0,5.5,9.517,6.5,0.428,0.371,0.429,0.2,2.68,13.18,8.3,55.42,1.42,0.8,24.72,13.04,105.4,101.4,1.98
2000-01,2000-11-11,RAP,BUL,BUL,28.019,2.429,6.0,0.405,1.571,3.143,0.5,0.857,2.857,0.3,1.429,1.571,0.909,0.857,3.0,3.857,9.857,1.0,0.286,2.286,1.0,7.143,10.771,9.286,0.534,0.476,0.476,0.238,3.717,10.983,7.583,50.683,1.783,0.667,25.017,13.733,113.167,100.833,3.783
2000-01,2000-11-16,RAP,BLA,RAP,29.479,2.5,6.125,0.408,1.75,3.25,0.538,0.75,2.875,0.261,1.375,1.5,0.917,0.875,3.125,4.0,9.75,0.875,0.25,2.5,1.0,7.125,10.312,10.625,0.525,0.469,0.469,0.224,3.643,11.043,7.571,47.8,1.529,0.571,26.443,13.786,110.286,99.429,2.314
2000-01,2000-11-18,RAP,BUC,RAP,29.412,2.222,5.889,0.377,1.556,3.0,0.519,0.667,2.889,0.231,1.222,1.333,0.917,0.778,2.778,3.556,9.444,0.889,0.222,2.444,0.889,6.333,9.289,8.889,0.489,0.434,0.491,0.208,3.188,9.663,6.625,46.5,1.575,0.5,27.3,13.238,102.0,99.75,1.063
2000-01,2000-11-20,RAP,CHO,RAP,30.489,2.4,5.9,0.407,1.7,3.1,0.548,0.7,2.8,0.25,1.5,1.6,0.938,0.7,3.1,3.8,9.7,0.8,0.2,2.3,0.9,7.0,10.28,9.3,0.53,0.466,0.475,0.254,2.833,10.289,6.833,47.211,1.4,0.444,25.533,12.867,109.667,101.667,1.511
