SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,LAK,BLA,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01,2000-11-01,LAK,JAZ,LAK,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,-3.3
2000-01,2000-11-04,LAK,VGR,VGR,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.233,-0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,105.0,2.5
2000-01,2000-11-05,LAK,CLI,LAK,1.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.175,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.033,0.0,0.0,0.0,104.667,-0.4
2000-01,2000-11-07,LAK,ROC,ROC,0.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.14,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.033,0.0,0.0,0.0,104.667,-0.4
2000-01,2000-11-08,LAK,SPU,SPU,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.117,-0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.033,0.0,0.0,0.0,104.667,-0.4
2000-01,2000-11-12,LAK,ROC,LAK,0.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.1,-1.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.275,0.0,0.0,0.0,107.5,-1.475
2000-01,2000-11-14,LAK,NUG,LAK,1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.125,0.125,0.25,0.0,-0.013,-1.0,0.0,0.0,0.0,0.0,6.0,5.72,5.86,0.0,0.0,4.22,20.0,2.1,8.2,107.2,-4.96
2000-01,2000-11-16,LAK,KIN,KIN,1.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.222,0.0,0.0,0.111,0.111,0.444,0.0,-0.1,-0.889,0.0,0.0,0.0,0.0,5.0,4.767,4.883,0.0,0.0,3.517,16.667,1.75,6.833,108.5,-6.967
2000-01,2000-11-18,LAK,NUG,NUG,1.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.4,0.0,-0.09,-0.8,0.0,0.0,0.0,0.0,5.0,4.767,4.883,0.0,0.0,3.517,16.667,1.75,6.833,108.5,-6.967
