SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,2004-01-19,CLI,KIN,CLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-04,2004-01-21,CLI,WAR,CLI,9.865,0.5,2.0,0.25,0.5,1.5,0.333,0.0,0.5,0.0,1.0,1.5,0.667,1.5,2.5,4.0,1.5,0.5,0.0,1.0,1.0,2.0,2.55,-1.5,0.376,0.25,0.25,0.5,15.7,33.3,23.4,19.1,2.5,0.0,27.3,15.7,91.0,127.0,-2.9
2003-04,2004-01-23,CLI,JAZ,CLI,15.127,2.0,6.0,0.333,1.667,4.667,0.357,0.333,1.333,0.25,1.333,2.333,0.571,3.333,2.667,6.0,1.0,1.0,0.0,1.333,2.333,5.667,4.433,0.667,0.403,0.361,0.222,0.222,19.4,23.25,21.1,9.55,3.35,0.0,19.3,21.75,95.5,119.0,-3.5
2003-04,2004-01-24,CLI,SUP,SUP,16.115,1.75,5.0,0.35,1.5,4.0,0.375,0.25,1.0,0.25,1.0,1.75,0.571,2.75,3.0,5.75,0.75,1.25,0.0,1.25,2.75,4.75,3.9,-0.5,0.412,0.375,0.2,0.2,15.3,21.667,18.733,6.367,4.133,0.0,23.967,17.0,90.0,108.0,-3.333
2003-04,2004-01-26,CLI,JAZ,JAZ,18.346,1.6,4.6,0.348,1.4,3.6,0.389,0.2,1.0,0.2,0.8,1.4,0.571,2.4,3.0,5.4,0.8,1.0,0.0,1.2,3.2,4.2,3.04,-0.8,0.403,0.37,0.217,0.174,12.475,19.85,16.225,6.15,3.1,0.0,24.225,14.4,86.75,111.0,-5.125
2003-04,2004-01-27,CLI,BUL,CLI,19.467,1.5,4.667,0.321,1.333,3.667,0.364,0.167,1.0,0.167,1.0,1.5,0.667,2.333,3.333,5.667,1.333,1.0,0.0,1.0,3.167,4.167,3.6,-0.5,0.391,0.339,0.214,0.214,11.94,20.68,16.38,9.42,2.94,0.0,19.38,13.82,92.8,110.6,-3.82
2003-04,2004-01-30,CLI,HEA,HEA,18.66,1.286,4.143,0.31,1.143,3.286,0.348,0.143,0.857,0.167,1.143,1.571,0.727,2.0,3.0,5.0,1.429,0.857,0.0,1.0,3.0,3.857,3.257,-2.429,0.399,0.328,0.207,0.276,9.95,18.417,14.35,10.517,2.45,0.0,21.933,13.033,94.167,110.167,-4.083
2003-04,2004-01-31,CLI,MAG,MAG,20.099,1.25,3.875,0.323,1.125,3.125,0.36,0.125,0.75,0.167,1.375,1.875,0.733,1.875,3.0,4.875,1.375,0.875,0.0,1.25,3.125,4.0,3.138,-3.375,0.426,0.339,0.194,0.355,9.114,17.557,13.486,9.771,2.357,0.0,25.143,12.671,92.857,110.0,-4.1
2003-04,2004-02-02,CLI,HAW,HAW,20.269,1.444,3.889,0.371,1.222,3.111,0.393,0.222,0.778,0.286,1.222,1.667,0.733,1.667,3.333,5.0,1.889,0.778,0.111,1.111,2.889,4.333,4.089,-1.667,0.469,0.4,0.2,0.314,7.975,19.35,14.05,13.725,2.062,0.375,22.0,12.188,105.875,110.125,-1.862
2003-04,2004-02-04,CLI,CEL,CEL,19.557,1.3,3.7,0.351,1.1,3.0,0.367,0.2,0.7,0.286,1.1,1.5,0.733,1.5,3.0,4.5,1.7,0.8,0.1,1.1,2.7,3.9,3.5,-3.3,0.447,0.378,0.189,0.297,7.089,17.2,12.489,12.2,2.289,0.333,23.256,11.933,94.111,109.778,-3.378
