SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,2012-10-31,BLA,LAK,BLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-13,2012-11-02,BLA,THU,THU,11.665,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0,1.5,2.0,1.7,8.5,0.694,0.5,0.0,1.0,0.0,17.6,8.2,5.2,0.0,0.0,0.0,5.5,160.0,116.0,-2.9
2012-13,2012-11-03,BLA,ROC,ROC,12.667,0.333,0.667,0.5,0.333,0.667,0.5,0.0,0.0,0.0,1.667,2.0,0.833,0.0,2.333,2.333,0.333,0.0,0.0,0.333,1.667,2.333,1.8,3.0,0.754,0.5,0.0,2.5,0.0,24.75,11.3,2.6,0.0,0.0,18.1,6.85,136.0,113.5,-3.5
2012-13,2012-11-05,BLA,MAV,MAV,13.67,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.0,0.0,1.5,2.0,0.75,0.25,2.0,2.25,0.25,0.0,0.5,0.25,1.75,2.0,1.9,2.75,0.725,0.5,0.0,3.0,2.133,18.3,9.467,1.733,0.0,3.033,12.067,5.367,140.0,104.667,-3.3
2012-13,2012-11-08,BLA,CLI,BLA,15.536,0.8,1.8,0.444,0.8,1.8,0.444,0.0,0.0,0.0,1.2,1.6,0.75,1.0,2.6,3.6,0.4,0.0,0.6,0.4,1.6,2.8,2.84,0.4,0.559,0.444,0.0,0.667,5.2,23.375,12.625,3.05,0.0,3.175,12.175,7.7,130.75,110.0,-3.15
2012-13,2012-11-10,BLA,SPU,BLA,16.947,1.167,2.167,0.538,1.167,2.167,0.538,0.0,0.0,0.0,1.333,1.667,0.8,1.333,2.667,4.0,0.5,0.167,0.667,0.333,1.833,3.667,4.133,-0.833,0.632,0.538,0.0,0.615,6.96,22.46,13.3,3.98,0.44,3.16,9.74,8.08,140.4,110.8,-1.28
2012-13,2012-11-12,BLA,HAW,BLA,16.451,1.143,2.286,0.5,1.143,2.286,0.5,0.0,0.0,0.0,1.143,1.429,0.8,1.286,2.571,3.857,0.429,0.143,0.571,0.429,1.857,3.429,3.514,-3.143,0.588,0.5,0.0,0.5,7.217,22.55,13.517,3.317,0.367,2.633,12.283,8.85,128.0,112.667,-3.533
2012-13,2012-11-13,BLA,KIN,KIN,16.26,1.125,2.5,0.45,1.125,2.375,0.474,0.0,0.125,0.0,1.25,1.5,0.833,1.25,2.375,3.625,0.375,0.25,0.75,0.5,1.875,3.5,3.475,-3.0,0.554,0.45,0.05,0.5,7.086,20.571,12.629,2.843,0.8,3.771,12.957,9.943,121.571,109.571,-3.371
2012-13,2012-11-16,BLA,ROC,BLA,15.479,1.0,2.222,0.45,1.0,2.111,0.474,0.0,0.111,0.0,1.333,1.556,0.857,1.222,2.222,3.444,0.333,0.222,0.667,0.444,1.667,3.333,3.422,-4.111,0.573,0.45,0.05,0.6,8.113,19.512,12.738,2.488,0.7,3.3,11.338,9.288,137.125,109.25,-2.788
2012-13,2012-11-18,BLA,BUL,BLA,16.606,1.2,2.5,0.48,1.2,2.4,0.5,0.0,0.1,0.0,1.4,1.6,0.875,1.5,2.4,3.9,0.3,0.3,0.7,0.4,1.9,3.8,4.06,-2.5,0.593,0.48,0.04,0.56,9.356,19.389,13.422,2.211,0.844,3.278,10.078,9.389,139.778,109.444,-2.289
2012-13,2012-11-21,BLA,SUN,SUN,15.895,1.091,2.273,0.48,1.091,2.182,0.5,0.0,0.091,0.0,1.273,1.455,0.875,1.364,2.182,3.545,0.273,0.273,0.636,0.455,2.091,3.455,3.455,-2.636,0.593,0.48,0.04,0.56,8.42,17.45,12.08,1.99,0.76,2.95,19.07,8.98,125.8,109.3,-3.87
2012-13,2012-11-23,BLA,TIM,BLA,17.547,1.5,2.833,0.529,1.5,2.75,0.545,0.0,0.083,0.0,1.167,1.333,0.875,1.417,2.25,3.667,0.333,0.417,0.75,0.417,2.167,4.167,4.275,-4.083,0.609,0.529,0.029,0.412,8.255,17.273,11.891,2.345,0.964,3.091,17.336,9.182,127.727,110.364,-3.082
2012-13,2012-11-25,BLA,NET,NET,16.915,1.462,2.846,0.514,1.462,2.769,0.528,0.0,0.077,0.0,1.077,1.231,0.875,1.308,2.077,3.385,0.308,0.385,0.769,0.462,2.231,4.0,3.854,-3.846,0.59,0.514,0.027,0.378,7.567,15.833,10.9,2.15,0.883,3.55,17.975,10.167,121.083,110.5,-4.475
2012-13,2012-11-26,BLA,PIS,PIS,17.754,1.786,3.357,0.532,1.786,3.286,0.543,0.0,0.071,0.0,1.0,1.143,0.875,1.214,2.143,3.357,0.286,0.357,0.786,0.429,2.357,4.571,4.107,-4.071,0.592,0.532,0.021,0.298,6.985,15.538,10.531,1.985,0.815,3.446,16.592,10.677,120.769,110.769,-4.4
2012-13,2012-11-28,BLA,WIZ,WIZ,17.937,1.867,3.4,0.549,1.867,3.333,0.56,0.0,0.067,0.0,1.067,1.2,0.889,1.267,2.133,3.4,0.267,0.333,0.933,0.467,2.267,4.8,4.44,-3.267,0.611,0.549,0.02,0.314,7.129,15.336,10.529,1.843,0.757,3.971,16.621,10.814,122.214,111.286,-3.95
2012-13,2012-11-30,BLA,CEL,CEL,17.669,1.812,3.5,0.518,1.812,3.438,0.527,0.0,0.062,0.0,1.0,1.125,0.889,1.375,2.25,3.625,0.25,0.312,0.875,0.5,2.312,4.625,4.162,-3.188,0.579,0.518,0.018,0.286,8.007,16.993,11.713,1.72,0.707,3.707,16.627,11.433,118.0,110.533,-4.847
