SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-12-29,PIS,KNI,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2022-01-01,PIS,SPU,PIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,2022-01-03,PIS,BUC,BUC,4.357,0.667,1.667,0.4,0.667,1.0,0.667,0.0,0.667,0.0,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.333,0.333,0.667,1.333,0.4,-4.333,0.4,0.4,0.4,0.0,7.1,7.5,7.3,0.0,0.0,6.5,16.7,18.0,81.0,108.0,-11.2
2021-22,2022-01-05,PIS,HOR,HOR,3.798,0.5,1.25,0.4,0.5,0.75,0.667,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.5,0.75,0.0,0.0,0.25,0.25,0.5,1.0,0.375,-3.0,0.4,0.4,0.4,0.0,3.55,26.9,15.7,0.0,0.0,3.25,8.35,9.0,40.5,105.0,-6.7
2021-22,2022-01-06,PIS,GRI,GRI,6.184,1.0,2.2,0.455,1.0,1.8,0.556,0.0,0.4,0.0,0.4,0.4,1.0,0.8,1.0,1.8,0.0,0.2,0.2,0.2,0.8,2.4,1.94,-8.0,0.505,0.455,0.182,0.182,8.467,26.667,17.633,0.0,1.0,2.167,5.567,12.133,72.0,114.667,-5.933
2022-23,2022-10-19,JAZ,NUG,JAZ,4.908,0.793,1.746,0.433,0.793,1.429,0.53,0.0,0.317,0.0,0.317,0.317,0.952,0.635,0.793,1.429,0.0,0.159,0.159,0.159,0.635,1.905,1.54,-6.35,0.481,0.433,0.173,0.173,8.064,25.397,16.793,0.0,0.952,2.064,5.302,11.555,68.571,109.207,-5.65
2022-23,2022-10-28,JAZ,NUG,NUG,4.942,0.818,1.727,0.505,0.818,1.424,0.596,0.0,0.303,0.0,0.303,0.303,0.909,0.637,0.818,1.455,0.03,0.152,0.152,0.152,0.637,1.939,1.622,-5.788,0.55,0.505,0.165,0.165,8.743,26.434,17.639,1.927,0.909,1.97,5.061,11.975,84.364,115.334,-4.675
2022-23,2022-10-29,JAZ,GRI,JAZ,4.757,0.79,1.659,0.526,0.79,1.37,0.614,0.0,0.29,0.0,0.29,0.29,0.87,0.613,0.79,1.402,0.033,0.145,0.145,0.145,0.613,1.87,1.569,-5.504,0.57,0.526,0.158,0.158,8.863,26.332,17.642,2.765,0.87,1.884,4.841,11.907,89.739,115.623,-4.129
2022-23,2022-10-31,JAZ,GRI,JAZ,4.686,0.761,1.594,0.546,0.761,1.317,0.63,0.0,0.278,0.0,0.278,0.278,0.833,0.589,0.761,1.35,0.033,0.139,0.139,0.139,0.622,1.8,1.501,-5.289,0.588,0.546,0.152,0.152,8.014,24.231,16.169,1.767,0.833,1.806,4.639,10.978,77.333,114.889,-5.294
2022-23,2022-12-09,JAZ,TIM,JAZ,4.514,0.733,1.533,0.564,0.733,1.267,0.645,0.0,0.266,0.0,0.266,0.266,0.8,0.567,0.733,1.3,0.033,0.134,0.134,0.134,0.6,1.733,1.447,-5.067,0.604,0.564,0.146,0.146,7.924,23.744,15.876,2.12,0.8,1.734,4.454,10.746,78.4,114.934,-5.166
